Team,FF,FR,FR TD,Rec FUM,Rush FUM
Vikings,22,11,2,9,7
Falcons,19,8,0,3,9
Broncos,19,15,1,2,12
Giants,19,13,0,8,6
Steelers,19,11,1,6,8
Buccaneers,18,12,0,6,8
Colts,17,9,1,4,7
Ravens,16,13,0,3,4
Eagles,16,8,1,6,5
Texans,15,10,1,6,5
Chiefs,15,9,2,6,7
Dolphins,15,12,0,6,5
Patriots,15,8,1,3,11
Chargers,15,12,0,3,8
Bills,14,11,0,7,4
Browns,14,10,1,2,5
Cowboys,14,8,1,5,8
Raiders,14,9,2,4,6
Jets,14,10,1,5,13
Bears,13,6,0,4,6
Lions,13,6,0,3,4
Titans,13,8,0,2,3
Seahawks,13,8,0,5,3
Jaguars,12,11,0,5,4
Bengals,11,9,0,4,6
Packers,10,11,1,1,5
49ers,10,6,0,6,4
Commanders,10,10,0,3,8
Saints,8,11,1,4,4
Rams,7,5,0,2,7
Cardinals,6,6,1,2,4
Panthers,5,3,0,3,4
