playerId,player,team,conference,category,statType,stat
4239966,Marcus Bennett,Air Force,Mountain West,receiving,YDS,465
4239968,Geraud Sanders,Air Force,Mountain West,receiving,REC,14
4038208,Garrett Amy,Air Force,Mountain West,receiving,LONG,19
3935204,Ronald Cleveland,Air Force,Mountain West,receiving,REC,15
2330072, ,Air Force,Mountain West,receiving,YDS,30
4283336,Cole Fagan,Air Force,Mountain West,receiving,REC,3
4283336,Cole Fagan,Air Force,Mountain West,receiving,YDS,53
4262383,Joseph Saucier,Air Force,Mountain West,receiving,YDS,146
2330072, ,Air Force,Mountain West,receiving,TD,0
2330072, ,Air Force,Mountain West,receiving,LONG,30
4401043,Brandon Lewis,Air Force,Mountain West,receiving,TD,0
3935217,Andrew Smith,Air Force,Mountain West,receiving,REC,7
4239966,Marcus Bennett,Air Force,Mountain West,receiving,TD,3
3935217,Andrew Smith,Air Force,Mountain West,receiving,LONG,32
3946049,Jake Matkovich,Air Force,Mountain West,receiving,YDS,15
4360719,Kadin Remsberg,Air Force,Mountain West,receiving,YDS,20
3935217,Andrew Smith,Air Force,Mountain West,receiving,YDS,126
3946049,Jake Matkovich,Air Force,Mountain West,receiving,TD,0
4261084,Nolan Eriksen,Air Force,Mountain West,receiving,TD,0
3935217,Andrew Smith,Air Force,Mountain West,receiving,TD,1
3946049,Jake Matkovich,Air Force,Mountain West,receiving,YPR,15.0
4373625,Demani Hansford,Air Force,Mountain West,receiving,TD,0
4360719,Kadin Remsberg,Air Force,Mountain West,receiving,REC,6
3935204,Ronald Cleveland,Air Force,Mountain West,receiving,LONG,69
4393547,- 1g,Air Force,Mountain West,receiving,TD,0
3935204,Ronald Cleveland,Air Force,Mountain West,receiving,TD,2
4262383,Joseph Saucier,Air Force,Mountain West,receiving,YPR,24.3
4038193,Bryce VonZurmuehlen,Air Force,Mountain West,receiving,TD,0
3935204,Ronald Cleveland,Air Force,Mountain West,receiving,YPR,16.1
4401043,Brandon Lewis,Air Force,Mountain West,receiving,YDS,100
4038208,Garrett Amy,Air Force,Mountain West,receiving,REC,1
4239975,Taven Birdow,Air Force,Mountain West,receiving,YDS,9
4239968,Geraud Sanders,Air Force,Mountain West,receiving,YDS,236
4373625,Demani Hansford,Air Force,Mountain West,receiving,LONG,0
4038193,Bryce VonZurmuehlen,Air Force,Mountain West,receiving,YPR,-5.0
4239975,Taven Birdow,Air Force,Mountain West,receiving,REC,1
4261084,Nolan Eriksen,Air Force,Mountain West,receiving,YPR,9.0
4261084,Nolan Eriksen,Air Force,Mountain West,receiving,REC,1
3935204,Ronald Cleveland,Air Force,Mountain West,receiving,YDS,241
4239987,Kade Waguespack,Air Force,Mountain West,receiving,YPR,15.2
4262383,Joseph Saucier,Air Force,Mountain West,receiving,REC,6
4262383,Joseph Saucier,Air Force,Mountain West,receiving,LONG,51
3946049,Jake Matkovich,Air Force,Mountain West,receiving,REC,1
4239966,Marcus Bennett,Air Force,Mountain West,receiving,LONG,54
4239975,Taven Birdow,Air Force,Mountain West,receiving,YPR,9.0
4261084,Nolan Eriksen,Air Force,Mountain West,receiving,YDS,9
2330072, ,Air Force,Mountain West,receiving,REC,1
