playerId,player,team,conference,category,statType,stat
553482,Anthony Young,Akron,Mid-American,receiving,REC,3
3125715,Newman Williams,Akron,Mid-American,receiving,YDS,71
531894,Imani Davis,Akron,Mid-American,receiving,REC,46
531894,Imani Davis,Akron,Mid-American,receiving,YPR,12.9
531844,Christian Allen,Akron,Mid-American,receiving,LONG,6
3915229,Michael Means Jr.,Akron,Mid-American,receiving,LONG,19
550356,Austin Wolf,Akron,Mid-American,receiving,TD,2
531904,Hakeem Lawrence,Akron,Mid-American,receiving,TD,0
515514,Donnell Alexander,Akron,Mid-American,receiving,TD,0
550351,Jerome Lane,Akron,Mid-American,receiving,YPR,20.1
531903,Conor Hundley,Akron,Mid-American,receiving,REC,7
531844,Christian Allen,Akron,Mid-American,receiving,TD,0
531900,Tyrell Goodman,Akron,Mid-American,receiving,YDS,104
531903,Conor Hundley,Akron,Mid-American,receiving,TD,0
553482,Anthony Young,Akron,Mid-American,receiving,LONG,53
3915229,Michael Means Jr.,Akron,Mid-American,receiving,REC,5
3915229,Michael Means Jr.,Akron,Mid-American,receiving,YPR,12.2
547108,A.J. Coney,Akron,Mid-American,receiving,TD,0
3920863,Richie Cooper,Akron,Mid-American,receiving,LONG,16
531844,Christian Allen,Akron,Mid-American,receiving,REC,1
550357,Thomas Woodson,Akron,Mid-American,receiving,LONG,14
531904,Hakeem Lawrence,Akron,Mid-American,receiving,YPR,12.0
3125715,Newman Williams,Akron,Mid-American,receiving,LONG,16
531907,Andrew Pratt,Akron,Mid-American,receiving,YDS,280
3932507,Josh McNeil,Akron,Mid-American,receiving,REC,7
531904,Hakeem Lawrence,Akron,Mid-American,receiving,REC,1
515514,Donnell Alexander,Akron,Mid-American,receiving,LONG,0
547108,A.J. Coney,Akron,Mid-American,receiving,YDS,125
531894,Imani Davis,Akron,Mid-American,receiving,LONG,42
531907,Andrew Pratt,Akron,Mid-American,receiving,REC,28
547108,A.J. Coney,Akron,Mid-American,receiving,LONG,42
550357,Thomas Woodson,Akron,Mid-American,receiving,TD,1
550356,Austin Wolf,Akron,Mid-American,receiving,YDS,212
550357,Thomas Woodson,Akron,Mid-American,receiving,YDS,14
515514,Donnell Alexander,Akron,Mid-American,receiving,REC,1
3915229,Michael Means Jr.,Akron,Mid-American,receiving,YDS,61
3920863,Richie Cooper,Akron,Mid-American,receiving,TD,0
531904,Hakeem Lawrence,Akron,Mid-American,receiving,LONG,12
550351,Jerome Lane,Akron,Mid-American,receiving,LONG,72
531903,Conor Hundley,Akron,Mid-American,receiving,LONG,33
3915229,Michael Means Jr.,Akron,Mid-American,receiving,TD,0
553482,Anthony Young,Akron,Mid-American,receiving,TD,0
3932507,Josh McNeil,Akron,Mid-American,receiving,TD,1
515514,Donnell Alexander,Akron,Mid-American,receiving,YDS,-2
3125715,Newman Williams,Akron,Mid-American,receiving,REC,6
531900,Tyrell Goodman,Akron,Mid-American,receiving,REC,12
531844,Christian Allen,Akron,Mid-American,receiving,YPR,6.0
3932507,Josh McNeil,Akron,Mid-American,receiving,YDS,37
531907,Andrew Pratt,Akron,Mid-American,receiving,YPR,10.0
3932507,Josh McNeil,Akron,Mid-American,receiving,YPR,5.3
550356,Austin Wolf,Akron,Mid-American,receiving,YPR,21.2
531894,Imani Davis,Akron,Mid-American,receiving,YDS,593
531903,Conor Hundley,Akron,Mid-American,receiving,YDS,70
550357,Thomas Woodson,Akron,Mid-American,receiving,YPR,14.0
3920863,Richie Cooper,Akron,Mid-American,receiving,REC,6
550351,Jerome Lane,Akron,Mid-American,receiving,REC,39
3125715,Newman Williams,Akron,Mid-American,receiving,TD,1
531844,Christian Allen,Akron,Mid-American,receiving,YDS,6
553482,Anthony Young,Akron,Mid-American,receiving,YDS,94
515514,Donnell Alexander,Akron,Mid-American,receiving,YPR,-2.0
531900,Tyrell Goodman,Akron,Mid-American,receiving,LONG,14
531907,Andrew Pratt,Akron,Mid-American,receiving,TD,1
553482,Anthony Young,Akron,Mid-American,receiving,YPR,31.3
531900,Tyrell Goodman,Akron,Mid-American,receiving,YPR,8.7
531903,Conor Hundley,Akron,Mid-American,receiving,YPR,10.0
550356,Austin Wolf,Akron,Mid-American,receiving,REC,10
550351,Jerome Lane,Akron,Mid-American,receiving,YDS,782
3932507,Josh McNeil,Akron,Mid-American,receiving,LONG,10
531904,Hakeem Lawrence,Akron,Mid-American,receiving,YDS,12
3920863,Richie Cooper,Akron,Mid-American,receiving,YPR,8.2
550356,Austin Wolf,Akron,Mid-American,receiving,LONG,41
547108,A.J. Coney,Akron,Mid-American,receiving,REC,11
531900,Tyrell Goodman,Akron,Mid-American,receiving,TD,1
531907,Andrew Pratt,Akron,Mid-American,receiving,LONG,34
3125715,Newman Williams,Akron,Mid-American,receiving,YPR,11.8
550351,Jerome Lane,Akron,Mid-American,receiving,TD,8
550357,Thomas Woodson,Akron,Mid-American,receiving,REC,1
3920863,Richie Cooper,Akron,Mid-American,receiving,YDS,49
547108,A.J. Coney,Akron,Mid-American,receiving,YPR,11.4
531894,Imani Davis,Akron,Mid-American,receiving,TD,3
