playerId,player,team,conference,category,statType,stat
4036418,Corey Xavier Sutton,Appalachian State,Sun Belt,receiving,YPR,17.6
4036434,Clifton Duck,Appalachian State,Sun Belt,receiving,YDS,5
3123644,Brad Absher,Appalachian State,Sun Belt,receiving,YDS,30
3123644,Brad Absher,Appalachian State,Sun Belt,receiving,LONG,10
4360794,Henry Pearson,Appalachian State,Sun Belt,receiving,YDS,160
4241004,Thomas Hennigan,Appalachian State,Sun Belt,receiving,REC,29
4241012,Malik Williams,Appalachian State,Sun Belt,receiving,REC,22
4036448,Jalen Virgil,Appalachian State,Sun Belt,receiving,YDS,238
3917153,Collin Reed,Appalachian State,Sun Belt,receiving,REC,12
4360794,Henry Pearson,Appalachian State,Sun Belt,receiving,TD,2
4036436,Marcus Williams Jr.,Appalachian State,Sun Belt,receiving,TD,1
4036429,Zac Thomas,Appalachian State,Sun Belt,receiving,TD,1
3123675,Jalin Moore,Appalachian State,Sun Belt,receiving,YPR,6.7
3123675,Jalin Moore,Appalachian State,Sun Belt,receiving,REC,6
4036434,Clifton Duck,Appalachian State,Sun Belt,receiving,YPR,5.0
3917152,Devin Papenheim,Appalachian State,Sun Belt,receiving,REC,2
4036448,Jalen Virgil,Appalachian State,Sun Belt,receiving,YPR,14.0
4241004,Thomas Hennigan,Appalachian State,Sun Belt,receiving,LONG,33
4360794,Henry Pearson,Appalachian State,Sun Belt,receiving,REC,14
3917153,Collin Reed,Appalachian State,Sun Belt,receiving,YDS,134
3123675,Jalin Moore,Appalachian State,Sun Belt,receiving,TD,0
3917153,Collin Reed,Appalachian State,Sun Belt,receiving,YPR,11.2
4036418,Corey Xavier Sutton,Appalachian State,Sun Belt,receiving,YDS,773
4036436,Marcus Williams Jr.,Appalachian State,Sun Belt,receiving,REC,5
4036431,Darrynton Evans,Appalachian State,Sun Belt,receiving,YPR,7.3
4036429,Zac Thomas,Appalachian State,Sun Belt,receiving,LONG,8
4036418,Corey Xavier Sutton,Appalachian State,Sun Belt,receiving,LONG,90
4036431,Darrynton Evans,Appalachian State,Sun Belt,receiving,YDS,87
3123644,Brad Absher,Appalachian State,Sun Belt,receiving,REC,5
3125068,Dominique Heath,Appalachian State,Sun Belt,receiving,YDS,299
3123644,Brad Absher,Appalachian State,Sun Belt,receiving,TD,0
4241012,Malik Williams,Appalachian State,Sun Belt,receiving,YPR,11.3
3917152,Devin Papenheim,Appalachian State,Sun Belt,receiving,TD,0
3917152,Devin Papenheim,Appalachian State,Sun Belt,receiving,YPR,5.5
4036436,Marcus Williams Jr.,Appalachian State,Sun Belt,receiving,YPR,16.8
4241004,Thomas Hennigan,Appalachian State,Sun Belt,receiving,TD,1
3917153,Collin Reed,Appalachian State,Sun Belt,receiving,TD,3
3917152,Devin Papenheim,Appalachian State,Sun Belt,receiving,LONG,8
4036431,Darrynton Evans,Appalachian State,Sun Belt,receiving,REC,12
3125068,Dominique Heath,Appalachian State,Sun Belt,receiving,LONG,64
4036429,Zac Thomas,Appalachian State,Sun Belt,receiving,YPR,8.0
4036436,Marcus Williams Jr.,Appalachian State,Sun Belt,receiving,YDS,84
4036418,Corey Xavier Sutton,Appalachian State,Sun Belt,receiving,TD,10
4240995,D'Andre Hicks,Appalachian State,Sun Belt,receiving,YDS,0
3125068,Dominique Heath,Appalachian State,Sun Belt,receiving,REC,22
4036431,Darrynton Evans,Appalachian State,Sun Belt,receiving,TD,1
4241004,Thomas Hennigan,Appalachian State,Sun Belt,receiving,YPR,11.3
4241012,Malik Williams,Appalachian State,Sun Belt,receiving,TD,3
4036448,Jalen Virgil,Appalachian State,Sun Belt,receiving,LONG,41
4036429,Zac Thomas,Appalachian State,Sun Belt,receiving,REC,1
4241012,Malik Williams,Appalachian State,Sun Belt,receiving,YDS,249
4360794,Henry Pearson,Appalachian State,Sun Belt,receiving,LONG,26
4240995,D'Andre Hicks,Appalachian State,Sun Belt,receiving,LONG,0
4241012,Malik Williams,Appalachian State,Sun Belt,receiving,LONG,38
4241004,Thomas Hennigan,Appalachian State,Sun Belt,receiving,YDS,327
4036432,A'Darius Purifoy,Appalachian State,Sun Belt,receiving,YPR,12.5
4036434,Clifton Duck,Appalachian State,Sun Belt,receiving,LONG,5
3123675,Jalin Moore,Appalachian State,Sun Belt,receiving,LONG,14
3123644,Brad Absher,Appalachian State,Sun Belt,receiving,YPR,6.0
4036429,Zac Thomas,Appalachian State,Sun Belt,receiving,YDS,8
4036434,Clifton Duck,Appalachian State,Sun Belt,receiving,TD,0
4240995,D'Andre Hicks,Appalachian State,Sun Belt,receiving,REC,1
4036448,Jalen Virgil,Appalachian State,Sun Belt,receiving,REC,17
3917152,Devin Papenheim,Appalachian State,Sun Belt,receiving,YDS,11
