playerId,player,team,conference,category,statType,stat
4241447,Giles Amos,Arkansas State,Sun Belt,receiving,YDS,196
4239084,Javan Hawes,Arkansas State,Sun Belt,receiving,TD,0
3707332,Dahu Green,Arkansas State,Sun Belt,receiving,YDS,542
4361227,Marcel Murray,Arkansas State,Sun Belt,receiving,YDS,2
4430552,Anthony Switzer,Arkansas State,Sun Belt,receiving,LONG,3
3917179,Jamal Jones,Arkansas State,Sun Belt,receiving,REC,17
4386344,TW Ayers,Arkansas State,Sun Belt,receiving,REC,3
4240899,Roshauud Paul,Arkansas State,Sun Belt,receiving,YPR,11.1
4361227,Marcel Murray,Arkansas State,Sun Belt,receiving,LONG,2
4427209,Jeff Foreman,Arkansas State,Sun Belt,receiving,TD,3
4048245,Bubba Ogbebor,Arkansas State,Sun Belt,receiving,YPR,11.8
4240899,Roshauud Paul,Arkansas State,Sun Belt,receiving,REC,15
4430552,Anthony Switzer,Arkansas State,Sun Belt,receiving,YDS,3
4048245,Bubba Ogbebor,Arkansas State,Sun Belt,receiving,TD,0
4239084,Javan Hawes,Arkansas State,Sun Belt,receiving,YDS,17
4036475,Brandon Bowling,Arkansas State,Sun Belt,receiving,TD,7
4608607,Lincoln Pare,Arkansas State,Sun Belt,receiving,REC,12
4241053,Jonathan Adams Jr.,Arkansas State,Sun Belt,receiving,TD,12
4036475,Brandon Bowling,Arkansas State,Sun Belt,receiving,YDS,507
4036475,Brandon Bowling,Arkansas State,Sun Belt,receiving,REC,39
4426598,Isaiah Azubuike,Arkansas State,Sun Belt,receiving,REC,1
3917179,Jamal Jones,Arkansas State,Sun Belt,receiving,YPR,5.2
4596298,Leroy Deshazor,Arkansas State,Sun Belt,receiving,REC,1
4240899,Roshauud Paul,Arkansas State,Sun Belt,receiving,YDS,166
3917179,Jamal Jones,Arkansas State,Sun Belt,receiving,YDS,89
3707332,Dahu Green,Arkansas State,Sun Belt,receiving,TD,5
4386344,TW Ayers,Arkansas State,Sun Belt,receiving,LONG,17
4569522,Ryan Graham,Arkansas State,Sun Belt,receiving,YPR,20.0
4427209,Jeff Foreman,Arkansas State,Sun Belt,receiving,YPR,33.8
4361231,Reed Tyler,Arkansas State,Sun Belt,receiving,YPR,12.0
4596298,Leroy Deshazor,Arkansas State,Sun Belt,receiving,YDS,7
4426598,Isaiah Azubuike,Arkansas State,Sun Belt,receiving,YPR,0.0
4426598,Isaiah Azubuike,Arkansas State,Sun Belt,receiving,LONG,0
4569522,Ryan Graham,Arkansas State,Sun Belt,receiving,YDS,20
4048245,Bubba Ogbebor,Arkansas State,Sun Belt,receiving,REC,6
4241447,Giles Amos,Arkansas State,Sun Belt,receiving,LONG,65
4241053,Jonathan Adams Jr.,Arkansas State,Sun Belt,receiving,YPR,14.1
4361231,Reed Tyler,Arkansas State,Sun Belt,receiving,REC,22
4426598,Isaiah Azubuike,Arkansas State,Sun Belt,receiving,YDS,0
4427209,Jeff Foreman,Arkansas State,Sun Belt,receiving,REC,13
4036473,Logan Bonner,Arkansas State,Sun Belt,receiving,TD,0
4241447,Giles Amos,Arkansas State,Sun Belt,receiving,TD,2
4361227,Marcel Murray,Arkansas State,Sun Belt,receiving,REC,1
4361227,Marcel Murray,Arkansas State,Sun Belt,receiving,YPR,2.0
4433901,Corey Rucker,Arkansas State,Sun Belt,receiving,YDS,450
4048245,Bubba Ogbebor,Arkansas State,Sun Belt,receiving,YDS,71
4240899,Roshauud Paul,Arkansas State,Sun Belt,receiving,TD,1
4426598,Isaiah Azubuike,Arkansas State,Sun Belt,receiving,TD,0
4239084,Javan Hawes,Arkansas State,Sun Belt,receiving,REC,2
3707332,Dahu Green,Arkansas State,Sun Belt,receiving,REC,32
4433901,Corey Rucker,Arkansas State,Sun Belt,receiving,TD,5
4048245,Bubba Ogbebor,Arkansas State,Sun Belt,receiving,LONG,26
4608607,Lincoln Pare,Arkansas State,Sun Belt,receiving,TD,2
4241447,Giles Amos,Arkansas State,Sun Belt,receiving,REC,15
4430552,Anthony Switzer,Arkansas State,Sun Belt,receiving,YPR,3.0
