playerId,player,team,conference,category,statType,stat
4035600,Devwah Whaley,Arkansas,SEC,receiving,REC,6
559629,Jared Cornelius,Arkansas,SEC,receiving,TD,4
535877,Keon Hatcher,Arkansas,SEC,receiving,TD,8
4035582,Hayden Johnson,Arkansas,SEC,receiving,TD,0
3916899,Austin Cantrell,Arkansas,SEC,receiving,YDS,120
3916921,Rawleigh Williams III,Arkansas,SEC,receiving,LONG,54
3916899,Austin Cantrell,Arkansas,SEC,receiving,REC,13
535889,Jeremy Sprinkle,Arkansas,SEC,receiving,TD,4
515941,Kody Walker,Arkansas,SEC,receiving,LONG,11
3916914,Dominique Reed,Arkansas,SEC,receiving,TD,2
3916914,Dominique Reed,Arkansas,SEC,receiving,LONG,51
4035593,Cheyenne O'Grady,Arkansas,SEC,receiving,YDS,63
4035593,Cheyenne O'Grady,Arkansas,SEC,receiving,REC,3
559629,Jared Cornelius,Arkansas,SEC,receiving,YPR,16.1
3916906,Kendrick Jackson,Arkansas,SEC,receiving,REC,1
547232,Drew Morgan,Arkansas,SEC,receiving,YDS,739
4075273,Cheyenne O?'Grady,Arkansas,SEC,receiving,REC,1
3916914,Dominique Reed,Arkansas,SEC,receiving,YPR,15.9
3916921,Rawleigh Williams III,Arkansas,SEC,receiving,YDS,220
3916906,Kendrick Jackson,Arkansas,SEC,receiving,TD,0
4035600,Devwah Whaley,Arkansas,SEC,receiving,YDS,139
535877,Keon Hatcher,Arkansas,SEC,receiving,REC,44
4035573,Grayson Gunter,Arkansas,SEC,receiving,YPR,29.0
4075273,Cheyenne O?'Grady,Arkansas,SEC,receiving,LONG,23
4075273,Cheyenne O?'Grady,Arkansas,SEC,receiving,TD,0
559629,Jared Cornelius,Arkansas,SEC,receiving,REC,32
3916906,Kendrick Jackson,Arkansas,SEC,receiving,YPR,1.0
3916921,Rawleigh Williams III,Arkansas,SEC,receiving,TD,1
515941,Kody Walker,Arkansas,SEC,receiving,YDS,21
3916911,La'Michael Pettway,Arkansas,SEC,receiving,LONG,10
547232,Drew Morgan,Arkansas,SEC,receiving,TD,3
559629,Jared Cornelius,Arkansas,SEC,receiving,YDS,515
547232,Drew Morgan,Arkansas,SEC,receiving,LONG,36
559632,Cody Hollister,Arkansas,SEC,receiving,LONG,37
3916906,Kendrick Jackson,Arkansas,SEC,receiving,YDS,1
535877,Keon Hatcher,Arkansas,SEC,receiving,YDS,743
3916899,Austin Cantrell,Arkansas,SEC,receiving,YPR,9.2
547232,Drew Morgan,Arkansas,SEC,receiving,REC,65
4035582,Hayden Johnson,Arkansas,SEC,receiving,YPR,12.5
535889,Jeremy Sprinkle,Arkansas,SEC,receiving,YPR,11.5
559629,Jared Cornelius,Arkansas,SEC,receiving,LONG,57
515941,Kody Walker,Arkansas,SEC,receiving,REC,3
4035600,Devwah Whaley,Arkansas,SEC,receiving,YPR,23.2
559632,Cody Hollister,Arkansas,SEC,receiving,REC,10
3916914,Dominique Reed,Arkansas,SEC,receiving,YDS,255
547232,Drew Morgan,Arkansas,SEC,receiving,YPR,11.4
4035600,Devwah Whaley,Arkansas,SEC,receiving,LONG,43
3916906,Kendrick Jackson,Arkansas,SEC,receiving,LONG,1
3916921,Rawleigh Williams III,Arkansas,SEC,receiving,YPR,14.7
3916921,Rawleigh Williams III,Arkansas,SEC,receiving,REC,15
4035582,Hayden Johnson,Arkansas,SEC,receiving,REC,2
559632,Cody Hollister,Arkansas,SEC,receiving,TD,0
3916899,Austin Cantrell,Arkansas,SEC,receiving,TD,2
3916911,La'Michael Pettway,Arkansas,SEC,receiving,YPR,10.0
4035593,Cheyenne O'Grady,Arkansas,SEC,receiving,YPR,21.0
3916911,La'Michael Pettway,Arkansas,SEC,receiving,YDS,10
4035573,Grayson Gunter,Arkansas,SEC,receiving,TD,0
4035593,Cheyenne O'Grady,Arkansas,SEC,receiving,LONG,28
515941,Kody Walker,Arkansas,SEC,receiving,TD,0
535889,Jeremy Sprinkle,Arkansas,SEC,receiving,LONG,31
3916914,Dominique Reed,Arkansas,SEC,receiving,REC,16
4035573,Grayson Gunter,Arkansas,SEC,receiving,YDS,29
535877,Keon Hatcher,Arkansas,SEC,receiving,YPR,16.9
4035573,Grayson Gunter,Arkansas,SEC,receiving,LONG,29
4035582,Hayden Johnson,Arkansas,SEC,receiving,YDS,25
535889,Jeremy Sprinkle,Arkansas,SEC,receiving,YDS,380
4035600,Devwah Whaley,Arkansas,SEC,receiving,TD,0
4035593,Cheyenne O'Grady,Arkansas,SEC,receiving,TD,1
3916911,La'Michael Pettway,Arkansas,SEC,receiving,REC,1
3916919,Deon Stewart,Arkansas,SEC,receiving,LONG,19
4035582,Hayden Johnson,Arkansas,SEC,receiving,LONG,18
4075273,Cheyenne O?'Grady,Arkansas,SEC,receiving,YPR,23.0
559632,Cody Hollister,Arkansas,SEC,receiving,YPR,14.0
3916911,La'Michael Pettway,Arkansas,SEC,receiving,TD,1
4075273,Cheyenne O?'Grady,Arkansas,SEC,receiving,YDS,23
535889,Jeremy Sprinkle,Arkansas,SEC,receiving,REC,33
515941,Kody Walker,Arkansas,SEC,receiving,YPR,7.0
3916919,Deon Stewart,Arkansas,SEC,receiving,YDS,34
535877,Keon Hatcher,Arkansas,SEC,receiving,LONG,73
4035573,Grayson Gunter,Arkansas,SEC,receiving,REC,1
3916919,Deon Stewart,Arkansas,SEC,receiving,YPR,17.0
3916899,Austin Cantrell,Arkansas,SEC,receiving,LONG,32
3916919,Deon Stewart,Arkansas,SEC,receiving,TD,0
559632,Cody Hollister,Arkansas,SEC,receiving,YDS,140
3916919,Deon Stewart,Arkansas,SEC,receiving,REC,2
