playerId,player,team,conference,category,statType,stat
4373731,Michael Roberts,Army,FBS Independents,receiving,LONG,33
4373744,A.J. Howard,Army,FBS Independents,receiving,LONG,6
4373743,Brandon Walters,Army,FBS Independents,receiving,YPR,6.6
4373764,Chris Cameron,Army,FBS Independents,receiving,YDS,82
4373744,A.J. Howard,Army,FBS Independents,receiving,TD,0
4373744,A.J. Howard,Army,FBS Independents,receiving,YDS,6
4258509,Camden Harrison,Army,FBS Independents,receiving,YDS,53
4577325,Cole Caterbone,Army,FBS Independents,receiving,LONG,13
4577325,Cole Caterbone,Army,FBS Independents,receiving,YDS,29
4258463,Artice Hobbs,Army,FBS Independents,receiving,YPR,5.5
4258467,Sandon McCoy,Army,FBS Independents,receiving,LONG,0
4689825,Tyrell Robinson,Army,FBS Independents,receiving,YPR,19.5
4258467,Sandon McCoy,Army,FBS Independents,receiving,YPR,-4.0
4689855,Isaiah Alston,Army,FBS Independents,receiving,YDS,47
4373744,A.J. Howard,Army,FBS Independents,receiving,REC,1
4258463,Artice Hobbs,Army,FBS Independents,receiving,LONG,6
4373743,Brandon Walters,Army,FBS Independents,receiving,TD,0
4258463,Artice Hobbs,Army,FBS Independents,receiving,TD,0
4577359,Reikan Donaldson,Army,FBS Independents,receiving,YPR,14.3
4577325,Cole Caterbone,Army,FBS Independents,receiving,TD,0
4373743,Brandon Walters,Army,FBS Independents,receiving,REC,5
4689825,Tyrell Robinson,Army,FBS Independents,receiving,TD,2
4258509,Camden Harrison,Army,FBS Independents,receiving,YPR,53.0
4689825,Tyrell Robinson,Army,FBS Independents,receiving,LONG,53
4577325,Cole Caterbone,Army,FBS Independents,receiving,REC,3
4258463,Artice Hobbs,Army,FBS Independents,receiving,REC,2
4258467,Sandon McCoy,Army,FBS Independents,receiving,YDS,-4
4258509,Camden Harrison,Army,FBS Independents,receiving,REC,1
4258467,Sandon McCoy,Army,FBS Independents,receiving,TD,0
4689855,Isaiah Alston,Army,FBS Independents,receiving,TD,0
4373744,A.J. Howard,Army,FBS Independents,receiving,YPR,6.0
4258467,Sandon McCoy,Army,FBS Independents,receiving,REC,1
4373743,Brandon Walters,Army,FBS Independents,receiving,LONG,13
4689855,Isaiah Alston,Army,FBS Independents,receiving,REC,2
4373764,Chris Cameron,Army,FBS Independents,receiving,TD,0
4373743,Brandon Walters,Army,FBS Independents,receiving,YDS,33
4689855,Isaiah Alston,Army,FBS Independents,receiving,LONG,29
4577325,Cole Caterbone,Army,FBS Independents,receiving,YPR,9.7
4373731,Michael Roberts,Army,FBS Independents,receiving,YDS,106
4689855,Isaiah Alston,Army,FBS Independents,receiving,YPR,23.5
4373764,Chris Cameron,Army,FBS Independents,receiving,YPR,27.3
4373731,Michael Roberts,Army,FBS Independents,receiving,REC,7
4258509,Camden Harrison,Army,FBS Independents,receiving,TD,0
4373731,Michael Roberts,Army,FBS Independents,receiving,TD,1
4373764,Chris Cameron,Army,FBS Independents,receiving,REC,3
4577359,Reikan Donaldson,Army,FBS Independents,receiving,TD,1
4577359,Reikan Donaldson,Army,FBS Independents,receiving,REC,4
4373764,Chris Cameron,Army,FBS Independents,receiving,LONG,32
4373731,Michael Roberts,Army,FBS Independents,receiving,YPR,15.1
4577359,Reikan Donaldson,Army,FBS Independents,receiving,LONG,29
4258509,Camden Harrison,Army,FBS Independents,receiving,LONG,53
4689825,Tyrell Robinson,Army,FBS Independents,receiving,REC,6
4577359,Reikan Donaldson,Army,FBS Independents,receiving,YDS,57
4258463,Artice Hobbs,Army,FBS Independents,receiving,YDS,11
4689825,Tyrell Robinson,Army,FBS Independents,receiving,YDS,117
