playerId,player,team,conference,category,statType,stat
4035497,Kam Martin,Auburn,SEC,receiving,REC,9
4035507,Malik Miller,Auburn,SEC,receiving,YDS,144
3916946,Ryan Davis,Auburn,SEC,receiving,YDS,532
4035518,Prince Tega Wanogho,Auburn,SEC,receiving,YDS,0
4035507,Malik Miller,Auburn,SEC,receiving,TD,1
3843217,Chandler Cox,Auburn,SEC,receiving,YPR,8.1
3916934,Griffin King,Auburn,SEC,receiving,LONG,8
3843226,Tucker Brown,Auburn,SEC,receiving,YDS,9
3916945,Darius Slayton,Auburn,SEC,receiving,YDS,670
4361333,Asa Martin,Auburn,SEC,receiving,LONG,33
4361332,Shedrick Jackson,Auburn,SEC,receiving,LONG,9
4035518,Prince Tega Wanogho,Auburn,SEC,receiving,LONG,0
4242520,JaTarvious Whitlow,Auburn,SEC,receiving,LONG,66
4361332,Shedrick Jackson,Auburn,SEC,receiving,YPR,7.5
4371986,Anthony Schwartz,Auburn,SEC,receiving,TD,2
4371986,Anthony Schwartz,Auburn,SEC,receiving,REC,23
4035493,Nate Craig-Myers,Auburn,SEC,receiving,LONG,24
3916946,Ryan Davis,Auburn,SEC,receiving,TD,1
4035507,Malik Miller,Auburn,SEC,receiving,LONG,30
4035500,Eli Stove,Auburn,SEC,receiving,TD,0
3949993,Cedric Chambers,Auburn,SEC,receiving,REC,1
3843217,Chandler Cox,Auburn,SEC,receiving,LONG,19
4035507,Malik Miller,Auburn,SEC,receiving,REC,13
4242536,Sal Cannella,Auburn,SEC,receiving,LONG,22
3916934,Griffin King,Auburn,SEC,receiving,REC,2
3916926,Javaris Davis,Auburn,SEC,receiving,LONG,4
4371974,Seth Williams,Auburn,SEC,receiving,REC,26
3843217,Chandler Cox,Auburn,SEC,receiving,REC,10
3916926,Javaris Davis,Auburn,SEC,receiving,REC,1
3916946,Ryan Davis,Auburn,SEC,receiving,LONG,47
3916945,Darius Slayton,Auburn,SEC,receiving,LONG,74
4361333,Asa Martin,Auburn,SEC,receiving,REC,2
4371977,Shaun Shivers,Auburn,SEC,receiving,LONG,0
3949993,Cedric Chambers,Auburn,SEC,receiving,YDS,22
3916947,Jalen Harris,Auburn,SEC,receiving,TD,0
4371977,Shaun Shivers,Auburn,SEC,receiving,TD,0
4035493,Nate Craig-Myers,Auburn,SEC,receiving,TD,0
3916947,Jalen Harris,Auburn,SEC,receiving,REC,1
4242519,Anders Carlson,Auburn,SEC,receiving,REC,1
