playerId,player,team,conference,category,statType,stat
515500,Terenn Houk,BYU,FBS Independents,receiving,TD,2
500691,Jordan Leslie,BYU,FBS Independents,receiving,YPR,14.2
520575,Kurt Henderson,BYU,FBS Independents,receiving,YPR,22.0
511441,Devon Blackmon,BYU,FBS Independents,receiving,REC,10
536136,Jamaal Williams,BYU,FBS Independents,receiving,LONG,28
502429,Algernon Brown,BYU,FBS Independents,receiving,YDS,139
502447,Devin Mahina,BYU,FBS Independents,receiving,REC,20
501562,Ross Apo,BYU,FBS Independents,receiving,YDS,13
520575,Kurt Henderson,BYU,FBS Independents,receiving,YDS,44
502429,Algernon Brown,BYU,FBS Independents,receiving,REC,14
530624,Paul Lasike,BYU,FBS Independents,receiving,REC,25
530624,Paul Lasike,BYU,FBS Independents,receiving,YPR,10.7
515500,Terenn Houk,BYU,FBS Independents,receiving,LONG,35
551050,Colby Pearson,BYU,FBS Independents,receiving,REC,16
554838,Mitchell Juergens,BYU,FBS Independents,receiving,YDS,424
3138838,Trey Dye,BYU,FBS Independents,receiving,YPR,2.7
506420,Keanu Nelson,BYU,FBS Independents,receiving,YPR,8.8
502429,Algernon Brown,BYU,FBS Independents,receiving,LONG,25
3138838,Trey Dye,BYU,FBS Independents,receiving,REC,3
515496,Nate Carter,BYU,FBS Independents,receiving,TD,0
487641,Mitch Mathews,BYU,FBS Independents,receiving,LONG,71
3138838,Trey Dye,BYU,FBS Independents,receiving,TD,0
515500,Terenn Houk,BYU,FBS Independents,receiving,YDS,241
518337,Adam Hine,BYU,FBS Independents,receiving,YPR,6.1
530624,Paul Lasike,BYU,FBS Independents,receiving,TD,2
515496,Nate Carter,BYU,FBS Independents,receiving,LONG,8
520575,Kurt Henderson,BYU,FBS Independents,receiving,REC,2
511441,Devon Blackmon,BYU,FBS Independents,receiving,LONG,56
536136,Jamaal Williams,BYU,FBS Independents,receiving,YPR,5.9
506420,Keanu Nelson,BYU,FBS Independents,receiving,LONG,19
3138838,Trey Dye,BYU,FBS Independents,receiving,YDS,8
515496,Nate Carter,BYU,FBS Independents,receiving,REC,1
502447,Devin Mahina,BYU,FBS Independents,receiving,YDS,244
515496,Nate Carter,BYU,FBS Independents,receiving,YPR,8.0
502429,Algernon Brown,BYU,FBS Independents,receiving,TD,1
518337,Adam Hine,BYU,FBS Independents,receiving,LONG,11
551050,Colby Pearson,BYU,FBS Independents,receiving,YPR,16.9
487641,Mitch Mathews,BYU,FBS Independents,receiving,REC,73
502447,Devin Mahina,BYU,FBS Independents,receiving,YPR,12.2
501562,Ross Apo,BYU,FBS Independents,receiving,TD,0
501562,Ross Apo,BYU,FBS Independents,receiving,YPR,13.0
502429,Algernon Brown,BYU,FBS Independents,receiving,YPR,9.9
520575,Kurt Henderson,BYU,FBS Independents,receiving,LONG,33
518337,Adam Hine,BYU,FBS Independents,receiving,YDS,43
518337,Adam Hine,BYU,FBS Independents,receiving,TD,1
506420,Keanu Nelson,BYU,FBS Independents,receiving,REC,5
520575,Kurt Henderson,BYU,FBS Independents,receiving,TD,0
530624,Paul Lasike,BYU,FBS Independents,receiving,LONG,28
506420,Keanu Nelson,BYU,FBS Independents,receiving,YDS,44
502447,Devin Mahina,BYU,FBS Independents,receiving,TD,3
500691,Jordan Leslie,BYU,FBS Independents,receiving,YDS,779
511441,Devon Blackmon,BYU,FBS Independents,receiving,YDS,130
487641,Mitch Mathews,BYU,FBS Independents,receiving,YPR,12.6
500691,Jordan Leslie,BYU,FBS Independents,receiving,LONG,83
554838,Mitchell Juergens,BYU,FBS Independents,receiving,TD,4
518337,Adam Hine,BYU,FBS Independents,receiving,REC,7
515500,Terenn Houk,BYU,FBS Independents,receiving,YPR,11.5
501562,Ross Apo,BYU,FBS Independents,receiving,REC,1
551050,Colby Pearson,BYU,FBS Independents,receiving,YDS,270
551050,Colby Pearson,BYU,FBS Independents,receiving,LONG,81
506420,Keanu Nelson,BYU,FBS Independents,receiving,TD,1
536136,Jamaal Williams,BYU,FBS Independents,receiving,YDS,47
536136,Jamaal Williams,BYU,FBS Independents,receiving,REC,8
536136,Jamaal Williams,BYU,FBS Independents,receiving,TD,0
554838,Mitchell Juergens,BYU,FBS Independents,receiving,LONG,50
515496,Nate Carter,BYU,FBS Independents,receiving,YDS,8
554838,Mitchell Juergens,BYU,FBS Independents,receiving,YPR,15.1
511441,Devon Blackmon,BYU,FBS Independents,receiving,YPR,13.0
487641,Mitch Mathews,BYU,FBS Independents,receiving,YDS,922
501562,Ross Apo,BYU,FBS Independents,receiving,LONG,13
3138838,Trey Dye,BYU,FBS Independents,receiving,LONG,4
502447,Devin Mahina,BYU,FBS Independents,receiving,LONG,41
511441,Devon Blackmon,BYU,FBS Independents,receiving,TD,0
551050,Colby Pearson,BYU,FBS Independents,receiving,TD,3
500691,Jordan Leslie,BYU,FBS Independents,receiving,REC,55
530624,Paul Lasike,BYU,FBS Independents,receiving,YDS,267
500691,Jordan Leslie,BYU,FBS Independents,receiving,TD,6
554838,Mitchell Juergens,BYU,FBS Independents,receiving,REC,28
487641,Mitch Mathews,BYU,FBS Independents,receiving,TD,9
515500,Terenn Houk,BYU,FBS Independents,receiving,REC,21
