playerId,player,team,conference,category,statType,stat
487659,Jamill Smith,Ball State,Mid-American,receiving,YPR,11.4
378383,Briggs Orsbon,Ball State,Mid-American,receiving,YDS,553
511422,Willie Snead,Ball State,Mid-American,receiving,YDS,327
503693,Jack Tomlinson,Ball State,Mid-American,receiving,LONG,46
511422,Willie Snead,Ball State,Mid-American,receiving,REC,28
482236,Aaron Mershman,Ball State,Mid-American,receiving,LONG,14
378373,Torieal Gibson,Ball State,Mid-American,receiving,YDS,478
482243,Dwayne Donigan,Ball State,Mid-American,receiving,YDS,9
482249,Connor Ryan,Ball State,Mid-American,receiving,YPR,10.2
378372,Andre Dawson,Ball State,Mid-American,receiving,YDS,7
378373,Torieal Gibson,Ball State,Mid-American,receiving,TD,1
482236,Aaron Mershman,Ball State,Mid-American,receiving,YPR,5.6
482243,Dwayne Donigan,Ball State,Mid-American,receiving,LONG,9
511420,Barrington Scott,Ball State,Mid-American,receiving,LONG,12
511420,Barrington Scott,Ball State,Mid-American,receiving,REC,6
378372,Andre Dawson,Ball State,Mid-American,receiving,YPR,7.0
511422,Willie Snead,Ball State,Mid-American,receiving,LONG,45
503693,Jack Tomlinson,Ball State,Mid-American,receiving,TD,2
482252,Zane Fakes,Ball State,Mid-American,receiving,REC,16
503689,David Schneider,Ball State,Mid-American,receiving,REC,4
503689,David Schneider,Ball State,Mid-American,receiving,YDS,70
378383,Briggs Orsbon,Ball State,Mid-American,receiving,LONG,28
378372,Andre Dawson,Ball State,Mid-American,receiving,REC,1
378372,Andre Dawson,Ball State,Mid-American,receiving,TD,0
482252,Zane Fakes,Ball State,Mid-American,receiving,TD,0
482249,Connor Ryan,Ball State,Mid-American,receiving,YDS,235
482249,Connor Ryan,Ball State,Mid-American,receiving,LONG,41
511399,Jahwan Edwards,Ball State,Mid-American,receiving,YPR,4.6
511399,Jahwan Edwards,Ball State,Mid-American,receiving,YDS,41
503693,Jack Tomlinson,Ball State,Mid-American,receiving,YPR,8.7
482236,Aaron Mershman,Ball State,Mid-American,receiving,REC,5
378373,Torieal Gibson,Ball State,Mid-American,receiving,YPR,12.0
482236,Aaron Mershman,Ball State,Mid-American,receiving,TD,1
487659,Jamill Smith,Ball State,Mid-American,receiving,LONG,43
503689,David Schneider,Ball State,Mid-American,receiving,TD,1
482243,Dwayne Donigan,Ball State,Mid-American,receiving,YPR,9.0
482252,Zane Fakes,Ball State,Mid-American,receiving,YPR,8.8
503689,David Schneider,Ball State,Mid-American,receiving,YPR,17.5
511422,Willie Snead,Ball State,Mid-American,receiving,YPR,11.7
482236,Aaron Mershman,Ball State,Mid-American,receiving,YDS,28
482249,Connor Ryan,Ball State,Mid-American,receiving,TD,1
378383,Briggs Orsbon,Ball State,Mid-American,receiving,YPR,9.7
511420,Barrington Scott,Ball State,Mid-American,receiving,TD,2
482243,Dwayne Donigan,Ball State,Mid-American,receiving,TD,0
503693,Jack Tomlinson,Ball State,Mid-American,receiving,YDS,297
487659,Jamill Smith,Ball State,Mid-American,receiving,TD,3
482243,Dwayne Donigan,Ball State,Mid-American,receiving,REC,1
378383,Briggs Orsbon,Ball State,Mid-American,receiving,REC,57
482252,Zane Fakes,Ball State,Mid-American,receiving,LONG,25
511420,Barrington Scott,Ball State,Mid-American,receiving,YDS,25
487659,Jamill Smith,Ball State,Mid-American,receiving,REC,32
511422,Willie Snead,Ball State,Mid-American,receiving,TD,2
487659,Jamill Smith,Ball State,Mid-American,receiving,YDS,365
482249,Connor Ryan,Ball State,Mid-American,receiving,REC,23
511399,Jahwan Edwards,Ball State,Mid-American,receiving,REC,9
378373,Torieal Gibson,Ball State,Mid-American,receiving,LONG,94
511399,Jahwan Edwards,Ball State,Mid-American,receiving,LONG,11
503689,David Schneider,Ball State,Mid-American,receiving,LONG,51
511399,Jahwan Edwards,Ball State,Mid-American,receiving,TD,0
482252,Zane Fakes,Ball State,Mid-American,receiving,YDS,140
503693,Jack Tomlinson,Ball State,Mid-American,receiving,REC,34
511420,Barrington Scott,Ball State,Mid-American,receiving,YPR,4.2
378383,Briggs Orsbon,Ball State,Mid-American,receiving,TD,4
378373,Torieal Gibson,Ball State,Mid-American,receiving,REC,40
378372,Andre Dawson,Ball State,Mid-American,receiving,LONG,7
