playerId,player,team,conference,category,statType,stat
3124370,Skyler Seibold,Boise State,Mountain West,receiving,REC,1
3127581,Jabril Frazier,Boise State,Mountain West,receiving,YPR,5.5
4373678,Khalil Shakir,Boise State,Mountain West,receiving,LONG,49
4373673,John Hightower,Boise State,Mountain West,receiving,YDS,504
3127579,Chase Blakley,Boise State,Mountain West,receiving,LONG,16
4048243,Robert Mahone,Boise State,Mountain West,receiving,YPR,7.2
4260452,CT Thomas,Boise State,Mountain West,receiving,LONG,53
4260452,CT Thomas,Boise State,Mountain West,receiving,REC,41
4048244,Alexander Mattison,Boise State,Mountain West,receiving,YPR,6.4
3127581,Jabril Frazier,Boise State,Mountain West,receiving,REC,2
3722368,Matt Pistone,Boise State,Mountain West,receiving,REC,1
3722361,Akilian Butler,Boise State,Mountain West,receiving,REC,25
4260441,Octavius Evans,Boise State,Mountain West,receiving,YPR,6.0
3722361,Akilian Butler,Boise State,Mountain West,receiving,YDS,204
4260441,Octavius Evans,Boise State,Mountain West,receiving,LONG,11
4373673,John Hightower,Boise State,Mountain West,receiving,YPR,16.3
3929879,Garrett Collingham,Boise State,Mountain West,receiving,YDS,58
3124369,A.J. Richardson,Boise State,Mountain West,receiving,REC,54
3124370,Skyler Seibold,Boise State,Mountain West,receiving,TD,0
3124370,Skyler Seibold,Boise State,Mountain West,receiving,LONG,3
3127588,Sean Modster,Boise State,Mountain West,receiving,TD,8
3124898,Tony Lashley,Boise State,Mountain West,receiving,YDS,5
4048244,Alexander Mattison,Boise State,Mountain West,receiving,LONG,23
3722368,Matt Pistone,Boise State,Mountain West,receiving,TD,0
3127579,Chase Blakley,Boise State,Mountain West,receiving,YDS,89
4048243,Robert Mahone,Boise State,Mountain West,receiving,LONG,10
3929879,Garrett Collingham,Boise State,Mountain West,receiving,TD,1
3722368,Matt Pistone,Boise State,Mountain West,receiving,YPR,4.0
3722361,Akilian Butler,Boise State,Mountain West,receiving,TD,2
4048228,John Bates,Boise State,Mountain West,receiving,LONG,30
3127588,Sean Modster,Boise State,Mountain West,receiving,REC,68
4373673,John Hightower,Boise State,Mountain West,receiving,TD,6
4048243,Robert Mahone,Boise State,Mountain West,receiving,YDS,86
3722368,Matt Pistone,Boise State,Mountain West,receiving,YDS,4
3722361,Akilian Butler,Boise State,Mountain West,receiving,LONG,24
3124369,A.J. Richardson,Boise State,Mountain West,receiving,LONG,74
3127581,Jabril Frazier,Boise State,Mountain West,receiving,TD,0
3127579,Chase Blakley,Boise State,Mountain West,receiving,REC,17
3124369,A.J. Richardson,Boise State,Mountain West,receiving,YDS,825
4373678,Khalil Shakir,Boise State,Mountain West,receiving,TD,1
3124369,A.J. Richardson,Boise State,Mountain West,receiving,YPR,15.3
3127588,Sean Modster,Boise State,Mountain West,receiving,LONG,54
4048244,Alexander Mattison,Boise State,Mountain West,receiving,REC,27
3929879,Garrett Collingham,Boise State,Mountain West,receiving,YPR,11.6
3929879,Garrett Collingham,Boise State,Mountain West,receiving,REC,5
4373678,Khalil Shakir,Boise State,Mountain West,receiving,REC,16
4048244,Alexander Mattison,Boise State,Mountain West,receiving,YDS,173
4048243,Robert Mahone,Boise State,Mountain West,receiving,TD,0
3124898,Tony Lashley,Boise State,Mountain West,receiving,TD,0
3722361,Akilian Butler,Boise State,Mountain West,receiving,YPR,8.2
3127588,Sean Modster,Boise State,Mountain West,receiving,YPR,14.4
3124370,Skyler Seibold,Boise State,Mountain West,receiving,YPR,3.0
3127579,Chase Blakley,Boise State,Mountain West,receiving,TD,1
3124898,Tony Lashley,Boise State,Mountain West,receiving,LONG,5
4373678,Khalil Shakir,Boise State,Mountain West,receiving,YDS,170
4260441,Octavius Evans,Boise State,Mountain West,receiving,YDS,12
4048228,John Bates,Boise State,Mountain West,receiving,TD,1
4048228,John Bates,Boise State,Mountain West,receiving,YPR,15.5
4373673,John Hightower,Boise State,Mountain West,receiving,LONG,67
3127588,Sean Modster,Boise State,Mountain West,receiving,YDS,978
3127579,Chase Blakley,Boise State,Mountain West,receiving,YPR,5.2
4048243,Robert Mahone,Boise State,Mountain West,receiving,REC,12
3124369,A.J. Richardson,Boise State,Mountain West,receiving,TD,8
3124898,Tony Lashley,Boise State,Mountain West,receiving,REC,1
4048228,John Bates,Boise State,Mountain West,receiving,REC,10
4260452,CT Thomas,Boise State,Mountain West,receiving,YDS,535
4048228,John Bates,Boise State,Mountain West,receiving,YDS,155
3929879,Garrett Collingham,Boise State,Mountain West,receiving,LONG,26
3127581,Jabril Frazier,Boise State,Mountain West,receiving,LONG,9
4373673,John Hightower,Boise State,Mountain West,receiving,REC,31
4260441,Octavius Evans,Boise State,Mountain West,receiving,TD,0
4260452,CT Thomas,Boise State,Mountain West,receiving,TD,3
4260452,CT Thomas,Boise State,Mountain West,receiving,YPR,13.0
4260441,Octavius Evans,Boise State,Mountain West,receiving,REC,2
3722368,Matt Pistone,Boise State,Mountain West,receiving,LONG,4
3127581,Jabril Frazier,Boise State,Mountain West,receiving,YDS,11
3124898,Tony Lashley,Boise State,Mountain West,receiving,YPR,5.0
4048244,Alexander Mattison,Boise State,Mountain West,receiving,TD,0
4373678,Khalil Shakir,Boise State,Mountain West,receiving,YPR,10.6
3124370,Skyler Seibold,Boise State,Mountain West,receiving,YDS,3
