playerId,player,team,conference,category,statType,stat
3915300,Colton Cardinal,Boston College,ACC,receiving,YDS,0
4239934,AJ Dillon,Boston College,ACC,receiving,LONG,15
4035362,Ray Marten,Boston College,ACC,receiving,YDS,74
3929118,Jeff Smith,Boston College,ACC,receiving,YPR,19.2
3915289,Ben Glines,Boston College,ACC,receiving,LONG,40
3915289,Ben Glines,Boston College,ACC,receiving,YPR,14.0
4239941,Travis Levy,Boston College,ACC,receiving,YPR,8.4
3915289,Ben Glines,Boston College,ACC,receiving,REC,13
4239938,CJ Lewis,Boston College,ACC,receiving,LONG,38
3929118,Jeff Smith,Boston College,ACC,receiving,REC,21
4239952,Noah Jordan-Williams,Boston College,ACC,receiving,LONG,65
4035351,Curt Bletzer,Boston College,ACC,receiving,YDS,5
4239941,Travis Levy,Boston College,ACC,receiving,YDS,160
4035351,Curt Bletzer,Boston College,ACC,receiving,REC,1
4239938,CJ Lewis,Boston College,ACC,receiving,TD,1
4035312,Anthony Brown,Boston College,ACC,receiving,TD,1
4239952,Noah Jordan-Williams,Boston College,ACC,receiving,YDS,74
3915296,Michael Walker,Boston College,ACC,receiving,REC,16
3915307,Chris Garrison,Boston College,ACC,receiving,REC,5
3915285,Wyatt Ray,Boston College,ACC,receiving,YDS,8
4239938,CJ Lewis,Boston College,ACC,receiving,YDS,130
4035333,Korab Idrizi,Boston College,ACC,receiving,REC,13
4035362,Ray Marten,Boston College,ACC,receiving,REC,5
4360215,Joey Luchetti,Boston College,ACC,receiving,YPR,2.0
3915300,Colton Cardinal,Boston College,ACC,receiving,TD,0
3929118,Jeff Smith,Boston College,ACC,receiving,YDS,403
4239944,Hunter Long,Boston College,ACC,receiving,YDS,103
3915307,Chris Garrison,Boston College,ACC,receiving,YPR,11.0
4239934,AJ Dillon,Boston College,ACC,receiving,REC,8
3122818,Tommy Sweeney,Boston College,ACC,receiving,YPR,10.9
3915300,Colton Cardinal,Boston College,ACC,receiving,LONG,0
3915285,Wyatt Ray,Boston College,ACC,receiving,TD,0
3915308,Jake Burt,Boston College,ACC,receiving,YDS,83
4239934,AJ Dillon,Boston College,ACC,receiving,TD,1
3122818,Tommy Sweeney,Boston College,ACC,receiving,TD,3
4035351,Curt Bletzer,Boston College,ACC,receiving,LONG,5
4035319,Kobay White,Boston College,ACC,receiving,YDS,510
4239952,Noah Jordan-Williams,Boston College,ACC,receiving,YPR,24.7
