playerId,player,team,conference,category,statType,stat
482934,Jordan Hopgood,Bowling Green,Mid-American,receiving,YDS,24
513572,Herve Coby,Bowling Green,Mid-American,receiving,YDS,29
513596,Ryan Burbrink,Bowling Green,Mid-American,receiving,YDS,477
513596,Ryan Burbrink,Bowling Green,Mid-American,receiving,REC,30
503717,Dominic Flewellyn,Bowling Green,Mid-American,receiving,TD,0
503727,Heath Jackson,Bowling Green,Mid-American,receiving,REC,32
513573,Matt Quinn Johnson,Bowling Green,Mid-American,receiving,YPR,0
503729,Tyler Beck,Bowling Green,Mid-American,receiving,LONG,41
482934,Jordan Hopgood,Bowling Green,Mid-American,receiving,TD,0
482934,Jordan Hopgood,Bowling Green,Mid-American,receiving,REC,3
513574,Travis Calton Greene,Bowling Green,Mid-American,receiving,REC,18
487561,Shaun Joplin,Bowling Green,Mid-American,receiving,TD,3
487561,Shaun Joplin,Bowling Green,Mid-American,receiving,YDS,908
531830,Jared Cohen,Bowling Green,Mid-American,receiving,REC,10
547077,Fred Coppet,Bowling Green,Mid-American,receiving,LONG,6
482925,Alex Bayer,Bowling Green,Mid-American,receiving,LONG,57
547066,Ronnie Moore,Bowling Green,Mid-American,receiving,TD,7
482925,Alex Bayer,Bowling Green,Mid-American,receiving,YPR,16.0
513572,Herve Coby,Bowling Green,Mid-American,receiving,LONG,17
513588,Chris Gallon,Bowling Green,Mid-American,receiving,REC,24
513588,Chris Gallon,Bowling Green,Mid-American,receiving,LONG,21
482934,Jordan Hopgood,Bowling Green,Mid-American,receiving,LONG,15
513596,Ryan Burbrink,Bowling Green,Mid-American,receiving,TD,2
513588,Chris Gallon,Bowling Green,Mid-American,receiving,YPR,9.7
513573,Matt Quinn Johnson,Bowling Green,Mid-American,receiving,LONG,0
513601,Chris Pohlman,Bowling Green,Mid-American,receiving,LONG,38
531800,Andre Givens,Bowling Green,Mid-American,receiving,REC,1
513574,Travis Calton Greene,Bowling Green,Mid-American,receiving,YPR,8.6
503717,Dominic Flewellyn,Bowling Green,Mid-American,receiving,REC,0
513573,Matt Quinn Johnson,Bowling Green,Mid-American,receiving,YDS,-8
513596,Ryan Burbrink,Bowling Green,Mid-American,receiving,YPR,15.9
503727,Heath Jackson,Bowling Green,Mid-American,receiving,YPR,11.4
547077,Fred Coppet,Bowling Green,Mid-American,receiving,REC,2
503729,Tyler Beck,Bowling Green,Mid-American,receiving,REC,10
513574,Travis Calton Greene,Bowling Green,Mid-American,receiving,LONG,30
531830,Jared Cohen,Bowling Green,Mid-American,receiving,LONG,21
513574,Travis Calton Greene,Bowling Green,Mid-American,receiving,YDS,155
482934,Jordan Hopgood,Bowling Green,Mid-American,receiving,YPR,8.0
503717,Dominic Flewellyn,Bowling Green,Mid-American,receiving,LONG,13
503727,Heath Jackson,Bowling Green,Mid-American,receiving,YDS,364
513574,Travis Calton Greene,Bowling Green,Mid-American,receiving,TD,2
531830,Jared Cohen,Bowling Green,Mid-American,receiving,YDS,112
513601,Chris Pohlman,Bowling Green,Mid-American,receiving,YDS,88
547066,Ronnie Moore,Bowling Green,Mid-American,receiving,YPR,19.5
531800,Andre Givens,Bowling Green,Mid-American,receiving,TD,0
503729,Tyler Beck,Bowling Green,Mid-American,receiving,YDS,177
487561,Shaun Joplin,Bowling Green,Mid-American,receiving,REC,54
487561,Shaun Joplin,Bowling Green,Mid-American,receiving,LONG,62
503717,Dominic Flewellyn,Bowling Green,Mid-American,receiving,YDS,13
482925,Alex Bayer,Bowling Green,Mid-American,receiving,REC,37
503727,Heath Jackson,Bowling Green,Mid-American,receiving,TD,3
547066,Ronnie Moore,Bowling Green,Mid-American,receiving,LONG,74
487561,Shaun Joplin,Bowling Green,Mid-American,receiving,YPR,16.8
513572,Herve Coby,Bowling Green,Mid-American,receiving,YPR,14.5
513588,Chris Gallon,Bowling Green,Mid-American,receiving,TD,2
547066,Ronnie Moore,Bowling Green,Mid-American,receiving,REC,28
513596,Ryan Burbrink,Bowling Green,Mid-American,receiving,LONG,92
531830,Jared Cohen,Bowling Green,Mid-American,receiving,YPR,11.2
531800,Andre Givens,Bowling Green,Mid-American,receiving,LONG,3
513572,Herve Coby,Bowling Green,Mid-American,receiving,REC,2
513601,Chris Pohlman,Bowling Green,Mid-American,receiving,REC,4
547077,Fred Coppet,Bowling Green,Mid-American,receiving,YDS,11
513588,Chris Gallon,Bowling Green,Mid-American,receiving,YDS,232
513601,Chris Pohlman,Bowling Green,Mid-American,receiving,TD,1
531800,Andre Givens,Bowling Green,Mid-American,receiving,YPR,3.0
547066,Ronnie Moore,Bowling Green,Mid-American,receiving,YDS,547
531830,Jared Cohen,Bowling Green,Mid-American,receiving,TD,1
503729,Tyler Beck,Bowling Green,Mid-American,receiving,TD,2
531800,Andre Givens,Bowling Green,Mid-American,receiving,YDS,3
547077,Fred Coppet,Bowling Green,Mid-American,receiving,TD,0
513572,Herve Coby,Bowling Green,Mid-American,receiving,TD,0
513601,Chris Pohlman,Bowling Green,Mid-American,receiving,YPR,22.0
547077,Fred Coppet,Bowling Green,Mid-American,receiving,YPR,5.5
513573,Matt Quinn Johnson,Bowling Green,Mid-American,receiving,REC,0
482925,Alex Bayer,Bowling Green,Mid-American,receiving,YDS,593
503717,Dominic Flewellyn,Bowling Green,Mid-American,receiving,YPR,0
513573,Matt Quinn Johnson,Bowling Green,Mid-American,receiving,TD,0
503729,Tyler Beck,Bowling Green,Mid-American,receiving,YPR,17.7
482925,Alex Bayer,Bowling Green,Mid-American,receiving,TD,4
503727,Heath Jackson,Bowling Green,Mid-American,receiving,LONG,32
