playerId,player,team,conference,category,statType,stat
3916573,Johnathan Hawkins,Buffalo,Mid-American,receiving,TD,0
4239721,Julien Bourassa,Buffalo,Mid-American,receiving,YDS,9
4257189,Kevin Marks,Buffalo,Mid-American,receiving,YPR,4.6
3916566,K.J. Osborn,Buffalo,Mid-American,receiving,LONG,75
4362452,Jaret Patterson,Buffalo,Mid-American,receiving,LONG,23
4049301,Anthony Johnson,Buffalo,Mid-American,receiving,TD,11
3916573,Johnathan Hawkins,Buffalo,Mid-American,receiving,YPR,9.4
4257183,Isaiah King,Buffalo,Mid-American,receiving,YDS,2
3916573,Johnathan Hawkins,Buffalo,Mid-American,receiving,LONG,19
4049294,Antonio Nunn,Buffalo,Mid-American,receiving,REC,12
3916573,Johnathan Hawkins,Buffalo,Mid-American,receiving,REC,5
4239721,Julien Bourassa,Buffalo,Mid-American,receiving,LONG,9
4049294,Antonio Nunn,Buffalo,Mid-American,receiving,TD,1
4257183,Isaiah King,Buffalo,Mid-American,receiving,TD,0
4049294,Antonio Nunn,Buffalo,Mid-American,receiving,YPR,12.2
4040846,Zac Lefebvre,Buffalo,Mid-American,receiving,TD,0
4040846,Zac Lefebvre,Buffalo,Mid-American,receiving,LONG,25
4257203,Rodney Scott III,Buffalo,Mid-American,receiving,YPR,7.7
4239721,Julien Bourassa,Buffalo,Mid-American,receiving,YPR,9.0
3916587,Tyler Mabry,Buffalo,Mid-American,receiving,YPR,8.5
4040846,Zac Lefebvre,Buffalo,Mid-American,receiving,REC,10
4257184,Tim Terry Jr.,Buffalo,Mid-American,receiving,YDS,1
4257184,Tim Terry Jr.,Buffalo,Mid-American,receiving,REC,1
3916573,Johnathan Hawkins,Buffalo,Mid-American,receiving,YDS,47
4257188,Charlie Jones,Buffalo,Mid-American,receiving,TD,3
4257203,Rodney Scott III,Buffalo,Mid-American,receiving,LONG,11
4257184,Tim Terry Jr.,Buffalo,Mid-American,receiving,YPR,1.0
3121560,George Rushing,Buffalo,Mid-American,receiving,TD,4
3121560,George Rushing,Buffalo,Mid-American,receiving,REC,22
3916587,Tyler Mabry,Buffalo,Mid-American,receiving,TD,2
4049301,Anthony Johnson,Buffalo,Mid-American,receiving,YDS,1011
4239721,Julien Bourassa,Buffalo,Mid-American,receiving,REC,1
4040827,Tito Overton,Buffalo,Mid-American,receiving,YDS,7
4362452,Jaret Patterson,Buffalo,Mid-American,receiving,YDS,62
4257183,Isaiah King,Buffalo,Mid-American,receiving,LONG,2
4257183,Isaiah King,Buffalo,Mid-American,receiving,REC,1
4239721,Julien Bourassa,Buffalo,Mid-American,receiving,TD,0
3916587,Tyler Mabry,Buffalo,Mid-American,receiving,YDS,230
4257183,Isaiah King,Buffalo,Mid-American,receiving,YPR,2.0
4362452,Jaret Patterson,Buffalo,Mid-American,receiving,YPR,8.9
4040827,Tito Overton,Buffalo,Mid-American,receiving,LONG,7
3121560,George Rushing,Buffalo,Mid-American,receiving,LONG,37
3916566,K.J. Osborn,Buffalo,Mid-American,receiving,YPR,16.8
4257188,Charlie Jones,Buffalo,Mid-American,receiving,YPR,21.9
4257184,Tim Terry Jr.,Buffalo,Mid-American,receiving,TD,0
4040846,Zac Lefebvre,Buffalo,Mid-American,receiving,YPR,8.4
3916566,K.J. Osborn,Buffalo,Mid-American,receiving,REC,53
4257203,Rodney Scott III,Buffalo,Mid-American,receiving,TD,0
3916566,K.J. Osborn,Buffalo,Mid-American,receiving,TD,7
3121560,George Rushing,Buffalo,Mid-American,receiving,YPR,8.5
4257184,Tim Terry Jr.,Buffalo,Mid-American,receiving,LONG,1
4257188,Charlie Jones,Buffalo,Mid-American,receiving,LONG,53
4362452,Jaret Patterson,Buffalo,Mid-American,receiving,REC,7
4049301,Anthony Johnson,Buffalo,Mid-American,receiving,LONG,75
3916587,Tyler Mabry,Buffalo,Mid-American,receiving,LONG,27
4257203,Rodney Scott III,Buffalo,Mid-American,receiving,YDS,23
4049301,Anthony Johnson,Buffalo,Mid-American,receiving,REC,57
3916587,Tyler Mabry,Buffalo,Mid-American,receiving,REC,27
4040827,Tito Overton,Buffalo,Mid-American,receiving,YPR,7.0
3916566,K.J. Osborn,Buffalo,Mid-American,receiving,YDS,892
4049301,Anthony Johnson,Buffalo,Mid-American,receiving,YPR,17.7
4049294,Antonio Nunn,Buffalo,Mid-American,receiving,LONG,51
4257189,Kevin Marks,Buffalo,Mid-American,receiving,REC,13
4257189,Kevin Marks,Buffalo,Mid-American,receiving,TD,0
4257188,Charlie Jones,Buffalo,Mid-American,receiving,REC,18
4362452,Jaret Patterson,Buffalo,Mid-American,receiving,TD,0
4257203,Rodney Scott III,Buffalo,Mid-American,receiving,REC,3
4257188,Charlie Jones,Buffalo,Mid-American,receiving,YDS,395
4040827,Tito Overton,Buffalo,Mid-American,receiving,REC,1
3121560,George Rushing,Buffalo,Mid-American,receiving,YDS,187
4040846,Zac Lefebvre,Buffalo,Mid-American,receiving,YDS,84
4257189,Kevin Marks,Buffalo,Mid-American,receiving,LONG,10
4049294,Antonio Nunn,Buffalo,Mid-American,receiving,YDS,146
4257189,Kevin Marks,Buffalo,Mid-American,receiving,YDS,60
4040827,Tito Overton,Buffalo,Mid-American,receiving,TD,0
