playerId,player,team,conference,category,statType,stat
512975,Courtney Williams,Central Michigan,Mid-American,receiving,YPR,18.3
482056,Adam Fenton,Central Michigan,Mid-American,receiving,REC,1
512956,Titus Davis,Central Michigan,Mid-American,receiving,YPR,18.8
504363,Caleb Southworth,Central Michigan,Mid-American,receiving,YPR,10.9
512975,Courtney Williams,Central Michigan,Mid-American,receiving,REC,21
504341,Deon Butler,Central Michigan,Mid-American,receiving,TD,0
504341,Deon Butler,Central Michigan,Mid-American,receiving,YPR,8.2
512976,Jason Wilson,Central Michigan,Mid-American,receiving,LONG,23
504345,Jarrett Fleming,Central Michigan,Mid-American,receiving,REC,4
504354,Tyler Lombardo,Central Michigan,Mid-American,receiving,TD,0
383481,David Blackburn,Central Michigan,Mid-American,receiving,LONG,61
482067,Connor Odykirk,Central Michigan,Mid-American,receiving,YPR,11.8
512975,Courtney Williams,Central Michigan,Mid-American,receiving,LONG,79
504358,Billy Myler,Central Michigan,Mid-American,receiving,TD,0
383488,Cedric Fraser,Central Michigan,Mid-American,receiving,YPR,8.3
482040,Tim Phillips,Central Michigan,Mid-American,receiving,TD,0
383491,Jerry Harris,Central Michigan,Mid-American,receiving,YPR,11.5
383491,Jerry Harris,Central Michigan,Mid-American,receiving,LONG,32
504341,Deon Butler,Central Michigan,Mid-American,receiving,YDS,49
482067,Connor Odykirk,Central Michigan,Mid-American,receiving,LONG,23
383487,Paris Cotton,Central Michigan,Mid-American,receiving,REC,11
504345,Jarrett Fleming,Central Michigan,Mid-American,receiving,YPR,11.3
512956,Titus Davis,Central Michigan,Mid-American,receiving,LONG,67
504363,Caleb Southworth,Central Michigan,Mid-American,receiving,TD,0
482042,Cody Wilson,Central Michigan,Mid-American,receiving,REC,48
482040,Tim Phillips,Central Michigan,Mid-American,receiving,YPR,8.0
504354,Tyler Lombardo,Central Michigan,Mid-American,receiving,LONG,18
512975,Courtney Williams,Central Michigan,Mid-American,receiving,TD,5
504341,Deon Butler,Central Michigan,Mid-American,receiving,LONG,16
504354,Tyler Lombardo,Central Michigan,Mid-American,receiving,YDS,33
482040,Tim Phillips,Central Michigan,Mid-American,receiving,LONG,13
512976,Jason Wilson,Central Michigan,Mid-American,receiving,YDS,106
482056,Adam Fenton,Central Michigan,Mid-American,receiving,YDS,5
482042,Cody Wilson,Central Michigan,Mid-American,receiving,LONG,45
482067,Connor Odykirk,Central Michigan,Mid-American,receiving,YDS,106
482042,Cody Wilson,Central Michigan,Mid-American,receiving,YDS,526
504345,Jarrett Fleming,Central Michigan,Mid-American,receiving,LONG,35
504363,Caleb Southworth,Central Michigan,Mid-American,receiving,LONG,25
383487,Paris Cotton,Central Michigan,Mid-American,receiving,YDS,166
482048,Zurlon Tipton,Central Michigan,Mid-American,receiving,YPR,7.3
383488,Cedric Fraser,Central Michigan,Mid-American,receiving,YDS,33
383491,Jerry Harris,Central Michigan,Mid-American,receiving,YDS,253
504358,Billy Myler,Central Michigan,Mid-American,receiving,YPR,13.5
482056,Adam Fenton,Central Michigan,Mid-American,receiving,YPR,5.0
482048,Zurlon Tipton,Central Michigan,Mid-American,receiving,LONG,36
383488,Cedric Fraser,Central Michigan,Mid-American,receiving,REC,4
504341,Deon Butler,Central Michigan,Mid-American,receiving,REC,6
504345,Jarrett Fleming,Central Michigan,Mid-American,receiving,YDS,45
482067,Connor Odykirk,Central Michigan,Mid-American,receiving,REC,9
504354,Tyler Lombardo,Central Michigan,Mid-American,receiving,YPR,4.7
482040,Tim Phillips,Central Michigan,Mid-American,receiving,YDS,80
504340,Ben Brown,Central Michigan,Mid-American,receiving,TD,0
383487,Paris Cotton,Central Michigan,Mid-American,receiving,YPR,15.1
383481,David Blackburn,Central Michigan,Mid-American,receiving,TD,5
512976,Jason Wilson,Central Michigan,Mid-American,receiving,YPR,11.8
504340,Ben Brown,Central Michigan,Mid-American,receiving,YDS,13
383487,Paris Cotton,Central Michigan,Mid-American,receiving,LONG,46
482042,Cody Wilson,Central Michigan,Mid-American,receiving,YPR,11.0
482067,Connor Odykirk,Central Michigan,Mid-American,receiving,TD,0
482042,Cody Wilson,Central Michigan,Mid-American,receiving,TD,3
482040,Tim Phillips,Central Michigan,Mid-American,receiving,REC,10
504358,Billy Myler,Central Michigan,Mid-American,receiving,LONG,16
482056,Adam Fenton,Central Michigan,Mid-American,receiving,TD,0
482048,Zurlon Tipton,Central Michigan,Mid-American,receiving,YDS,124
512956,Titus Davis,Central Michigan,Mid-American,receiving,TD,8
383481,David Blackburn,Central Michigan,Mid-American,receiving,YDS,479
512975,Courtney Williams,Central Michigan,Mid-American,receiving,YDS,385
512956,Titus Davis,Central Michigan,Mid-American,receiving,YDS,751
383491,Jerry Harris,Central Michigan,Mid-American,receiving,TD,2
383488,Cedric Fraser,Central Michigan,Mid-American,receiving,TD,0
504358,Billy Myler,Central Michigan,Mid-American,receiving,REC,2
383491,Jerry Harris,Central Michigan,Mid-American,receiving,REC,22
512956,Titus Davis,Central Michigan,Mid-American,receiving,REC,40
504340,Ben Brown,Central Michigan,Mid-American,receiving,REC,3
383488,Cedric Fraser,Central Michigan,Mid-American,receiving,LONG,22
482056,Adam Fenton,Central Michigan,Mid-American,receiving,LONG,5
