playerId,player,team,conference,category,statType,stat
4429562,Micaleous Elder,Charlotte,Conference USA,receiving,YPR,12.7
4259266,Cameron Bent,Charlotte,Conference USA,receiving,YPR,6.0
4045705,Aaron McAllister,Charlotte,Conference USA,receiving,YDS,69
4259269,Chris Reynolds,Charlotte,Conference USA,receiving,LONG,28
4259270,Cameron Dollar,Charlotte,Conference USA,receiving,LONG,49
4429562,Micaleous Elder,Charlotte,Conference USA,receiving,TD,1
4040821,Tyler Ringwood,Charlotte,Conference USA,receiving,YPR,15.8
4373716,Jacob Hunt,Charlotte,Conference USA,receiving,YDS,33
4040821,Tyler Ringwood,Charlotte,Conference USA,receiving,REC,25
4040821,Tyler Ringwood,Charlotte,Conference USA,receiving,TD,5
4570157,Noah Henderson,Charlotte,Conference USA,receiving,YPR,8.1
4045705,Aaron McAllister,Charlotte,Conference USA,receiving,TD,2
4045702,Benny LeMay,Charlotte,Conference USA,receiving,REC,19
4373695,Justin Jeffery,Charlotte,Conference USA,receiving,YPR,7.0
4259270,Cameron Dollar,Charlotte,Conference USA,receiving,YDS,599
4427301,Tre' Goode,Charlotte,Conference USA,receiving,LONG,18
4045696,Ryan Carriere,Charlotte,Conference USA,receiving,YDS,7
4259268,Victor Tucker,Charlotte,Conference USA,receiving,YDS,909
4035378,Christian Roberson,Charlotte,Conference USA,receiving,YDS,64
4259266,Cameron Bent,Charlotte,Conference USA,receiving,LONG,6
4373716,Jacob Hunt,Charlotte,Conference USA,receiving,TD,2
4035378,Christian Roberson,Charlotte,Conference USA,receiving,REC,5
4045705,Aaron McAllister,Charlotte,Conference USA,receiving,YPR,9.9
4427301,Tre' Goode,Charlotte,Conference USA,receiving,REC,1
4373703,Ishod Finger,Charlotte,Conference USA,receiving,YPR,6.8
4259268,Victor Tucker,Charlotte,Conference USA,receiving,LONG,58
4045696,Ryan Carriere,Charlotte,Conference USA,receiving,YPR,7.0
4373703,Ishod Finger,Charlotte,Conference USA,receiving,YDS,41
4045696,Ryan Carriere,Charlotte,Conference USA,receiving,LONG,7
4570157,Noah Henderson,Charlotte,Conference USA,receiving,YDS,65
4429562,Micaleous Elder,Charlotte,Conference USA,receiving,REC,21
4259268,Victor Tucker,Charlotte,Conference USA,receiving,TD,7
4373716,Jacob Hunt,Charlotte,Conference USA,receiving,LONG,19
4259269,Chris Reynolds,Charlotte,Conference USA,receiving,YDS,28
4045705,Aaron McAllister,Charlotte,Conference USA,receiving,LONG,27
4040821,Tyler Ringwood,Charlotte,Conference USA,receiving,LONG,52
4427301,Tre' Goode,Charlotte,Conference USA,receiving,TD,0
4427301,Tre' Goode,Charlotte,Conference USA,receiving,YPR,18.0
4259269,Chris Reynolds,Charlotte,Conference USA,receiving,REC,1
4373703,Ishod Finger,Charlotte,Conference USA,receiving,LONG,11
4427301,Tre' Goode,Charlotte,Conference USA,receiving,YDS,18
4373703,Ishod Finger,Charlotte,Conference USA,receiving,TD,0
4035378,Christian Roberson,Charlotte,Conference USA,receiving,TD,1
4045696,Ryan Carriere,Charlotte,Conference USA,receiving,REC,1
4259268,Victor Tucker,Charlotte,Conference USA,receiving,REC,52
4259269,Chris Reynolds,Charlotte,Conference USA,receiving,YPR,28.0
4373695,Justin Jeffery,Charlotte,Conference USA,receiving,YDS,7
4045696,Ryan Carriere,Charlotte,Conference USA,receiving,TD,0
4373716,Jacob Hunt,Charlotte,Conference USA,receiving,REC,6
4570157,Noah Henderson,Charlotte,Conference USA,receiving,TD,0
4373695,Justin Jeffery,Charlotte,Conference USA,receiving,TD,0
4035378,Christian Roberson,Charlotte,Conference USA,receiving,YPR,12.8
4045702,Benny LeMay,Charlotte,Conference USA,receiving,YDS,242
4045702,Benny LeMay,Charlotte,Conference USA,receiving,TD,4
4570157,Noah Henderson,Charlotte,Conference USA,receiving,LONG,20
4570157,Noah Henderson,Charlotte,Conference USA,receiving,REC,8
4040821,Tyler Ringwood,Charlotte,Conference USA,receiving,YDS,395
4045702,Benny LeMay,Charlotte,Conference USA,receiving,YPR,12.7
4259268,Victor Tucker,Charlotte,Conference USA,receiving,YPR,17.5
4429562,Micaleous Elder,Charlotte,Conference USA,receiving,LONG,39
4429562,Micaleous Elder,Charlotte,Conference USA,receiving,YDS,266
4259266,Cameron Bent,Charlotte,Conference USA,receiving,REC,1
4259270,Cameron Dollar,Charlotte,Conference USA,receiving,YPR,14.6
4045705,Aaron McAllister,Charlotte,Conference USA,receiving,REC,7
4373716,Jacob Hunt,Charlotte,Conference USA,receiving,YPR,5.5
4259270,Cameron Dollar,Charlotte,Conference USA,receiving,TD,2
4045702,Benny LeMay,Charlotte,Conference USA,receiving,LONG,47
4259270,Cameron Dollar,Charlotte,Conference USA,receiving,REC,41
4035378,Christian Roberson,Charlotte,Conference USA,receiving,LONG,29
4373703,Ishod Finger,Charlotte,Conference USA,receiving,REC,6
4373695,Justin Jeffery,Charlotte,Conference USA,receiving,REC,1
4259266,Cameron Bent,Charlotte,Conference USA,receiving,TD,0
4373695,Justin Jeffery,Charlotte,Conference USA,receiving,LONG,7
4259266,Cameron Bent,Charlotte,Conference USA,receiving,YDS,6
4259269,Chris Reynolds,Charlotte,Conference USA,receiving,TD,0
