playerId,player,team,conference,category,statType,stat
4428718,Tre Tucker,Cincinnati,American Athletic,receiving,REC,7
4360073,Jayshon Jackson,Cincinnati,American Athletic,receiving,YPR,10.1
4360083,Tavion Thomas,Cincinnati,American Athletic,receiving,YDS,6
4239099,Trent Cloud,Cincinnati,American Athletic,receiving,YPR,4.9
4239083,Michael Warren II,Cincinnati,American Athletic,receiving,TD,2
4360070,Wyatt Fischer,Cincinnati,American Athletic,receiving,REC,1
4037487,Malick Mbodj,Cincinnati,American Athletic,receiving,LONG,32
3914151,Josiah Deguara,Cincinnati,American Athletic,receiving,REC,39
3909123,Rashad Medaris,Cincinnati,American Athletic,receiving,LONG,75
4361369,L'Christian Smith,Cincinnati,American Athletic,receiving,YPR,9.5
4239083,Michael Warren II,Cincinnati,American Athletic,receiving,REC,21
4360080,Myjai Sanders,Cincinnati,American Athletic,receiving,YDS,7
3909123,Rashad Medaris,Cincinnati,American Athletic,receiving,TD,2
4360073,Jayshon Jackson,Cincinnati,American Athletic,receiving,LONG,24
4360083,Tavion Thomas,Cincinnati,American Athletic,receiving,REC,1
4360080,Myjai Sanders,Cincinnati,American Athletic,receiving,YPR,7.0
4037485,Bruno Labelle,Cincinnati,American Athletic,receiving,YDS,9
4360082,Leonard Taylor,Cincinnati,American Athletic,receiving,REC,4
4360078,Alec Pierce,Cincinnati,American Athletic,receiving,YDS,652
4037478,Gerrid Doaks,Cincinnati,American Athletic,receiving,REC,8
4037480,Thomas Geddis,Cincinnati,American Athletic,receiving,YPR,12.5
4360082,Leonard Taylor,Cincinnati,American Athletic,receiving,TD,1
4360078,Alec Pierce,Cincinnati,American Athletic,receiving,TD,2
3909123,Rashad Medaris,Cincinnati,American Athletic,receiving,REC,25
4360070,Wyatt Fischer,Cincinnati,American Athletic,receiving,LONG,7
4037478,Gerrid Doaks,Cincinnati,American Athletic,receiving,LONG,28
4360070,Wyatt Fischer,Cincinnati,American Athletic,receiving,YDS,7
4360073,Jayshon Jackson,Cincinnati,American Athletic,receiving,YDS,171
4360083,Tavion Thomas,Cincinnati,American Athletic,receiving,TD,0
4428718,Tre Tucker,Cincinnati,American Athletic,receiving,LONG,56
4037485,Bruno Labelle,Cincinnati,American Athletic,receiving,YPR,4.5
4360082,Leonard Taylor,Cincinnati,American Athletic,receiving,YDS,37
4360080,Myjai Sanders,Cincinnati,American Athletic,receiving,LONG,7
4360086,Josh Whyle,Cincinnati,American Athletic,receiving,REC,2
