playerId,player,team,conference,category,statType,stat
3728252,Sterling Johnson,Coastal Carolina,Sun Belt,receiving,TD,0
3728252,Sterling Johnson,Coastal Carolina,Sun Belt,receiving,YPR,6.0
4052029,Malcolm Williams,Coastal Carolina,Sun Belt,receiving,LONG,61
3728252,Sterling Johnson,Coastal Carolina,Sun Belt,receiving,LONG,6
4396553,Cj Marable,Coastal Carolina,Sun Belt,receiving,YDS,4
3728242,Shadell Bell,Coastal Carolina,Sun Belt,receiving,YDS,103
4396553,Cj Marable,Coastal Carolina,Sun Belt,receiving,LONG,4
4052007,Alex James,Coastal Carolina,Sun Belt,receiving,REC,5
4259749,Jeremiah Miller,Coastal Carolina,Sun Belt,receiving,TD,1
4036485,CJ Marable,Coastal Carolina,Sun Belt,receiving,YDS,176
4030390,Ky'Jon Tyler,Coastal Carolina,Sun Belt,receiving,YPR,15.3
4052028,T'Qele Holmes,Coastal Carolina,Sun Belt,receiving,YDS,17
4396553,Cj Marable,Coastal Carolina,Sun Belt,receiving,REC,1
4052007,Alex James,Coastal Carolina,Sun Belt,receiving,TD,1
3122792,Marcus Outlow,Coastal Carolina,Sun Belt,receiving,YDS,70
3122792,Marcus Outlow,Coastal Carolina,Sun Belt,receiving,LONG,15
4036485,CJ Marable,Coastal Carolina,Sun Belt,receiving,TD,2
4361029,Jaivon Heiligh,Coastal Carolina,Sun Belt,receiving,LONG,28
4036485,CJ Marable,Coastal Carolina,Sun Belt,receiving,LONG,48
4259749,Jeremiah Miller,Coastal Carolina,Sun Belt,receiving,LONG,24
4036485,CJ Marable,Coastal Carolina,Sun Belt,receiving,REC,14
4259749,Jeremiah Miller,Coastal Carolina,Sun Belt,receiving,YPR,13.0
4052003,Larry Collins Jr.,Coastal Carolina,Sun Belt,receiving,REC,3
4052003,Larry Collins Jr.,Coastal Carolina,Sun Belt,receiving,LONG,31
4052028,T'Qele Holmes,Coastal Carolina,Sun Belt,receiving,TD,0
4030404,Josh Anderson,Coastal Carolina,Sun Belt,receiving,LONG,8
4396553,Cj Marable,Coastal Carolina,Sun Belt,receiving,TD,0
4052003,Larry Collins Jr.,Coastal Carolina,Sun Belt,receiving,TD,0
4030404,Josh Anderson,Coastal Carolina,Sun Belt,receiving,YDS,8
4396553,Cj Marable,Coastal Carolina,Sun Belt,receiving,YPR,4.0
3728252,Sterling Johnson,Coastal Carolina,Sun Belt,receiving,YDS,6
4361029,Jaivon Heiligh,Coastal Carolina,Sun Belt,receiving,TD,2
4030390,Ky'Jon Tyler,Coastal Carolina,Sun Belt,receiving,LONG,81
4030390,Ky'Jon Tyler,Coastal Carolina,Sun Belt,receiving,YDS,397
3728242,Shadell Bell,Coastal Carolina,Sun Belt,receiving,YPR,12.9
4259749,Jeremiah Miller,Coastal Carolina,Sun Belt,receiving,REC,21
4052028,T'Qele Holmes,Coastal Carolina,Sun Belt,receiving,LONG,17
4259749,Jeremiah Miller,Coastal Carolina,Sun Belt,receiving,YDS,272
4361050,Isaiah Likely,Coastal Carolina,Sun Belt,receiving,YDS,106
4052003,Larry Collins Jr.,Coastal Carolina,Sun Belt,receiving,YPR,21.0
4052007,Alex James,Coastal Carolina,Sun Belt,receiving,YDS,26
4052007,Alex James,Coastal Carolina,Sun Belt,receiving,LONG,9
3728242,Shadell Bell,Coastal Carolina,Sun Belt,receiving,LONG,26
4036485,CJ Marable,Coastal Carolina,Sun Belt,receiving,YPR,12.6
4052029,Malcolm Williams,Coastal Carolina,Sun Belt,receiving,YDS,724
4052029,Malcolm Williams,Coastal Carolina,Sun Belt,receiving,TD,5
4052029,Malcolm Williams,Coastal Carolina,Sun Belt,receiving,YPR,15.4
4052003,Larry Collins Jr.,Coastal Carolina,Sun Belt,receiving,YDS,63
4030390,Ky'Jon Tyler,Coastal Carolina,Sun Belt,receiving,REC,26
3728252,Sterling Johnson,Coastal Carolina,Sun Belt,receiving,REC,1
4052029,Malcolm Williams,Coastal Carolina,Sun Belt,receiving,REC,47
4052007,Alex James,Coastal Carolina,Sun Belt,receiving,YPR,5.2
4052028,T'Qele Holmes,Coastal Carolina,Sun Belt,receiving,REC,1
3728242,Shadell Bell,Coastal Carolina,Sun Belt,receiving,REC,8
4361050,Isaiah Likely,Coastal Carolina,Sun Belt,receiving,TD,5
4361029,Jaivon Heiligh,Coastal Carolina,Sun Belt,receiving,YDS,188
3122792,Marcus Outlow,Coastal Carolina,Sun Belt,receiving,TD,0
4052028,T'Qele Holmes,Coastal Carolina,Sun Belt,receiving,YPR,17.0
3122792,Marcus Outlow,Coastal Carolina,Sun Belt,receiving,REC,11
3728242,Shadell Bell,Coastal Carolina,Sun Belt,receiving,TD,1
4361050,Isaiah Likely,Coastal Carolina,Sun Belt,receiving,REC,12
4030404,Josh Anderson,Coastal Carolina,Sun Belt,receiving,REC,1
4361050,Isaiah Likely,Coastal Carolina,Sun Belt,receiving,LONG,31
4030404,Josh Anderson,Coastal Carolina,Sun Belt,receiving,YPR,8.0
4361029,Jaivon Heiligh,Coastal Carolina,Sun Belt,receiving,REC,13
4030404,Josh Anderson,Coastal Carolina,Sun Belt,receiving,TD,0
4361050,Isaiah Likely,Coastal Carolina,Sun Belt,receiving,YPR,8.8
4361029,Jaivon Heiligh,Coastal Carolina,Sun Belt,receiving,YPR,14.5
3122792,Marcus Outlow,Coastal Carolina,Sun Belt,receiving,YPR,6.4
4030390,Ky'Jon Tyler,Coastal Carolina,Sun Belt,receiving,TD,2
