playerId,player,team,conference,category,statType,stat
5082251,Vann Schield,Colorado State,Mountain West,receiving,TD,0
4589233,Dylan Goffney,Colorado State,Mountain West,receiving,LONG,42
4910239,Justus Ross-Simmons,Colorado State,Mountain West,receiving,YDS,724
4572525,Kobe Johnson,Colorado State,Mountain West,receiving,YPR,8.0
4589233,Dylan Goffney,Colorado State,Mountain West,receiving,YDS,298
4910239,Justus Ross-Simmons,Colorado State,Mountain West,receiving,YPR,16.1
4373634,Dallin Holker,Colorado State,Mountain West,receiving,YPR,12.0
5082251,Vann Schield,Colorado State,Mountain West,receiving,REC,11
4910239,Justus Ross-Simmons,Colorado State,Mountain West,receiving,TD,3
4597703,Tory Horton,Colorado State,Mountain West,receiving,YDS,1136
4589233,Dylan Goffney,Colorado State,Mountain West,receiving,TD,2
4432431,Avery Morrow,Colorado State,Mountain West,receiving,YDS,8
5082251,Vann Schield,Colorado State,Mountain West,receiving,YDS,79
5078251,Justin Marshall,Colorado State,Mountain West,receiving,LONG,17
5151382,Vince Brown II,Colorado State,Mountain West,receiving,REC,4
5117836,Jamari Person,Colorado State,Mountain West,receiving,YDS,8
4591746,Dane Olson,Colorado State,Mountain West,receiving,YPR,16.0
4589233,Dylan Goffney,Colorado State,Mountain West,receiving,REC,23
4873288,Dawson Menegatti,Colorado State,Mountain West,receiving,YPR,9.0
4608853,Peter Montini,Colorado State,Mountain West,receiving,TD,0
4591746,Dane Olson,Colorado State,Mountain West,receiving,REC,1
4432431,Avery Morrow,Colorado State,Mountain West,receiving,REC,3
5120454,Caleb Goodie,Colorado State,Mountain West,receiving,YDS,-1
5078251,Justin Marshall,Colorado State,Mountain West,receiving,REC,2
4572525,Kobe Johnson,Colorado State,Mountain West,receiving,TD,0
4432431,Avery Morrow,Colorado State,Mountain West,receiving,TD,0
5117836,Jamari Person,Colorado State,Mountain West,receiving,LONG,8
5082251,Vann Schield,Colorado State,Mountain West,receiving,LONG,16
4597703,Tory Horton,Colorado State,Mountain West,receiving,YPR,11.8
4597703,Tory Horton,Colorado State,Mountain West,receiving,LONG,76
5151382,Vince Brown II,Colorado State,Mountain West,receiving,YPR,8.0
5117836,Jamari Person,Colorado State,Mountain West,receiving,REC,1
5120454,Caleb Goodie,Colorado State,Mountain West,receiving,LONG,-1
4896389,Louis Brown,Colorado State,Mountain West,receiving,YDS,481
4608853,Peter Montini,Colorado State,Mountain West,receiving,REC,3
4591746,Dane Olson,Colorado State,Mountain West,receiving,YDS,16
4873288,Dawson Menegatti,Colorado State,Mountain West,receiving,TD,0
4572525,Kobe Johnson,Colorado State,Mountain West,receiving,LONG,13
4608853,Peter Montini,Colorado State,Mountain West,receiving,LONG,11
5078251,Justin Marshall,Colorado State,Mountain West,receiving,TD,0
4910239,Justus Ross-Simmons,Colorado State,Mountain West,receiving,LONG,75
4591746,Dane Olson,Colorado State,Mountain West,receiving,LONG,16
5078251,Justin Marshall,Colorado State,Mountain West,receiving,YDS,23
4597703,Tory Horton,Colorado State,Mountain West,receiving,REC,96
5120454,Caleb Goodie,Colorado State,Mountain West,receiving,REC,1
4873288,Dawson Menegatti,Colorado State,Mountain West,receiving,REC,6
4589233,Dylan Goffney,Colorado State,Mountain West,receiving,YPR,13.0
5117836,Jamari Person,Colorado State,Mountain West,receiving,TD,0
4873288,Dawson Menegatti,Colorado State,Mountain West,receiving,YDS,54
4572525,Kobe Johnson,Colorado State,Mountain West,receiving,YDS,32
5078251,Justin Marshall,Colorado State,Mountain West,receiving,YPR,11.5
4608853,Peter Montini,Colorado State,Mountain West,receiving,YPR,7.0
4896389,Louis Brown,Colorado State,Mountain West,receiving,TD,5
5117836,Jamari Person,Colorado State,Mountain West,receiving,YPR,8.0
5120454,Caleb Goodie,Colorado State,Mountain West,receiving,TD,0
4373634,Dallin Holker,Colorado State,Mountain West,receiving,YDS,767
4432431,Avery Morrow,Colorado State,Mountain West,receiving,YPR,2.7
4873288,Dawson Menegatti,Colorado State,Mountain West,receiving,LONG,17
4910239,Justus Ross-Simmons,Colorado State,Mountain West,receiving,REC,45
4597703,Tory Horton,Colorado State,Mountain West,receiving,TD,8
4373634,Dallin Holker,Colorado State,Mountain West,receiving,LONG,42
5151382,Vince Brown II,Colorado State,Mountain West,receiving,TD,0
4572525,Kobe Johnson,Colorado State,Mountain West,receiving,REC,4
4896389,Louis Brown,Colorado State,Mountain West,receiving,LONG,46
4896389,Louis Brown,Colorado State,Mountain West,receiving,YPR,10.2
4373634,Dallin Holker,Colorado State,Mountain West,receiving,TD,6
4591746,Dane Olson,Colorado State,Mountain West,receiving,TD,0
5151382,Vince Brown II,Colorado State,Mountain West,receiving,LONG,11
4432431,Avery Morrow,Colorado State,Mountain West,receiving,LONG,14
5120454,Caleb Goodie,Colorado State,Mountain West,receiving,YPR,-1.0
4896389,Louis Brown,Colorado State,Mountain West,receiving,REC,47
4608853,Peter Montini,Colorado State,Mountain West,receiving,YDS,21
4373634,Dallin Holker,Colorado State,Mountain West,receiving,REC,64
5151382,Vince Brown II,Colorado State,Mountain West,receiving,YDS,32
5082251,Vann Schield,Colorado State,Mountain West,receiving,YPR,7.2
