playerId,player,team,conference,category,statType,stat
3921932,Aaron McLean,Connecticut,American Athletic,receiving,REC,2
3125891,Alec Bloom,Connecticut,American Athletic,receiving,REC,15
546693,Tommy Myers,Connecticut,American Athletic,receiving,REC,9
3125891,Alec Bloom,Connecticut,American Athletic,receiving,YDS,142
3125891,Alec Bloom,Connecticut,American Athletic,receiving,YPR,9.5
3125902,Ron Johnson,Connecticut,American Athletic,receiving,YPR,5.9
4044099,Donovan Williams,Connecticut,American Athletic,receiving,TD,0
3125907,Arkeel Newsome,Connecticut,American Athletic,receiving,TD,2
546688,Brian Lemelle,Connecticut,American Athletic,receiving,LONG,43
3921918,Tyraiq Beals,Connecticut,American Athletic,receiving,TD,1
546693,Tommy Myers,Connecticut,American Athletic,receiving,YDS,83
3921932,Aaron McLean,Connecticut,American Athletic,receiving,YDS,40
3921918,Tyraiq Beals,Connecticut,American Athletic,receiving,REC,7
546700,Noel Thomas,Connecticut,American Athletic,receiving,REC,100
546688,Brian Lemelle,Connecticut,American Athletic,receiving,YDS,158
546688,Brian Lemelle,Connecticut,American Athletic,receiving,REC,12
3921931,Hergy Mayala,Connecticut,American Athletic,receiving,YDS,296
3921918,Tyraiq Beals,Connecticut,American Athletic,receiving,YPR,13.7
4044099,Donovan Williams,Connecticut,American Athletic,receiving,REC,1
3921931,Hergy Mayala,Connecticut,American Athletic,receiving,REC,23
3125907,Arkeel Newsome,Connecticut,American Athletic,receiving,REC,25
3921931,Hergy Mayala,Connecticut,American Athletic,receiving,LONG,41
3125902,Ron Johnson,Connecticut,American Athletic,receiving,REC,8
3125891,Alec Bloom,Connecticut,American Athletic,receiving,TD,1
546700,Noel Thomas,Connecticut,American Athletic,receiving,TD,3
4044099,Donovan Williams,Connecticut,American Athletic,receiving,LONG,11
546693,Tommy Myers,Connecticut,American Athletic,receiving,TD,0
546688,Brian Lemelle,Connecticut,American Athletic,receiving,TD,0
546688,Brian Lemelle,Connecticut,American Athletic,receiving,YPR,13.2
3914240,Tyler Davis,Connecticut,American Athletic,receiving,LONG,24
546693,Tommy Myers,Connecticut,American Athletic,receiving,LONG,17
546700,Noel Thomas,Connecticut,American Athletic,receiving,YDS,1179
3125907,Arkeel Newsome,Connecticut,American Athletic,receiving,LONG,70
3921932,Aaron McLean,Connecticut,American Athletic,receiving,TD,0
546693,Tommy Myers,Connecticut,American Athletic,receiving,YPR,9.2
3921931,Hergy Mayala,Connecticut,American Athletic,receiving,YPR,12.9
3914240,Tyler Davis,Connecticut,American Athletic,receiving,YPR,9.7
3921918,Tyraiq Beals,Connecticut,American Athletic,receiving,LONG,59
3125902,Ron Johnson,Connecticut,American Athletic,receiving,TD,0
3921932,Aaron McLean,Connecticut,American Athletic,receiving,YPR,20.0
3921931,Hergy Mayala,Connecticut,American Athletic,receiving,TD,0
3125907,Arkeel Newsome,Connecticut,American Athletic,receiving,YPR,10.9
4044099,Donovan Williams,Connecticut,American Athletic,receiving,YDS,11
3125902,Ron Johnson,Connecticut,American Athletic,receiving,YDS,47
3125902,Ron Johnson,Connecticut,American Athletic,receiving,LONG,8
546700,Noel Thomas,Connecticut,American Athletic,receiving,LONG,62
3914240,Tyler Davis,Connecticut,American Athletic,receiving,TD,1
3125891,Alec Bloom,Connecticut,American Athletic,receiving,LONG,25
3125907,Arkeel Newsome,Connecticut,American Athletic,receiving,YDS,273
546700,Noel Thomas,Connecticut,American Athletic,receiving,YPR,11.8
3914240,Tyler Davis,Connecticut,American Athletic,receiving,YDS,107
3921932,Aaron McLean,Connecticut,American Athletic,receiving,LONG,24
3914240,Tyler Davis,Connecticut,American Athletic,receiving,REC,11
4044099,Donovan Williams,Connecticut,American Athletic,receiving,YPR,11.0
3921918,Tyraiq Beals,Connecticut,American Athletic,receiving,YDS,96
