playerId,player,team,conference,category,statType,stat
4689690,Trent Davis,Duke,ACC,receiving,YDS,0
4565296,Cole Finney,Duke,ACC,receiving,REC,5
4360405,Jake Bobo,Duke,ACC,receiving,LONG,48
4360406,Mataeo Durant,Duke,ACC,receiving,TD,2
4433880,Jontavis Robertson,Duke,ACC,receiving,YDS,115
4429742,Darrell Harding Jr.,Duke,ACC,receiving,TD,0
4689690,Trent Davis,Duke,ACC,receiving,LONG,0
4565296,Cole Finney,Duke,ACC,receiving,YPR,20.2
4429470,Nicky Dalmolin,Duke,ACC,receiving,REC,15
4360405,Jake Bobo,Duke,ACC,receiving,YDS,794
4429251,Graham Barton,Duke,ACC,receiving,YPR,0
4429362,Jalon Calhoun,Duke,ACC,receiving,TD,3
4360406,Mataeo Durant,Duke,ACC,receiving,REC,27
4360407,Jarett Garner,Duke,ACC,receiving,LONG,30
4369468,Nate Kyei-Donkor,Duke,ACC,receiving,TD,0
4433880,Jontavis Robertson,Duke,ACC,receiving,TD,0
4429742,Darrell Harding Jr.,Duke,ACC,receiving,REC,12
4360407,Jarett Garner,Duke,ACC,receiving,REC,10
4429742,Darrell Harding Jr.,Duke,ACC,receiving,YDS,141
4689690,Trent Davis,Duke,ACC,receiving,YPR,0.0
4429470,Nicky Dalmolin,Duke,ACC,receiving,YDS,121
4429362,Jalon Calhoun,Duke,ACC,receiving,YDS,718
4433880,Jontavis Robertson,Duke,ACC,receiving,REC,17
4612246,Sahmir Hagans,Duke,ACC,receiving,LONG,5
4428803,Jordan Waters,Duke,ACC,receiving,YDS,76
4612246,Sahmir Hagans,Duke,ACC,receiving,YPR,5.0
4369468,Nate Kyei-Donkor,Duke,ACC,receiving,YPR,0.0
4369468,Nate Kyei-Donkor,Duke,ACC,receiving,YDS,0
4433880,Jontavis Robertson,Duke,ACC,receiving,YPR,6.8
4430288,Eli Pancol,Duke,ACC,receiving,YPR,13.7
4360406,Mataeo Durant,Duke,ACC,receiving,LONG,53
4686328,Malik Bowen-Sims,Duke,ACC,receiving,REC,5
4429251,Graham Barton,Duke,ACC,receiving,LONG,-4
4428803,Jordan Waters,Duke,ACC,receiving,REC,6
4429362,Jalon Calhoun,Duke,ACC,receiving,REC,56
4369468,Nate Kyei-Donkor,Duke,ACC,receiving,REC,3
4360406,Mataeo Durant,Duke,ACC,receiving,YDS,256
4430288,Eli Pancol,Duke,ACC,receiving,YDS,233
4612246,Sahmir Hagans,Duke,ACC,receiving,TD,0
4430288,Eli Pancol,Duke,ACC,receiving,REC,17
4565296,Cole Finney,Duke,ACC,receiving,LONG,39
4429251,Graham Barton,Duke,ACC,receiving,TD,0
4429742,Darrell Harding Jr.,Duke,ACC,receiving,LONG,50
4686328,Malik Bowen-Sims,Duke,ACC,receiving,LONG,14
4612246,Sahmir Hagans,Duke,ACC,receiving,REC,1
4429470,Nicky Dalmolin,Duke,ACC,receiving,YPR,8.1
4429362,Jalon Calhoun,Duke,ACC,receiving,YPR,12.8
4428803,Jordan Waters,Duke,ACC,receiving,LONG,43
4428803,Jordan Waters,Duke,ACC,receiving,TD,1
4360405,Jake Bobo,Duke,ACC,receiving,YPR,10.7
4689690,Trent Davis,Duke,ACC,receiving,REC,1
4240473,Jake Marwede,Duke,ACC,receiving,TD,0
4428803,Jordan Waters,Duke,ACC,receiving,YPR,12.7
4360405,Jake Bobo,Duke,ACC,receiving,REC,74
4686328,Malik Bowen-Sims,Duke,ACC,receiving,YPR,8.0
4240473,Jake Marwede,Duke,ACC,receiving,YPR,8.8
4565296,Cole Finney,Duke,ACC,receiving,YDS,101
4430288,Eli Pancol,Duke,ACC,receiving,TD,1
4360405,Jake Bobo,Duke,ACC,receiving,TD,1
4433880,Jontavis Robertson,Duke,ACC,receiving,LONG,18
4360406,Mataeo Durant,Duke,ACC,receiving,YPR,9.5
4689690,Trent Davis,Duke,ACC,receiving,TD,0
4686328,Malik Bowen-Sims,Duke,ACC,receiving,TD,0
4686328,Malik Bowen-Sims,Duke,ACC,receiving,YDS,40
4240473,Jake Marwede,Duke,ACC,receiving,YDS,140
4429470,Nicky Dalmolin,Duke,ACC,receiving,TD,1
4360407,Jarett Garner,Duke,ACC,receiving,YPR,11.9
4612246,Sahmir Hagans,Duke,ACC,receiving,YDS,5
4369468,Nate Kyei-Donkor,Duke,ACC,receiving,LONG,4
4565296,Cole Finney,Duke,ACC,receiving,TD,0
4430288,Eli Pancol,Duke,ACC,receiving,LONG,28
4429251,Graham Barton,Duke,ACC,receiving,REC,0
4429742,Darrell Harding Jr.,Duke,ACC,receiving,YPR,11.8
4240473,Jake Marwede,Duke,ACC,receiving,LONG,33
4429362,Jalon Calhoun,Duke,ACC,receiving,LONG,80
4429470,Nicky Dalmolin,Duke,ACC,receiving,LONG,28
4360407,Jarett Garner,Duke,ACC,receiving,TD,0
4240473,Jake Marwede,Duke,ACC,receiving,REC,16
4429251,Graham Barton,Duke,ACC,receiving,YDS,-4
4360407,Jarett Garner,Duke,ACC,receiving,YDS,119
