playerId,player,team,conference,category,statType,stat
482965,Dayon Arrington,East Carolina,Conference USA,receiving,TD,0
482980,Zico Pasut,East Carolina,Conference USA,receiving,YPR,9.0
482976,Justin Jones,East Carolina,Conference USA,receiving,YPR,13.8
505407,Justin Hardy,East Carolina,Conference USA,receiving,TD,11
531503,Jabril Soloman,East Carolina,Conference USA,receiving,LONG,60
536603,Vintavious Cooper,East Carolina,Conference USA,receiving,REC,26
512463,Danny Webster,East Carolina,Conference USA,receiving,TD,5
482980,Zico Pasut,East Carolina,Conference USA,receiving,YDS,27
536603,Vintavious Cooper,East Carolina,Conference USA,receiving,TD,1
514831,Antonio Cannon,East Carolina,Conference USA,receiving,YPR,7.0
482990,Reese Wiggins,East Carolina,Conference USA,receiving,REC,25
531503,Jabril Soloman,East Carolina,Conference USA,receiving,TD,1
505407,Justin Hardy,East Carolina,Conference USA,receiving,YPR,12.6
482976,Justin Jones,East Carolina,Conference USA,receiving,TD,3
482965,Dayon Arrington,East Carolina,Conference USA,receiving,LONG,29
514833,Derrick Harris,East Carolina,Conference USA,receiving,REC,22
536607,Lance Ray,East Carolina,Conference USA,receiving,TD,0
536607,Lance Ray,East Carolina,Conference USA,receiving,YPR,4.0
512463,Danny Webster,East Carolina,Conference USA,receiving,YPR,9.8
383309,Andrew Bodenheimer,East Carolina,Conference USA,receiving,YPR,10.3
482971,Michael Dobson,East Carolina,Conference USA,receiving,YDS,194
514833,Derrick Harris,East Carolina,Conference USA,receiving,TD,0
514830,Reggie Bullock,East Carolina,Conference USA,receiving,YDS,53
482976,Justin Jones,East Carolina,Conference USA,receiving,YDS,346
514830,Reggie Bullock,East Carolina,Conference USA,receiving,YPR,4.1
514833,Derrick Harris,East Carolina,Conference USA,receiving,YDS,217
482990,Reese Wiggins,East Carolina,Conference USA,receiving,YPR,8.3
514830,Reggie Bullock,East Carolina,Conference USA,receiving,LONG,22
482971,Michael Dobson,East Carolina,Conference USA,receiving,YPR,8.4
536607,Lance Ray,East Carolina,Conference USA,receiving,LONG,7
514831,Antonio Cannon,East Carolina,Conference USA,receiving,LONG,7
482990,Reese Wiggins,East Carolina,Conference USA,receiving,YDS,208
514831,Antonio Cannon,East Carolina,Conference USA,receiving,REC,1
531503,Jabril Soloman,East Carolina,Conference USA,receiving,YDS,410
482976,Justin Jones,East Carolina,Conference USA,receiving,REC,25
482965,Dayon Arrington,East Carolina,Conference USA,receiving,REC,2
383309,Andrew Bodenheimer,East Carolina,Conference USA,receiving,TD,3
536603,Vintavious Cooper,East Carolina,Conference USA,receiving,YPR,8.8
482990,Reese Wiggins,East Carolina,Conference USA,receiving,TD,1
383309,Andrew Bodenheimer,East Carolina,Conference USA,receiving,YDS,371
536607,Lance Ray,East Carolina,Conference USA,receiving,REC,4
531503,Jabril Soloman,East Carolina,Conference USA,receiving,YPR,24.1
482971,Michael Dobson,East Carolina,Conference USA,receiving,REC,23
514833,Derrick Harris,East Carolina,Conference USA,receiving,YPR,9.9
383309,Andrew Bodenheimer,East Carolina,Conference USA,receiving,REC,36
536607,Lance Ray,East Carolina,Conference USA,receiving,YDS,16
514831,Antonio Cannon,East Carolina,Conference USA,receiving,TD,0
536603,Vintavious Cooper,East Carolina,Conference USA,receiving,LONG,33
536603,Vintavious Cooper,East Carolina,Conference USA,receiving,YDS,229
482990,Reese Wiggins,East Carolina,Conference USA,receiving,LONG,25
482965,Dayon Arrington,East Carolina,Conference USA,receiving,YPR,18.0
482965,Dayon Arrington,East Carolina,Conference USA,receiving,YDS,36
514833,Derrick Harris,East Carolina,Conference USA,receiving,LONG,50
512463,Danny Webster,East Carolina,Conference USA,receiving,REC,34
514830,Reggie Bullock,East Carolina,Conference USA,receiving,TD,0
482980,Zico Pasut,East Carolina,Conference USA,receiving,LONG,12
482976,Justin Jones,East Carolina,Conference USA,receiving,LONG,39
505407,Justin Hardy,East Carolina,Conference USA,receiving,LONG,76
514831,Antonio Cannon,East Carolina,Conference USA,receiving,YDS,7
531503,Jabril Soloman,East Carolina,Conference USA,receiving,REC,17
514830,Reggie Bullock,East Carolina,Conference USA,receiving,REC,13
383309,Andrew Bodenheimer,East Carolina,Conference USA,receiving,LONG,37
512463,Danny Webster,East Carolina,Conference USA,receiving,YDS,332
482971,Michael Dobson,East Carolina,Conference USA,receiving,TD,0
512463,Danny Webster,East Carolina,Conference USA,receiving,LONG,28
482980,Zico Pasut,East Carolina,Conference USA,receiving,TD,0
505407,Justin Hardy,East Carolina,Conference USA,receiving,REC,88
482980,Zico Pasut,East Carolina,Conference USA,receiving,REC,3
482971,Michael Dobson,East Carolina,Conference USA,receiving,LONG,23
505407,Justin Hardy,East Carolina,Conference USA,receiving,YDS,1105
