playerId,player,team,conference,category,statType,stat
3916616,Isaac Holder,Eastern Michigan,Mid-American,receiving,LONG,18
4039319,Antoine Porter,Eastern Michigan,Mid-American,receiving,YDS,548
3125833,Shaq Vann,Eastern Michigan,Mid-American,receiving,YPR,5.6
4039340,John Niupalau,Eastern Michigan,Mid-American,receiving,YDS,368
3125837,Blake Banham,Eastern Michigan,Mid-American,receiving,YPR,7.8
4039320,Sergio Bailey II,Eastern Michigan,Mid-American,receiving,YDS,878
4065226,Jaron Johnson,Eastern Michigan,Mid-American,receiving,REC,23
3125837,Blake Banham,Eastern Michigan,Mid-American,receiving,LONG,45
4039320,Sergio Bailey II,Eastern Michigan,Mid-American,receiving,LONG,74
3125850,Dan Buschman,Eastern Michigan,Mid-American,receiving,YPR,7.2
4039339,Mathew Sexton,Eastern Michigan,Mid-American,receiving,TD,2
4039339,Mathew Sexton,Eastern Michigan,Mid-American,receiving,YDS,357
3125837,Blake Banham,Eastern Michigan,Mid-American,receiving,YDS,94
3916653,Bryce Kemp,Eastern Michigan,Mid-American,receiving,TD,1
3125850,Dan Buschman,Eastern Michigan,Mid-American,receiving,TD,0
3916635,Breck Turner,Eastern Michigan,Mid-American,receiving,YPR,4.6
3916635,Breck Turner,Eastern Michigan,Mid-American,receiving,TD,0
4039339,Mathew Sexton,Eastern Michigan,Mid-American,receiving,REC,26
3916624,Dieuly Aristilde,Eastern Michigan,Mid-American,receiving,YDS,79
3916624,Dieuly Aristilde,Eastern Michigan,Mid-American,receiving,LONG,18
3125833,Shaq Vann,Eastern Michigan,Mid-American,receiving,YDS,62
3125850,Dan Buschman,Eastern Michigan,Mid-American,receiving,YDS,36
4039319,Antoine Porter,Eastern Michigan,Mid-American,receiving,REC,46
3125830,Ian Eriksen,Eastern Michigan,Mid-American,receiving,TD,0
3916616,Isaac Holder,Eastern Michigan,Mid-American,receiving,REC,9
3916653,Bryce Kemp,Eastern Michigan,Mid-American,receiving,REC,6
3916624,Dieuly Aristilde,Eastern Michigan,Mid-American,receiving,REC,7
4039320,Sergio Bailey II,Eastern Michigan,Mid-American,receiving,TD,9
3916651,Eddie Daugherty,Eastern Michigan,Mid-American,receiving,TD,0
3916653,Bryce Kemp,Eastern Michigan,Mid-American,receiving,YPR,19.8
3916651,Eddie Daugherty,Eastern Michigan,Mid-American,receiving,LONG,29
3125830,Ian Eriksen,Eastern Michigan,Mid-American,receiving,YPR,7.4
4065226,Jaron Johnson,Eastern Michigan,Mid-American,receiving,TD,1
3125837,Blake Banham,Eastern Michigan,Mid-American,receiving,TD,0
3125830,Ian Eriksen,Eastern Michigan,Mid-American,receiving,YDS,119
3916635,Breck Turner,Eastern Michigan,Mid-American,receiving,REC,5
4039319,Antoine Porter,Eastern Michigan,Mid-American,receiving,LONG,45
4065226,Jaron Johnson,Eastern Michigan,Mid-American,receiving,YDS,212
3916653,Bryce Kemp,Eastern Michigan,Mid-American,receiving,LONG,45
3125830,Ian Eriksen,Eastern Michigan,Mid-American,receiving,LONG,26
3916651,Eddie Daugherty,Eastern Michigan,Mid-American,receiving,YPR,11.0
3916653,Bryce Kemp,Eastern Michigan,Mid-American,receiving,YDS,119
4039320,Sergio Bailey II,Eastern Michigan,Mid-American,receiving,REC,54
3125833,Shaq Vann,Eastern Michigan,Mid-American,receiving,TD,0
4039340,John Niupalau,Eastern Michigan,Mid-American,receiving,REC,27
4039319,Antoine Porter,Eastern Michigan,Mid-American,receiving,TD,4
3125833,Shaq Vann,Eastern Michigan,Mid-American,receiving,LONG,28
3916635,Breck Turner,Eastern Michigan,Mid-American,receiving,LONG,13
3125833,Shaq Vann,Eastern Michigan,Mid-American,receiving,REC,11
4039340,John Niupalau,Eastern Michigan,Mid-American,receiving,LONG,43
3125850,Dan Buschman,Eastern Michigan,Mid-American,receiving,LONG,10
4065226,Jaron Johnson,Eastern Michigan,Mid-American,receiving,LONG,35
3916651,Eddie Daugherty,Eastern Michigan,Mid-American,receiving,REC,10
3916624,Dieuly Aristilde,Eastern Michigan,Mid-American,receiving,TD,0
3916635,Breck Turner,Eastern Michigan,Mid-American,receiving,YDS,23
4039340,John Niupalau,Eastern Michigan,Mid-American,receiving,TD,4
3916651,Eddie Daugherty,Eastern Michigan,Mid-American,receiving,YDS,110
3916624,Dieuly Aristilde,Eastern Michigan,Mid-American,receiving,YPR,11.3
4039320,Sergio Bailey II,Eastern Michigan,Mid-American,receiving,YPR,16.3
4039319,Antoine Porter,Eastern Michigan,Mid-American,receiving,YPR,11.9
3125850,Dan Buschman,Eastern Michigan,Mid-American,receiving,REC,5
4039340,John Niupalau,Eastern Michigan,Mid-American,receiving,YPR,13.6
3916616,Isaac Holder,Eastern Michigan,Mid-American,receiving,TD,0
4065226,Jaron Johnson,Eastern Michigan,Mid-American,receiving,YPR,9.2
4039339,Mathew Sexton,Eastern Michigan,Mid-American,receiving,YPR,13.7
3125830,Ian Eriksen,Eastern Michigan,Mid-American,receiving,REC,16
4039339,Mathew Sexton,Eastern Michigan,Mid-American,receiving,LONG,37
3125837,Blake Banham,Eastern Michigan,Mid-American,receiving,REC,12
3916616,Isaac Holder,Eastern Michigan,Mid-American,receiving,YDS,83
3916616,Isaac Holder,Eastern Michigan,Mid-American,receiving,YPR,9.2
