playerId,player,team,conference,category,statType,stat
516463,Derek Moise,Florida Atlantic,Conference USA,receiving,TD,1
550896,Kalib Woods,Florida Atlantic,Conference USA,receiving,YPR,13.9
550896,Kalib Woods,Florida Atlantic,Conference USA,receiving,YDS,223
515601,William Dukes,Florida Atlantic,Conference USA,receiving,YDS,259
550896,Kalib Woods,Florida Atlantic,Conference USA,receiving,LONG,44
505123,Marcus Cunningham,Florida Atlantic,Conference USA,receiving,LONG,15
3122732,Nate Terry,Florida Atlantic,Conference USA,receiving,YPR,18.3
505123,Marcus Cunningham,Florida Atlantic,Conference USA,receiving,TD,0
505146,Tony Moore,Florida Atlantic,Conference USA,receiving,YDS,43
537102,Jeremy Gaskins,Florida Atlantic,Conference USA,receiving,REC,2
505146,Tony Moore,Florida Atlantic,Conference USA,receiving,LONG,15
550882,Jay Warren,Florida Atlantic,Conference USA,receiving,YDS,26
537102,Jeremy Gaskins,Florida Atlantic,Conference USA,receiving,LONG,7
515601,William Dukes,Florida Atlantic,Conference USA,receiving,REC,15
505126,Alex Deleon,Florida Atlantic,Conference USA,receiving,TD,5
505126,Alex Deleon,Florida Atlantic,Conference USA,receiving,YPR,12.8
3122733,Kamrin Solomon,Florida Atlantic,Conference USA,receiving,TD,0
550873,Greg Hankerson,Florida Atlantic,Conference USA,receiving,YPR,0.5
537103,Martese Jackson,Florida Atlantic,Conference USA,receiving,YDS,29
550876,Jaquez Johnson,Florida Atlantic,Conference USA,receiving,TD,0
550873,Greg Hankerson,Florida Atlantic,Conference USA,receiving,YDS,1
505126,Alex Deleon,Florida Atlantic,Conference USA,receiving,YDS,295
3122715,Henry Bussey III,Florida Atlantic,Conference USA,receiving,YPR,22.0
550896,Kalib Woods,Florida Atlantic,Conference USA,receiving,TD,2
3122732,Nate Terry,Florida Atlantic,Conference USA,receiving,YDS,55
550872,DJ Juste,Florida Atlantic,Conference USA,receiving,YDS,10
550872,DJ Juste,Florida Atlantic,Conference USA,receiving,REC,1
550871,Lucky Whitehead,Florida Atlantic,Conference USA,receiving,REC,76
537102,Jeremy Gaskins,Florida Atlantic,Conference USA,receiving,YDS,12
550876,Jaquez Johnson,Florida Atlantic,Conference USA,receiving,YPR,0.0
505126,Alex Deleon,Florida Atlantic,Conference USA,receiving,LONG,50
550896,Kalib Woods,Florida Atlantic,Conference USA,receiving,REC,16
550882,Jay Warren,Florida Atlantic,Conference USA,receiving,REC,4
505146,Tony Moore,Florida Atlantic,Conference USA,receiving,TD,0
3122733,Kamrin Solomon,Florida Atlantic,Conference USA,receiving,LONG,16
516463,Derek Moise,Florida Atlantic,Conference USA,receiving,YDS,74
3122715,Henry Bussey III,Florida Atlantic,Conference USA,receiving,LONG,69
516463,Derek Moise,Florida Atlantic,Conference USA,receiving,LONG,14
550876,Jaquez Johnson,Florida Atlantic,Conference USA,receiving,YDS,0
537112,Michael Harrop,Florida Atlantic,Conference USA,receiving,TD,0
3122732,Nate Terry,Florida Atlantic,Conference USA,receiving,REC,3
3122732,Nate Terry,Florida Atlantic,Conference USA,receiving,TD,1
550876,Jaquez Johnson,Florida Atlantic,Conference USA,receiving,LONG,0
515601,William Dukes,Florida Atlantic,Conference USA,receiving,TD,1
550873,Greg Hankerson,Florida Atlantic,Conference USA,receiving,TD,0
537404,Jenson Stoshak,Florida Atlantic,Conference USA,receiving,REC,37
537112,Michael Harrop,Florida Atlantic,Conference USA,receiving,REC,1
550871,Lucky Whitehead,Florida Atlantic,Conference USA,receiving,LONG,61
516463,Derek Moise,Florida Atlantic,Conference USA,receiving,YPR,7.4
537404,Jenson Stoshak,Florida Atlantic,Conference USA,receiving,YDS,508
3122733,Kamrin Solomon,Florida Atlantic,Conference USA,receiving,REC,2
550882,Jay Warren,Florida Atlantic,Conference USA,receiving,LONG,15
3122715,Henry Bussey III,Florida Atlantic,Conference USA,receiving,YDS,88
550871,Lucky Whitehead,Florida Atlantic,Conference USA,receiving,TD,6
505123,Marcus Cunningham,Florida Atlantic,Conference USA,receiving,REC,3
3122715,Henry Bussey III,Florida Atlantic,Conference USA,receiving,TD,0
505126,Alex Deleon,Florida Atlantic,Conference USA,receiving,REC,23
550870,Braden Lyons,Florida Atlantic,Conference USA,receiving,TD,0
550871,Lucky Whitehead,Florida Atlantic,Conference USA,receiving,YDS,706
3122733,Kamrin Solomon,Florida Atlantic,Conference USA,receiving,YPR,14.0
537404,Jenson Stoshak,Florida Atlantic,Conference USA,receiving,YPR,13.7
537102,Jeremy Gaskins,Florida Atlantic,Conference USA,receiving,YPR,6.0
537103,Martese Jackson,Florida Atlantic,Conference USA,receiving,LONG,18
515601,William Dukes,Florida Atlantic,Conference USA,receiving,LONG,74
537112,Michael Harrop,Florida Atlantic,Conference USA,receiving,YDS,12
516463,Derek Moise,Florida Atlantic,Conference USA,receiving,REC,10
550882,Jay Warren,Florida Atlantic,Conference USA,receiving,YPR,6.5
550872,DJ Juste,Florida Atlantic,Conference USA,receiving,LONG,10
550870,Braden Lyons,Florida Atlantic,Conference USA,receiving,REC,1
505123,Marcus Cunningham,Florida Atlantic,Conference USA,receiving,YDS,33
537404,Jenson Stoshak,Florida Atlantic,Conference USA,receiving,LONG,59
505146,Tony Moore,Florida Atlantic,Conference USA,receiving,YPR,14.3
550873,Greg Hankerson,Florida Atlantic,Conference USA,receiving,REC,2
537103,Martese Jackson,Florida Atlantic,Conference USA,receiving,REC,2
550872,DJ Juste,Florida Atlantic,Conference USA,receiving,YPR,10.0
550870,Braden Lyons,Florida Atlantic,Conference USA,receiving,YPR,-8.0
550882,Jay Warren,Florida Atlantic,Conference USA,receiving,TD,0
537102,Jeremy Gaskins,Florida Atlantic,Conference USA,receiving,TD,0
3122733,Kamrin Solomon,Florida Atlantic,Conference USA,receiving,YDS,28
537404,Jenson Stoshak,Florida Atlantic,Conference USA,receiving,TD,2
505123,Marcus Cunningham,Florida Atlantic,Conference USA,receiving,YPR,11.0
505146,Tony Moore,Florida Atlantic,Conference USA,receiving,REC,3
550870,Braden Lyons,Florida Atlantic,Conference USA,receiving,YDS,-8
537112,Michael Harrop,Florida Atlantic,Conference USA,receiving,YPR,12.0
550873,Greg Hankerson,Florida Atlantic,Conference USA,receiving,LONG,1
537103,Martese Jackson,Florida Atlantic,Conference USA,receiving,YPR,14.5
537112,Michael Harrop,Florida Atlantic,Conference USA,receiving,LONG,12
550871,Lucky Whitehead,Florida Atlantic,Conference USA,receiving,YPR,9.3
515601,William Dukes,Florida Atlantic,Conference USA,receiving,YPR,17.3
3122732,Nate Terry,Florida Atlantic,Conference USA,receiving,LONG,20
550872,DJ Juste,Florida Atlantic,Conference USA,receiving,TD,0
537103,Martese Jackson,Florida Atlantic,Conference USA,receiving,TD,0
550876,Jaquez Johnson,Florida Atlantic,Conference USA,receiving,REC,1
550870,Braden Lyons,Florida Atlantic,Conference USA,receiving,LONG,-8
3122715,Henry Bussey III,Florida Atlantic,Conference USA,receiving,REC,4
