playerId,player,team,conference,category,statType,stat
551279,Jonnu Smith,Florida International,Conference USA,receiving,YPR,11.0
3128844,Dennis Turner,Florida International,Conference USA,receiving,REC,11
519984,Ya'Keem Griner,Florida International,Conference USA,receiving,LONG,47
3921645,Julian Williams,Florida International,Conference USA,receiving,REC,19
3128840,Alex Gardner,Florida International,Conference USA,receiving,TD,1
3128844,Dennis Turner,Florida International,Conference USA,receiving,YDS,153
512700,Juwan Caesar,Florida International,Conference USA,receiving,YPR,3.0
551272,Shug Oyegunle,Florida International,Conference USA,receiving,LONG,79
3128852,Thomas Owens,Florida International,Conference USA,receiving,REC,51
519999,Clinton Taylor,Florida International,Conference USA,receiving,LONG,38
3914312,Shawn Abrams,Florida International,Conference USA,receiving,YDS,74
3128844,Dennis Turner,Florida International,Conference USA,receiving,TD,2
3128840,Alex Gardner,Florida International,Conference USA,receiving,YDS,442
551279,Jonnu Smith,Florida International,Conference USA,receiving,YDS,397
3128840,Alex Gardner,Florida International,Conference USA,receiving,LONG,27
522058,Akil Dan-Fodio,Florida International,Conference USA,receiving,TD,0
3914312,Shawn Abrams,Florida International,Conference USA,receiving,YPR,12.3
519999,Clinton Taylor,Florida International,Conference USA,receiving,TD,3
3128852,Thomas Owens,Florida International,Conference USA,receiving,LONG,75
522058,Akil Dan-Fodio,Florida International,Conference USA,receiving,YDS,238
519999,Clinton Taylor,Florida International,Conference USA,receiving,YPR,10.5
3128852,Thomas Owens,Florida International,Conference USA,receiving,TD,8
551272,Shug Oyegunle,Florida International,Conference USA,receiving,REC,2
3914305,Anthony Jones,Florida International,Conference USA,receiving,REC,5
513571,Anthon Samuel,Florida International,Conference USA,receiving,YDS,16
3914305,Anthony Jones,Florida International,Conference USA,receiving,TD,0
551272,Shug Oyegunle,Florida International,Conference USA,receiving,YPR,41.5
513571,Anthon Samuel,Florida International,Conference USA,receiving,TD,0
513571,Anthon Samuel,Florida International,Conference USA,receiving,LONG,13
3128852,Thomas Owens,Florida International,Conference USA,receiving,YPR,12.5
3914305,Anthony Jones,Florida International,Conference USA,receiving,YDS,22
551272,Shug Oyegunle,Florida International,Conference USA,receiving,YDS,83
551279,Jonnu Smith,Florida International,Conference USA,receiving,LONG,67
519984,Ya'Keem Griner,Florida International,Conference USA,receiving,REC,21
522058,Akil Dan-Fodio,Florida International,Conference USA,receiving,LONG,40
512700,Juwan Caesar,Florida International,Conference USA,receiving,YDS,3
512700,Juwan Caesar,Florida International,Conference USA,receiving,TD,0
519984,Ya'Keem Griner,Florida International,Conference USA,receiving,YDS,225
522058,Akil Dan-Fodio,Florida International,Conference USA,receiving,YPR,11.3
3921645,Julian Williams,Florida International,Conference USA,receiving,YDS,176
551279,Jonnu Smith,Florida International,Conference USA,receiving,REC,36
3914305,Anthony Jones,Florida International,Conference USA,receiving,YPR,4.4
3921645,Julian Williams,Florida International,Conference USA,receiving,LONG,34
3128840,Alex Gardner,Florida International,Conference USA,receiving,REC,60
3914312,Shawn Abrams,Florida International,Conference USA,receiving,TD,0
551279,Jonnu Smith,Florida International,Conference USA,receiving,TD,4
512700,Juwan Caesar,Florida International,Conference USA,receiving,LONG,3
519984,Ya'Keem Griner,Florida International,Conference USA,receiving,YPR,10.7
3128840,Alex Gardner,Florida International,Conference USA,receiving,YPR,7.4
512700,Juwan Caesar,Florida International,Conference USA,receiving,REC,1
519999,Clinton Taylor,Florida International,Conference USA,receiving,YDS,387
551272,Shug Oyegunle,Florida International,Conference USA,receiving,TD,1
522058,Akil Dan-Fodio,Florida International,Conference USA,receiving,REC,21
513571,Anthon Samuel,Florida International,Conference USA,receiving,REC,4
519984,Ya'Keem Griner,Florida International,Conference USA,receiving,TD,2
3914312,Shawn Abrams,Florida International,Conference USA,receiving,LONG,24
3128844,Dennis Turner,Florida International,Conference USA,receiving,YPR,13.9
3128844,Dennis Turner,Florida International,Conference USA,receiving,LONG,64
3921645,Julian Williams,Florida International,Conference USA,receiving,YPR,9.3
3921645,Julian Williams,Florida International,Conference USA,receiving,TD,1
3914305,Anthony Jones,Florida International,Conference USA,receiving,LONG,15
3914312,Shawn Abrams,Florida International,Conference USA,receiving,REC,6
519999,Clinton Taylor,Florida International,Conference USA,receiving,REC,37
513571,Anthon Samuel,Florida International,Conference USA,receiving,YPR,4.0
3128852,Thomas Owens,Florida International,Conference USA,receiving,YDS,638
