playerId,player,team,conference,category,statType,stat
3692779,Da'Vante Phillips,Florida State,ACC,receiving,YDS,-3
546817,Jesus Wilson,Florida State,ACC,receiving,TD,3
3122935,Travis Rudolph,Florida State,ACC,receiving,YPR,15.5
3122926,Ermon Lane,Florida State,ACC,receiving,LONG,12
3693033,Jacques Patrick,Florida State,ACC,receiving,YDS,62
546816,Kermit Whitfield,Florida State,ACC,receiving,LONG,70
3921571,Nyqwan Murray,Florida State,ACC,receiving,TD,0
3122920,Ryan Izzo,Florida State,ACC,receiving,YDS,210
3921571,Nyqwan Murray,Florida State,ACC,receiving,LONG,32
530302,Mario Pender,Florida State,ACC,receiving,YDS,34
530302,Mario Pender,Florida State,ACC,receiving,LONG,17
3122920,Ryan Izzo,Florida State,ACC,receiving,YPR,15.0
3122926,Ermon Lane,Florida State,ACC,receiving,YDS,50
546812,Freddie Stevenson,Florida State,ACC,receiving,TD,0
3116593,Dalvin Cook,Florida State,ACC,receiving,REC,24
3692942,George Campbell,Florida State,ACC,receiving,TD,0
3116593,Dalvin Cook,Florida State,ACC,receiving,LONG,36
3116593,Dalvin Cook,Florida State,ACC,receiving,TD,1
530302,Mario Pender,Florida State,ACC,receiving,TD,0
3692942,George Campbell,Florida State,ACC,receiving,YDS,42
3122926,Ermon Lane,Florida State,ACC,receiving,TD,0
546817,Jesus Wilson,Florida State,ACC,receiving,YDS,622
546801,Jeremy Kerr,Florida State,ACC,receiving,LONG,1
3122926,Ermon Lane,Florida State,ACC,receiving,YPR,8.3
3122935,Travis Rudolph,Florida State,ACC,receiving,YDS,916
546812,Freddie Stevenson,Florida State,ACC,receiving,YPR,7.1
3122919,Ja'Vonn Harrison,Florida State,ACC,receiving,YPR,21.5
546812,Freddie Stevenson,Florida State,ACC,receiving,REC,9
3122935,Travis Rudolph,Florida State,ACC,receiving,LONG,75
3122936,Mavin Saunders,Florida State,ACC,receiving,YDS,52
3116593,Dalvin Cook,Florida State,ACC,receiving,YDS,244
546816,Kermit Whitfield,Florida State,ACC,receiving,REC,57
530302,Mario Pender,Florida State,ACC,receiving,REC,3
3692942,George Campbell,Florida State,ACC,receiving,LONG,23
3122939,Johnathan Vickers,Florida State,ACC,receiving,LONG,24
3122919,Ja'Vonn Harrison,Florida State,ACC,receiving,YDS,129
3122920,Ryan Izzo,Florida State,ACC,receiving,LONG,37
546817,Jesus Wilson,Florida State,ACC,receiving,LONG,51
3122920,Ryan Izzo,Florida State,ACC,receiving,REC,14
546801,Jeremy Kerr,Florida State,ACC,receiving,YPR,1.0
3921571,Nyqwan Murray,Florida State,ACC,receiving,REC,6
546817,Jesus Wilson,Florida State,ACC,receiving,REC,58
546816,Kermit Whitfield,Florida State,ACC,receiving,TD,6
546812,Freddie Stevenson,Florida State,ACC,receiving,YDS,64
3122939,Johnathan Vickers,Florida State,ACC,receiving,TD,1
546801,Jeremy Kerr,Florida State,ACC,receiving,YDS,1
3122935,Travis Rudolph,Florida State,ACC,receiving,TD,7
546801,Jeremy Kerr,Florida State,ACC,receiving,TD,1
3692779,Da'Vante Phillips,Florida State,ACC,receiving,TD,0
3122939,Johnathan Vickers,Florida State,ACC,receiving,REC,5
3122926,Ermon Lane,Florida State,ACC,receiving,REC,6
3692779,Da'Vante Phillips,Florida State,ACC,receiving,REC,1
3122939,Johnathan Vickers,Florida State,ACC,receiving,YDS,39
3122920,Ryan Izzo,Florida State,ACC,receiving,TD,2
3692942,George Campbell,Florida State,ACC,receiving,REC,3
546816,Kermit Whitfield,Florida State,ACC,receiving,YPR,14.0
546812,Freddie Stevenson,Florida State,ACC,receiving,LONG,17
546801,Jeremy Kerr,Florida State,ACC,receiving,REC,1
3122936,Mavin Saunders,Florida State,ACC,receiving,YPR,8.7
3122936,Mavin Saunders,Florida State,ACC,receiving,LONG,21
3693033,Jacques Patrick,Florida State,ACC,receiving,REC,6
3692942,George Campbell,Florida State,ACC,receiving,YPR,14.0
530302,Mario Pender,Florida State,ACC,receiving,YPR,11.3
3693033,Jacques Patrick,Florida State,ACC,receiving,TD,0
3116593,Dalvin Cook,Florida State,ACC,receiving,YPR,10.2
3692779,Da'Vante Phillips,Florida State,ACC,receiving,YPR,-3.0
3122919,Ja'Vonn Harrison,Florida State,ACC,receiving,LONG,55
3122935,Travis Rudolph,Florida State,ACC,receiving,REC,59
3122936,Mavin Saunders,Florida State,ACC,receiving,REC,6
546816,Kermit Whitfield,Florida State,ACC,receiving,YDS,798
3122919,Ja'Vonn Harrison,Florida State,ACC,receiving,TD,1
3122939,Johnathan Vickers,Florida State,ACC,receiving,YPR,7.8
3921571,Nyqwan Murray,Florida State,ACC,receiving,YPR,10.8
3693033,Jacques Patrick,Florida State,ACC,receiving,YPR,10.3
3122919,Ja'Vonn Harrison,Florida State,ACC,receiving,REC,6
3122936,Mavin Saunders,Florida State,ACC,receiving,TD,0
3692779,Da'Vante Phillips,Florida State,ACC,receiving,LONG,-3
3921571,Nyqwan Murray,Florida State,ACC,receiving,YDS,65
546817,Jesus Wilson,Florida State,ACC,receiving,YPR,10.7
3693033,Jacques Patrick,Florida State,ACC,receiving,LONG,20
