playerId,player,team,conference,category,statType,stat
504922,Isaiah Burse,Fresno State,Western Athletic,receiving,YPR,10.9
242338,Devon Wylie,Fresno State,Western Athletic,receiving,LONG,71
504924,Victor Dean,Fresno State,Western Athletic,receiving,REC,2
241945,Ryan Skidmore,Fresno State,Western Athletic,receiving,YDS,41
242338,Devon Wylie,Fresno State,Western Athletic,receiving,TD,1
504930,Josh Harper,Fresno State,Western Athletic,receiving,YDS,497
484100,Robbie Rouse,Fresno State,Western Athletic,receiving,REC,32
484090,A.J. Johnson,Fresno State,Western Athletic,receiving,REC,8
504922,Isaiah Burse,Fresno State,Western Athletic,receiving,REC,40
241763,Austin Raphael,Fresno State,Western Athletic,receiving,LONG,3
380719,Milton Knox,Fresno State,Western Athletic,receiving,YPR,13.0
504939,Jalen Saunders,Fresno State,Western Athletic,receiving,YDS,1065
382991,J.J. Stallworth,Fresno State,Western Athletic,receiving,YPR,9.0
242338,Devon Wylie,Fresno State,Western Athletic,receiving,YDS,716
382977,Rashad Evans,Fresno State,Western Athletic,receiving,YPR,8.0
484080,Derek Carr,Fresno State,Western Athletic,receiving,REC,1
484090,A.J. Johnson,Fresno State,Western Athletic,receiving,YPR,19.3
382983,Michael Harris,Fresno State,Western Athletic,receiving,REC,1
484080,Derek Carr,Fresno State,Western Athletic,receiving,YPR,-1.0
382983,Michael Harris,Fresno State,Western Athletic,receiving,YPR,1.0
382991,J.J. Stallworth,Fresno State,Western Athletic,receiving,TD,0
382983,Michael Harris,Fresno State,Western Athletic,receiving,LONG,1
484100,Robbie Rouse,Fresno State,Western Athletic,receiving,YPR,7.1
504939,Jalen Saunders,Fresno State,Western Athletic,receiving,LONG,88
484100,Robbie Rouse,Fresno State,Western Athletic,receiving,LONG,21
484080,Derek Carr,Fresno State,Western Athletic,receiving,LONG,0
380719,Milton Knox,Fresno State,Western Athletic,receiving,LONG,13
504939,Jalen Saunders,Fresno State,Western Athletic,receiving,TD,12
242338,Devon Wylie,Fresno State,Western Athletic,receiving,REC,56
241763,Austin Raphael,Fresno State,Western Athletic,receiving,TD,0
241945,Ryan Skidmore,Fresno State,Western Athletic,receiving,TD,0
484100,Robbie Rouse,Fresno State,Western Athletic,receiving,YDS,228
380719,Milton Knox,Fresno State,Western Athletic,receiving,REC,1
241763,Austin Raphael,Fresno State,Western Athletic,receiving,YPR,3.0
504930,Josh Harper,Fresno State,Western Athletic,receiving,REC,35
484090,A.J. Johnson,Fresno State,Western Athletic,receiving,TD,0
504922,Isaiah Burse,Fresno State,Western Athletic,receiving,YDS,436
504922,Isaiah Burse,Fresno State,Western Athletic,receiving,TD,1
241945,Ryan Skidmore,Fresno State,Western Athletic,receiving,YPR,8.2
504924,Victor Dean,Fresno State,Western Athletic,receiving,YDS,15
484080,Derek Carr,Fresno State,Western Athletic,receiving,TD,0
484100,Robbie Rouse,Fresno State,Western Athletic,receiving,TD,1
504924,Victor Dean,Fresno State,Western Athletic,receiving,TD,2
504924,Victor Dean,Fresno State,Western Athletic,receiving,YPR,7.5
504939,Jalen Saunders,Fresno State,Western Athletic,receiving,REC,50
504939,Jalen Saunders,Fresno State,Western Athletic,receiving,YPR,21.3
484090,A.J. Johnson,Fresno State,Western Athletic,receiving,YDS,154
241763,Austin Raphael,Fresno State,Western Athletic,receiving,REC,1
382977,Rashad Evans,Fresno State,Western Athletic,receiving,REC,44
504924,Victor Dean,Fresno State,Western Athletic,receiving,LONG,9
242338,Devon Wylie,Fresno State,Western Athletic,receiving,YPR,12.8
382977,Rashad Evans,Fresno State,Western Athletic,receiving,LONG,33
380719,Milton Knox,Fresno State,Western Athletic,receiving,YDS,13
382977,Rashad Evans,Fresno State,Western Athletic,receiving,TD,3
241945,Ryan Skidmore,Fresno State,Western Athletic,receiving,REC,5
382977,Rashad Evans,Fresno State,Western Athletic,receiving,YDS,351
484089,Marcel Jensen,Fresno State,Western Athletic,receiving,LONG,15
504930,Josh Harper,Fresno State,Western Athletic,receiving,YPR,14.2
504930,Josh Harper,Fresno State,Western Athletic,receiving,LONG,49
241763,Austin Raphael,Fresno State,Western Athletic,receiving,YDS,3
382991,J.J. Stallworth,Fresno State,Western Athletic,receiving,YDS,9
484089,Marcel Jensen,Fresno State,Western Athletic,receiving,YPR,8.0
484090,A.J. Johnson,Fresno State,Western Athletic,receiving,LONG,55
484089,Marcel Jensen,Fresno State,Western Athletic,receiving,TD,1
504922,Isaiah Burse,Fresno State,Western Athletic,receiving,LONG,54
382991,J.J. Stallworth,Fresno State,Western Athletic,receiving,LONG,9
504930,Josh Harper,Fresno State,Western Athletic,receiving,TD,5
382983,Michael Harris,Fresno State,Western Athletic,receiving,YDS,1
484089,Marcel Jensen,Fresno State,Western Athletic,receiving,REC,2
382983,Michael Harris,Fresno State,Western Athletic,receiving,TD,0
241945,Ryan Skidmore,Fresno State,Western Athletic,receiving,LONG,16
484089,Marcel Jensen,Fresno State,Western Athletic,receiving,YDS,16
382991,J.J. Stallworth,Fresno State,Western Athletic,receiving,REC,1
484080,Derek Carr,Fresno State,Western Athletic,receiving,YDS,-1
380719,Milton Knox,Fresno State,Western Athletic,receiving,TD,0
