playerId,player,team,conference,category,statType,stat
4064866,Dexter Carter Jr.,Georgia Southern,Sun Belt,receiving,LONG,13
4241414,J.D. King,Georgia Southern,Sun Belt,receiving,REC,2
4241139,Matt LaRoche,Georgia Southern,Sun Belt,receiving,LONG,0
4241126,Malik Murray,Georgia Southern,Sun Belt,receiving,YDS,195
4241126,Malik Murray,Georgia Southern,Sun Belt,receiving,REC,20
4036680,Colby Ransom,Georgia Southern,Sun Belt,receiving,REC,6
4036680,Colby Ransom,Georgia Southern,Sun Belt,receiving,YPR,13.8
4241145,Logan Wright,Georgia Southern,Sun Belt,receiving,LONG,8
4361382,NaJee Thompson,Georgia Southern,Sun Belt,receiving,YDS,67
4361404,Anthony Beck II,Georgia Southern,Sun Belt,receiving,YPR,7.0
4064866,Dexter Carter Jr.,Georgia Southern,Sun Belt,receiving,REC,1
4241139,Matt LaRoche,Georgia Southern,Sun Belt,receiving,REC,2
4241138,Wesley Kennedy III,Georgia Southern,Sun Belt,receiving,YPR,9.2
4568419,Khaleb Hood,Georgia Southern,Sun Belt,receiving,LONG,39
4568419,Khaleb Hood,Georgia Southern,Sun Belt,receiving,REC,7
4241121,Cam Brown,Georgia Southern,Sun Belt,receiving,TD,0
4036680,Colby Ransom,Georgia Southern,Sun Belt,receiving,YDS,83
4241139,Matt LaRoche,Georgia Southern,Sun Belt,receiving,TD,0
4064866,Dexter Carter Jr.,Georgia Southern,Sun Belt,receiving,YPR,13.0
4361404,Anthony Beck II,Georgia Southern,Sun Belt,receiving,LONG,7
4361382,NaJee Thompson,Georgia Southern,Sun Belt,receiving,LONG,24
4361404,Anthony Beck II,Georgia Southern,Sun Belt,receiving,REC,1
4568419,Khaleb Hood,Georgia Southern,Sun Belt,receiving,YPR,13.6
4241121,Cam Brown,Georgia Southern,Sun Belt,receiving,LONG,10
4241145,Logan Wright,Georgia Southern,Sun Belt,receiving,YPR,3.5
4036653,Mark Michaud,Georgia Southern,Sun Belt,receiving,LONG,45
4036676,Darion Anderson,Georgia Southern,Sun Belt,receiving,LONG,45
4064866,Dexter Carter Jr.,Georgia Southern,Sun Belt,receiving,YDS,13
4241138,Wesley Kennedy III,Georgia Southern,Sun Belt,receiving,LONG,24
4361404,Anthony Beck II,Georgia Southern,Sun Belt,receiving,TD,0
4036653,Mark Michaud,Georgia Southern,Sun Belt,receiving,YDS,271
4036653,Mark Michaud,Georgia Southern,Sun Belt,receiving,YPR,16.9
4361382,NaJee Thompson,Georgia Southern,Sun Belt,receiving,YPR,11.2
4241121,Cam Brown,Georgia Southern,Sun Belt,receiving,YPR,5.5
4241138,Wesley Kennedy III,Georgia Southern,Sun Belt,receiving,TD,0
4568419,Khaleb Hood,Georgia Southern,Sun Belt,receiving,TD,0
4241121,Cam Brown,Georgia Southern,Sun Belt,receiving,YDS,11
4036680,Colby Ransom,Georgia Southern,Sun Belt,receiving,TD,0
4036676,Darion Anderson,Georgia Southern,Sun Belt,receiving,REC,4
4036653,Mark Michaud,Georgia Southern,Sun Belt,receiving,REC,16
4361382,NaJee Thompson,Georgia Southern,Sun Belt,receiving,TD,0
4241138,Wesley Kennedy III,Georgia Southern,Sun Belt,receiving,YDS,92
4568419,Khaleb Hood,Georgia Southern,Sun Belt,receiving,YDS,95
4036680,Colby Ransom,Georgia Southern,Sun Belt,receiving,LONG,25
4241414,J.D. King,Georgia Southern,Sun Belt,receiving,TD,0
4064866,Dexter Carter Jr.,Georgia Southern,Sun Belt,receiving,TD,0
4036676,Darion Anderson,Georgia Southern,Sun Belt,receiving,YPR,29.0
4241145,Logan Wright,Georgia Southern,Sun Belt,receiving,TD,0
4241414,J.D. King,Georgia Southern,Sun Belt,receiving,YDS,14
4036676,Darion Anderson,Georgia Southern,Sun Belt,receiving,YDS,116
4036676,Darion Anderson,Georgia Southern,Sun Belt,receiving,TD,2
4241414,J.D. King,Georgia Southern,Sun Belt,receiving,YPR,7.0
4361382,NaJee Thompson,Georgia Southern,Sun Belt,receiving,REC,6
4241138,Wesley Kennedy III,Georgia Southern,Sun Belt,receiving,REC,10
4241126,Malik Murray,Georgia Southern,Sun Belt,receiving,LONG,33
4241126,Malik Murray,Georgia Southern,Sun Belt,receiving,TD,3
4241121,Cam Brown,Georgia Southern,Sun Belt,receiving,REC,2
4036653,Mark Michaud,Georgia Southern,Sun Belt,receiving,TD,4
4241414,J.D. King,Georgia Southern,Sun Belt,receiving,LONG,10
4361404,Anthony Beck II,Georgia Southern,Sun Belt,receiving,YDS,7
4241145,Logan Wright,Georgia Southern,Sun Belt,receiving,REC,2
4241145,Logan Wright,Georgia Southern,Sun Belt,receiving,YDS,7
4241139,Matt LaRoche,Georgia Southern,Sun Belt,receiving,YPR,-3.0
4241126,Malik Murray,Georgia Southern,Sun Belt,receiving,YPR,9.8
4241139,Matt LaRoche,Georgia Southern,Sun Belt,receiving,YDS,-6
