playerId,player,team,conference,category,statType,stat
4036525,Devin Gentry,Georgia State,Sun Belt,receiving,YDS,286
4361911,Cornelius McCoy,Georgia State,Sun Belt,receiving,YPR,14.1
4291693,Terrance Dixon,Georgia State,Sun Belt,receiving,YDS,36
4036525,Devin Gentry,Georgia State,Sun Belt,receiving,REC,22
4382092,Tucker Gregg,Georgia State,Sun Belt,receiving,YDS,24
4036542,Darius Stubbs,Georgia State,Sun Belt,receiving,REC,2
4241279,Tamir Jones,Georgia State,Sun Belt,receiving,LONG,54
4361915,Sam Pinckney,Georgia State,Sun Belt,receiving,REC,3
4036529,Jonathan Ifedi,Georgia State,Sun Belt,receiving,LONG,28
4036525,Devin Gentry,Georgia State,Sun Belt,receiving,LONG,46
4036516,Tra Barnett,Georgia State,Sun Belt,receiving,TD,0
4291693,Terrance Dixon,Georgia State,Sun Belt,receiving,LONG,18
4241279,Tamir Jones,Georgia State,Sun Belt,receiving,TD,3
3678317,Christian Owens,Georgia State,Sun Belt,receiving,REC,12
4241279,Tamir Jones,Georgia State,Sun Belt,receiving,YDS,162
3915109,Camrin Knight,Georgia State,Sun Belt,receiving,YPR,11.3
3917542,Taz Bateman,Georgia State,Sun Belt,receiving,TD,0
4036516,Tra Barnett,Georgia State,Sun Belt,receiving,YPR,5.0
4036525,Devin Gentry,Georgia State,Sun Belt,receiving,TD,3
4241273,Roger Carter,Georgia State,Sun Belt,receiving,YPR,9.1
4036527,Kendrec Grady,Georgia State,Sun Belt,receiving,YDS,20
4241273,Roger Carter,Georgia State,Sun Belt,receiving,TD,1
3917542,Taz Bateman,Georgia State,Sun Belt,receiving,REC,5
3678317,Christian Owens,Georgia State,Sun Belt,receiving,TD,2
4036527,Kendrec Grady,Georgia State,Sun Belt,receiving,YPR,10.0
4036525,Devin Gentry,Georgia State,Sun Belt,receiving,YPR,13.0
4401004,- 6h,Georgia State,Sun Belt,receiving,TD,0
3915109,Camrin Knight,Georgia State,Sun Belt,receiving,REC,3
4036542,Darius Stubbs,Georgia State,Sun Belt,receiving,TD,0
4361897,Destin Coates,Georgia State,Sun Belt,receiving,LONG,50
4361914,Seth Paige,Georgia State,Sun Belt,receiving,REC,6
4361911,Cornelius McCoy,Georgia State,Sun Belt,receiving,REC,35
3917542,Taz Bateman,Georgia State,Sun Belt,receiving,YDS,37
4401004,- 6h,Georgia State,Sun Belt,receiving,LONG,0
4291693,Terrance Dixon,Georgia State,Sun Belt,receiving,TD,0
3917546,Penny Hart,Georgia State,Sun Belt,receiving,YDS,669
4361897,Destin Coates,Georgia State,Sun Belt,receiving,YPR,9.4
4036542,Darius Stubbs,Georgia State,Sun Belt,receiving,LONG,21
4036527,Kendrec Grady,Georgia State,Sun Belt,receiving,TD,0
4036516,Tra Barnett,Georgia State,Sun Belt,receiving,YDS,70
4361911,Cornelius McCoy,Georgia State,Sun Belt,receiving,TD,1
4036527,Kendrec Grady,Georgia State,Sun Belt,receiving,REC,2
3917542,Taz Bateman,Georgia State,Sun Belt,receiving,LONG,14
4291693,Terrance Dixon,Georgia State,Sun Belt,receiving,YPR,12.0
3129259,Demarcus Kirk,Georgia State,Sun Belt,receiving,LONG,5
4361914,Seth Paige,Georgia State,Sun Belt,receiving,YPR,10.2
4361896,Diondre Champaigne,Georgia State,Sun Belt,receiving,YPR,9.4
4361911,Cornelius McCoy,Georgia State,Sun Belt,receiving,YDS,495
4036529,Jonathan Ifedi,Georgia State,Sun Belt,receiving,TD,0
3915109,Camrin Knight,Georgia State,Sun Belt,receiving,LONG,15
3129259,Demarcus Kirk,Georgia State,Sun Belt,receiving,TD,0
4036529,Jonathan Ifedi,Georgia State,Sun Belt,receiving,REC,6
4361914,Seth Paige,Georgia State,Sun Belt,receiving,YDS,61
4241279,Tamir Jones,Georgia State,Sun Belt,receiving,REC,12
4361915,Sam Pinckney,Georgia State,Sun Belt,receiving,YPR,27.3
3917542,Taz Bateman,Georgia State,Sun Belt,receiving,YPR,7.4
4361915,Sam Pinckney,Georgia State,Sun Belt,receiving,YDS,82
4036516,Tra Barnett,Georgia State,Sun Belt,receiving,LONG,15
4036529,Jonathan Ifedi,Georgia State,Sun Belt,receiving,YPR,11.8
4361914,Seth Paige,Georgia State,Sun Belt,receiving,LONG,16
4036529,Jonathan Ifedi,Georgia State,Sun Belt,receiving,YDS,71
4361915,Sam Pinckney,Georgia State,Sun Belt,receiving,LONG,55
3915109,Camrin Knight,Georgia State,Sun Belt,receiving,YDS,34
3129259,Demarcus Kirk,Georgia State,Sun Belt,receiving,YDS,5
4361897,Destin Coates,Georgia State,Sun Belt,receiving,REC,9
3917546,Penny Hart,Georgia State,Sun Belt,receiving,REC,49
3129259,Demarcus Kirk,Georgia State,Sun Belt,receiving,YPR,5.0
4361911,Cornelius McCoy,Georgia State,Sun Belt,receiving,LONG,45
4401004,- 6h,Georgia State,Sun Belt,receiving,YPR,-17.0
4382092,Tucker Gregg,Georgia State,Sun Belt,receiving,REC,3
3917546,Penny Hart,Georgia State,Sun Belt,receiving,YPR,13.7
4036542,Darius Stubbs,Georgia State,Sun Belt,receiving,YPR,17.0
4361914,Seth Paige,Georgia State,Sun Belt,receiving,TD,0
4361897,Destin Coates,Georgia State,Sun Belt,receiving,TD,0
4361896,Diondre Champaigne,Georgia State,Sun Belt,receiving,TD,3
4241273,Roger Carter,Georgia State,Sun Belt,receiving,REC,15
4241273,Roger Carter,Georgia State,Sun Belt,receiving,YDS,136
4361896,Diondre Champaigne,Georgia State,Sun Belt,receiving,REC,7
4401004,- 6h,Georgia State,Sun Belt,receiving,REC,1
4382092,Tucker Gregg,Georgia State,Sun Belt,receiving,TD,0
4361896,Diondre Champaigne,Georgia State,Sun Belt,receiving,LONG,20
4361915,Sam Pinckney,Georgia State,Sun Belt,receiving,TD,0
3917546,Penny Hart,Georgia State,Sun Belt,receiving,LONG,51
3678317,Christian Owens,Georgia State,Sun Belt,receiving,YPR,10.7
3678317,Christian Owens,Georgia State,Sun Belt,receiving,LONG,21
4401004,- 6h,Georgia State,Sun Belt,receiving,YDS,-17
4382092,Tucker Gregg,Georgia State,Sun Belt,receiving,LONG,15
3915109,Camrin Knight,Georgia State,Sun Belt,receiving,TD,0
3917546,Penny Hart,Georgia State,Sun Belt,receiving,TD,2
4241279,Tamir Jones,Georgia State,Sun Belt,receiving,YPR,13.5
4036527,Kendrec Grady,Georgia State,Sun Belt,receiving,LONG,15
4241273,Roger Carter,Georgia State,Sun Belt,receiving,LONG,20
4291693,Terrance Dixon,Georgia State,Sun Belt,receiving,REC,3
3678317,Christian Owens,Georgia State,Sun Belt,receiving,YDS,128
4036516,Tra Barnett,Georgia State,Sun Belt,receiving,REC,14
4361897,Destin Coates,Georgia State,Sun Belt,receiving,YDS,85
