playerId,player,team,conference,category,statType,stat
3116631,Qua Searcy,Georgia Tech,ACC,receiving,YDS,183
531110,Lynn Darien Griffin,Georgia Tech,ACC,receiving,REC,1
4037295,Dedrick Mills,Georgia Tech,ACC,receiving,TD,1
4037295,Dedrick Mills,Georgia Tech,ACC,receiving,LONG,9
3917816,Mikell Lands-Davis,Georgia Tech,ACC,receiving,REC,2
3917832,Christian Philpott,Georgia Tech,ACC,receiving,YPR,9.0
3116631,Qua Searcy,Georgia Tech,ACC,receiving,YPR,18.3
3116623,Clinton Lynch,Georgia Tech,ACC,receiving,TD,6
546332,J.J. Green,Georgia Tech,ACC,receiving,TD,0
3917816,Mikell Lands-Davis,Georgia Tech,ACC,receiving,TD,0
531112,Isiah Willis,Georgia Tech,ACC,receiving,LONG,19
3917814,Marcus Marshall,Georgia Tech,ACC,receiving,YPR,30.7
3917832,Christian Philpott,Georgia Tech,ACC,receiving,REC,1
3116631,Qua Searcy,Georgia Tech,ACC,receiving,TD,0
4037295,Dedrick Mills,Georgia Tech,ACC,receiving,YDS,13
3116631,Qua Searcy,Georgia Tech,ACC,receiving,LONG,39
3917833,Brad Stewart,Georgia Tech,ACC,receiving,REC,19
546332,J.J. Green,Georgia Tech,ACC,receiving,REC,3
531112,Isiah Willis,Georgia Tech,ACC,receiving,REC,1
551567,Ricky Jeune,Georgia Tech,ACC,receiving,YPR,17.1
531110,Lynn Darien Griffin,Georgia Tech,ACC,receiving,TD,0
546332,J.J. Green,Georgia Tech,ACC,receiving,YDS,40
3917832,Christian Philpott,Georgia Tech,ACC,receiving,TD,0
551567,Ricky Jeune,Georgia Tech,ACC,receiving,TD,1
3116623,Clinton Lynch,Georgia Tech,ACC,receiving,YPR,30.6
546332,J.J. Green,Georgia Tech,ACC,receiving,LONG,18
3917833,Brad Stewart,Georgia Tech,ACC,receiving,TD,0
3917833,Brad Stewart,Georgia Tech,ACC,receiving,YPR,20.1
3917833,Brad Stewart,Georgia Tech,ACC,receiving,LONG,64
3116623,Clinton Lynch,Georgia Tech,ACC,receiving,REC,16
4037295,Dedrick Mills,Georgia Tech,ACC,receiving,YPR,6.5
3116623,Clinton Lynch,Georgia Tech,ACC,receiving,LONG,83
546332,J.J. Green,Georgia Tech,ACC,receiving,YPR,13.3
531110,Lynn Darien Griffin,Georgia Tech,ACC,receiving,LONG,10
531110,Lynn Darien Griffin,Georgia Tech,ACC,receiving,YDS,10
3116631,Qua Searcy,Georgia Tech,ACC,receiving,REC,10
551567,Ricky Jeune,Georgia Tech,ACC,receiving,LONG,42
3116623,Clinton Lynch,Georgia Tech,ACC,receiving,YDS,490
3917833,Brad Stewart,Georgia Tech,ACC,receiving,YDS,382
3917832,Christian Philpott,Georgia Tech,ACC,receiving,YDS,9
3917816,Mikell Lands-Davis,Georgia Tech,ACC,receiving,YPR,7.0
3917814,Marcus Marshall,Georgia Tech,ACC,receiving,REC,3
551567,Ricky Jeune,Georgia Tech,ACC,receiving,YDS,427
531110,Lynn Darien Griffin,Georgia Tech,ACC,receiving,YPR,10.0
3917816,Mikell Lands-Davis,Georgia Tech,ACC,receiving,LONG,11
3917814,Marcus Marshall,Georgia Tech,ACC,receiving,LONG,81
531112,Isiah Willis,Georgia Tech,ACC,receiving,YPR,19.0
3917832,Christian Philpott,Georgia Tech,ACC,receiving,LONG,9
4037295,Dedrick Mills,Georgia Tech,ACC,receiving,REC,2
551567,Ricky Jeune,Georgia Tech,ACC,receiving,REC,25
3917816,Mikell Lands-Davis,Georgia Tech,ACC,receiving,YDS,14
3917814,Marcus Marshall,Georgia Tech,ACC,receiving,TD,1
531112,Isiah Willis,Georgia Tech,ACC,receiving,YDS,19
3917814,Marcus Marshall,Georgia Tech,ACC,receiving,YDS,92
531112,Isiah Willis,Georgia Tech,ACC,receiving,TD,0
