playerId,player,team,conference,category,statType,stat
4712579,Dillon Bell,Georgia,SEC,receiving,REC,20
4712579,Dillon Bell,Georgia,SEC,receiving,YPR,9.0
4702561,De'Nylon Morrissette,Georgia,SEC,receiving,TD,0
4602788,Jackson Meeks,Georgia,SEC,receiving,YDS,65
4427391,Kenny McIntosh,Georgia,SEC,receiving,YDS,504
4429610,Daijun Edwards,Georgia,SEC,receiving,REC,14
4432665,Brock Bowers,Georgia,SEC,receiving,LONG,78
4602788,Jackson Meeks,Georgia,SEC,receiving,YPR,10.8
4430802,Darnell Washington,Georgia,SEC,receiving,TD,2
4430802,Darnell Washington,Georgia,SEC,receiving,REC,28
4427391,Kenny McIntosh,Georgia,SEC,receiving,TD,2
4429012,Kendall Milton,Georgia,SEC,receiving,YDS,64
4428994,Arik Gilbert,Georgia,SEC,receiving,YDS,16
4361778,Kearis Jackson,Georgia,SEC,receiving,REC,21
4429610,Daijun Edwards,Georgia,SEC,receiving,LONG,21
4432665,Brock Bowers,Georgia,SEC,receiving,REC,63
4427391,Kenny McIntosh,Georgia,SEC,receiving,REC,43
4429012,Kendall Milton,Georgia,SEC,receiving,YPR,12.8
4713489,Branson Robinson,Georgia,SEC,receiving,REC,1
4429410,Sevaughn Clark,Georgia,SEC,receiving,YDS,4
4361778,Kearis Jackson,Georgia,SEC,receiving,YPR,15.2
4429105,Arian Smith,Georgia,SEC,receiving,YPR,28.3
4881836,Mekhi Mews,Georgia,SEC,receiving,REC,2
4881826,Cash Jones,Georgia,SEC,receiving,TD,0
4702559,Oscar Delp,Georgia,SEC,receiving,YPR,12.2
4713489,Branson Robinson,Georgia,SEC,receiving,TD,0
4430802,Darnell Washington,Georgia,SEC,receiving,YPR,16.2
4612826,Ladd McConkey,Georgia,SEC,receiving,REC,58
4429019,Marcus Rosemy,Georgia,SEC,receiving,YPR,11.6
4712579,Dillon Bell,Georgia,SEC,receiving,LONG,24
4612826,Ladd McConkey,Georgia,SEC,receiving,YDS,762
4597500,Adonai Mitchell,Georgia,SEC,receiving,YPR,14.9
4702561,De'Nylon Morrissette,Georgia,SEC,receiving,REC,4
4713489,Branson Robinson,Georgia,SEC,receiving,YPR,2.0
4881836,Mekhi Mews,Georgia,SEC,receiving,YPR,4.5
4429019,Marcus Rosemy,Georgia,SEC,receiving,REC,29
4612826,Ladd McConkey,Georgia,SEC,receiving,TD,7
4429019,Marcus Rosemy,Georgia,SEC,receiving,TD,2
4429012,Kendall Milton,Georgia,SEC,receiving,TD,1
4361778,Kearis Jackson,Georgia,SEC,receiving,TD,0
4881826,Cash Jones,Georgia,SEC,receiving,YPR,5.5
4612826,Ladd McConkey,Georgia,SEC,receiving,LONG,37
4429019,Marcus Rosemy,Georgia,SEC,receiving,YDS,337
4881826,Cash Jones,Georgia,SEC,receiving,YDS,11
4880453,Cole Speer,Georgia,SEC,receiving,TD,0
4702559,Oscar Delp,Georgia,SEC,receiving,YDS,61
4429105,Arian Smith,Georgia,SEC,receiving,YDS,198
4712579,Dillon Bell,Georgia,SEC,receiving,TD,3
4432665,Brock Bowers,Georgia,SEC,receiving,TD,7
4432665,Brock Bowers,Georgia,SEC,receiving,YPR,15.0
4429610,Daijun Edwards,Georgia,SEC,receiving,YDS,101
4880453,Cole Speer,Georgia,SEC,receiving,REC,1
4880453,Cole Speer,Georgia,SEC,receiving,YPR,12.0
4429105,Arian Smith,Georgia,SEC,receiving,LONG,76
4427391,Kenny McIntosh,Georgia,SEC,receiving,YPR,11.7
4713489,Branson Robinson,Georgia,SEC,receiving,YDS,2
4602788,Jackson Meeks,Georgia,SEC,receiving,REC,6
4428994,Arik Gilbert,Georgia,SEC,receiving,TD,1
4427391,Kenny McIntosh,Georgia,SEC,receiving,LONG,83
4361778,Kearis Jackson,Georgia,SEC,receiving,LONG,35
4597500,Adonai Mitchell,Georgia,SEC,receiving,YDS,134
4881836,Mekhi Mews,Georgia,SEC,receiving,YDS,9
4702561,De'Nylon Morrissette,Georgia,SEC,receiving,YDS,34
4597500,Adonai Mitchell,Georgia,SEC,receiving,REC,9
4361778,Kearis Jackson,Georgia,SEC,receiving,YDS,320
4712579,Dillon Bell,Georgia,SEC,receiving,YDS,180
4597500,Adonai Mitchell,Georgia,SEC,receiving,LONG,27
4429410,Sevaughn Clark,Georgia,SEC,receiving,YPR,4.0
4597500,Adonai Mitchell,Georgia,SEC,receiving,TD,3
4881836,Mekhi Mews,Georgia,SEC,receiving,TD,0
4432665,Brock Bowers,Georgia,SEC,receiving,YDS,942
4426341,Dominick Blaylock,Georgia,SEC,receiving,REC,15
4429012,Kendall Milton,Georgia,SEC,receiving,REC,5
4880453,Cole Speer,Georgia,SEC,receiving,YDS,12
4702559,Oscar Delp,Georgia,SEC,receiving,REC,5
4880453,Cole Speer,Georgia,SEC,receiving,LONG,12
4429410,Sevaughn Clark,Georgia,SEC,receiving,LONG,4
4429019,Marcus Rosemy,Georgia,SEC,receiving,LONG,28
4881826,Cash Jones,Georgia,SEC,receiving,REC,2
4428994,Arik Gilbert,Georgia,SEC,receiving,YPR,8.0
4429410,Sevaughn Clark,Georgia,SEC,receiving,REC,1
4430802,Darnell Washington,Georgia,SEC,receiving,YDS,454
4428994,Arik Gilbert,Georgia,SEC,receiving,REC,2
4430802,Darnell Washington,Georgia,SEC,receiving,LONG,34
4428994,Arik Gilbert,Georgia,SEC,receiving,LONG,12
4429105,Arian Smith,Georgia,SEC,receiving,TD,1
4429105,Arian Smith,Georgia,SEC,receiving,REC,7
4426341,Dominick Blaylock,Georgia,SEC,receiving,TD,1
4702559,Oscar Delp,Georgia,SEC,receiving,TD,1
4602788,Jackson Meeks,Georgia,SEC,receiving,TD,0
4702561,De'Nylon Morrissette,Georgia,SEC,receiving,LONG,16
4429610,Daijun Edwards,Georgia,SEC,receiving,YPR,7.2
4602788,Jackson Meeks,Georgia,SEC,receiving,LONG,18
4426341,Dominick Blaylock,Georgia,SEC,receiving,LONG,35
4702561,De'Nylon Morrissette,Georgia,SEC,receiving,YPR,8.5
4429012,Kendall Milton,Georgia,SEC,receiving,LONG,35
