playerId,player,team,conference,category,statType,stat
4039062,Kyle Porter,Houston,American Athletic,receiving,YPR,5.9
4062810,Chandler Smith,Houston,American Athletic,receiving,LONG,11
4062810,Chandler Smith,Houston,American Athletic,receiving,TD,0
4240253,Jeremy Singleton,Houston,American Athletic,receiving,YPR,9.5
4039294,Mulbah Car,Houston,American Athletic,receiving,YPR,5.3
4039062,Kyle Porter,Houston,American Athletic,receiving,YDS,95
4360175,Clayton Tune,Houston,American Athletic,receiving,YDS,21
4240251,Bryson Smith,Houston,American Athletic,receiving,TD,2
4259381,Cole McGowan,Houston,American Athletic,receiving,YPR,12.0
4430543,Ke'Andre Street,Houston,American Athletic,receiving,TD,1
4366031,Nathaniel Dell,Houston,American Athletic,receiving,REC,29
4430543,Ke'Andre Street,Houston,American Athletic,receiving,LONG,23
4039307,Marquez Stevenson,Houston,American Athletic,receiving,LONG,51
4240266,Tre'von Bradley,Houston,American Athletic,receiving,LONG,39
4430543,Ke'Andre Street,Houston,American Athletic,receiving,REC,2
4360200,Kelan Walker,Houston,American Athletic,receiving,LONG,5
4360175,Clayton Tune,Houston,American Athletic,receiving,REC,1
4360195,Peyton Sawyer,Houston,American Athletic,receiving,TD,0
4360200,Kelan Walker,Houston,American Athletic,receiving,TD,0
4039307,Marquez Stevenson,Houston,American Athletic,receiving,YDS,307
4360199,Christian Trahan,Houston,American Athletic,receiving,YDS,294
4039307,Marquez Stevenson,Houston,American Athletic,receiving,YPR,15.4
4259381,Cole McGowan,Houston,American Athletic,receiving,LONG,12
4366031,Nathaniel Dell,Houston,American Athletic,receiving,YDS,428
4240266,Tre'von Bradley,Houston,American Athletic,receiving,YDS,228
4366031,Nathaniel Dell,Houston,American Athletic,receiving,YPR,14.8
4039294,Mulbah Car,Houston,American Athletic,receiving,REC,6
4240266,Tre'von Bradley,Houston,American Athletic,receiving,TD,0
4360199,Christian Trahan,Houston,American Athletic,receiving,LONG,34
4240251,Bryson Smith,Houston,American Athletic,receiving,REC,16
4062810,Chandler Smith,Houston,American Athletic,receiving,REC,3
4240253,Jeremy Singleton,Houston,American Athletic,receiving,LONG,21
4360175,Clayton Tune,Houston,American Athletic,receiving,YPR,21.0
4259381,Cole McGowan,Houston,American Athletic,receiving,YDS,12
4039307,Marquez Stevenson,Houston,American Athletic,receiving,REC,20
4240253,Jeremy Singleton,Houston,American Athletic,receiving,REC,10
4366031,Nathaniel Dell,Houston,American Athletic,receiving,LONG,54
4039062,Kyle Porter,Houston,American Athletic,receiving,TD,1
4360195,Peyton Sawyer,Houston,American Athletic,receiving,LONG,9
4360199,Christian Trahan,Houston,American Athletic,receiving,REC,22
4430543,Ke'Andre Street,Houston,American Athletic,receiving,YDS,31
4240266,Tre'von Bradley,Houston,American Athletic,receiving,YPR,12.7
4360200,Kelan Walker,Houston,American Athletic,receiving,REC,1
4039307,Marquez Stevenson,Houston,American Athletic,receiving,TD,4
4366031,Nathaniel Dell,Houston,American Athletic,receiving,TD,3
4360195,Peyton Sawyer,Houston,American Athletic,receiving,REC,3
4360175,Clayton Tune,Houston,American Athletic,receiving,LONG,21
4360200,Kelan Walker,Houston,American Athletic,receiving,YDS,5
4062810,Chandler Smith,Houston,American Athletic,receiving,YDS,29
4360199,Christian Trahan,Houston,American Athletic,receiving,YPR,13.4
4062810,Chandler Smith,Houston,American Athletic,receiving,YPR,9.7
4259381,Cole McGowan,Houston,American Athletic,receiving,REC,1
4240251,Bryson Smith,Houston,American Athletic,receiving,YPR,10.8
4240266,Tre'von Bradley,Houston,American Athletic,receiving,REC,18
4259381,Cole McGowan,Houston,American Athletic,receiving,TD,0
4240251,Bryson Smith,Houston,American Athletic,receiving,LONG,34
4360199,Christian Trahan,Houston,American Athletic,receiving,TD,3
4039295,Keith Corbin,Houston,American Athletic,receiving,TD,1
4360175,Clayton Tune,Houston,American Athletic,receiving,TD,0
4240251,Bryson Smith,Houston,American Athletic,receiving,YDS,173
4039062,Kyle Porter,Houston,American Athletic,receiving,LONG,33
4039295,Keith Corbin,Houston,American Athletic,receiving,LONG,33
4360195,Peyton Sawyer,Houston,American Athletic,receiving,YDS,24
4039294,Mulbah Car,Houston,American Athletic,receiving,YDS,32
4039294,Mulbah Car,Houston,American Athletic,receiving,TD,0
4039294,Mulbah Car,Houston,American Athletic,receiving,LONG,19
4240253,Jeremy Singleton,Houston,American Athletic,receiving,TD,0
4430543,Ke'Andre Street,Houston,American Athletic,receiving,YPR,15.5
4360200,Kelan Walker,Houston,American Athletic,receiving,YPR,5.0
4039295,Keith Corbin,Houston,American Athletic,receiving,REC,27
4039295,Keith Corbin,Houston,American Athletic,receiving,YDS,352
4039295,Keith Corbin,Houston,American Athletic,receiving,YPR,13.0
4039062,Kyle Porter,Houston,American Athletic,receiving,REC,16
4360195,Peyton Sawyer,Houston,American Athletic,receiving,YPR,8.0
4240253,Jeremy Singleton,Houston,American Athletic,receiving,YDS,95
