playerId,player,team,conference,category,statType,stat
3929788,Mike Majette,Indiana,Big Ten,receiving,LONG,20
3858265,Ricky Brookins,Indiana,Big Ten,receiving,REC,19
3134577,Ryan Watercutter,Indiana,Big Ten,receiving,TD,0
3929786,Donavan Hale,Indiana,Big Ten,receiving,TD,1
4045291,Taysir Mack,Indiana,Big Ten,receiving,LONG,52
4258235,Whop Philyor,Indiana,Big Ten,receiving,TD,3
3122446,Luke Timian,Indiana,Big Ten,receiving,TD,2
3929778,Devonte Williams,Indiana,Big Ten,receiving,YPR,14.0
3128251,Simmie Cobbs Jr.,Indiana,Big Ten,receiving,LONG,35
3122446,Luke Timian,Indiana,Big Ten,receiving,LONG,25
3128260,J-Shun Harris II,Indiana,Big Ten,receiving,REC,3
4045305,Ian Thomas,Indiana,Big Ten,receiving,LONG,71
4045291,Taysir Mack,Indiana,Big Ten,receiving,REC,23
3929788,Mike Majette,Indiana,Big Ten,receiving,TD,0
3128251,Simmie Cobbs Jr.,Indiana,Big Ten,receiving,TD,8
4045305,Ian Thomas,Indiana,Big Ten,receiving,YDS,376
3929778,Devonte Williams,Indiana,Big Ten,receiving,LONG,42
3929786,Donavan Hale,Indiana,Big Ten,receiving,YDS,116
4258240,Morgan Ellison,Indiana,Big Ten,receiving,YPR,6.7
4258238,Ty Fryfogle,Indiana,Big Ten,receiving,REC,1
3858265,Ricky Brookins,Indiana,Big Ten,receiving,TD,0
4258240,Morgan Ellison,Indiana,Big Ten,receiving,TD,0
3134577,Ryan Watercutter,Indiana,Big Ten,receiving,LONG,17
3134577,Ryan Watercutter,Indiana,Big Ten,receiving,YDS,69
3128260,J-Shun Harris II,Indiana,Big Ten,receiving,YDS,14
3929788,Mike Majette,Indiana,Big Ten,receiving,YPR,7.5
4258235,Whop Philyor,Indiana,Big Ten,receiving,LONG,36
3128251,Simmie Cobbs Jr.,Indiana,Big Ten,receiving,YDS,841
3128260,J-Shun Harris II,Indiana,Big Ten,receiving,LONG,14
3858265,Ricky Brookins,Indiana,Big Ten,receiving,YDS,124
3858265,Ricky Brookins,Indiana,Big Ten,receiving,YPR,6.5
3134577,Ryan Watercutter,Indiana,Big Ten,receiving,REC,12
4045294,Cole Gest,Indiana,Big Ten,receiving,LONG,23
4045305,Ian Thomas,Indiana,Big Ten,receiving,YPR,15.0
4258240,Morgan Ellison,Indiana,Big Ten,receiving,REC,9
3929778,Devonte Williams,Indiana,Big Ten,receiving,REC,12
4258240,Morgan Ellison,Indiana,Big Ten,receiving,LONG,18
4258238,Ty Fryfogle,Indiana,Big Ten,receiving,YPR,13.0
3929778,Devonte Williams,Indiana,Big Ten,receiving,TD,2
3134577,Ryan Watercutter,Indiana,Big Ten,receiving,YPR,5.8
4258235,Whop Philyor,Indiana,Big Ten,receiving,YPR,10.2
4045305,Ian Thomas,Indiana,Big Ten,receiving,TD,5
3929788,Mike Majette,Indiana,Big Ten,receiving,YDS,90
3929786,Donavan Hale,Indiana,Big Ten,receiving,REC,7
3128260,J-Shun Harris II,Indiana,Big Ten,receiving,YPR,4.7
3122446,Luke Timian,Indiana,Big Ten,receiving,REC,68
3122446,Luke Timian,Indiana,Big Ten,receiving,YDS,589
3128251,Simmie Cobbs Jr.,Indiana,Big Ten,receiving,YPR,11.7
4258240,Morgan Ellison,Indiana,Big Ten,receiving,YDS,60
4045294,Cole Gest,Indiana,Big Ten,receiving,TD,1
3929786,Donavan Hale,Indiana,Big Ten,receiving,LONG,32
4045294,Cole Gest,Indiana,Big Ten,receiving,REC,10
3929778,Devonte Williams,Indiana,Big Ten,receiving,YDS,168
4258238,Ty Fryfogle,Indiana,Big Ten,receiving,YDS,13
4258238,Ty Fryfogle,Indiana,Big Ten,receiving,LONG,13
3128251,Simmie Cobbs Jr.,Indiana,Big Ten,receiving,REC,72
4258235,Whop Philyor,Indiana,Big Ten,receiving,REC,33
4045305,Ian Thomas,Indiana,Big Ten,receiving,REC,25
3929788,Mike Majette,Indiana,Big Ten,receiving,REC,12
4045291,Taysir Mack,Indiana,Big Ten,receiving,YPR,13.5
3122446,Luke Timian,Indiana,Big Ten,receiving,YPR,8.7
3858265,Ricky Brookins,Indiana,Big Ten,receiving,LONG,17
4045294,Cole Gest,Indiana,Big Ten,receiving,YDS,83
4045294,Cole Gest,Indiana,Big Ten,receiving,YPR,8.3
4258238,Ty Fryfogle,Indiana,Big Ten,receiving,TD,0
4258235,Whop Philyor,Indiana,Big Ten,receiving,YDS,335
3128260,J-Shun Harris II,Indiana,Big Ten,receiving,TD,0
3929786,Donavan Hale,Indiana,Big Ten,receiving,YPR,16.6
4045291,Taysir Mack,Indiana,Big Ten,receiving,TD,3
4045291,Taysir Mack,Indiana,Big Ten,receiving,YDS,310
