playerId,player,team,conference,category,statType,stat
559717,D'Andre Payne,Iowa State,Big 12,receiving,REC,1
559717,D'Andre Payne,Iowa State,Big 12,receiving,LONG,0
4241263,Charlie Kolar,Iowa State,Big 12,receiving,REC,11
4241263,Charlie Kolar,Iowa State,Big 12,receiving,YPR,12.5
4259197,Tarique Milton,Iowa State,Big 12,receiving,YPR,12.3
4241243,Johnnie Lang,Iowa State,Big 12,receiving,YDS,30
3917940,Hakeem Butler,Iowa State,Big 12,receiving,YDS,1318
4035554,Landen Akers,Iowa State,Big 12,receiving,REC,10
4035559,Dylan Soehner,Iowa State,Big 12,receiving,YDS,0
3917943,Sheldon Croney Jr.,Iowa State,Big 12,receiving,YDS,71
4035538,David Montgomery,Iowa State,Big 12,receiving,YPR,7.1
4035554,Landen Akers,Iowa State,Big 12,receiving,YDS,181
3128405,Sam Seonbuchner,Iowa State,Big 12,receiving,LONG,18
4035537,Kene Nwangwu,Iowa State,Big 12,receiving,TD,0
3917940,Hakeem Butler,Iowa State,Big 12,receiving,TD,9
4407733,- 87,Iowa State,Big 12,receiving,YPR,-20.0
4361739,Josh Johnson,Iowa State,Big 12,receiving,LONG,11
4035559,Dylan Soehner,Iowa State,Big 12,receiving,LONG,0
4035537,Kene Nwangwu,Iowa State,Big 12,receiving,LONG,11
4241243,Johnnie Lang,Iowa State,Big 12,receiving,TD,0
4259197,Tarique Milton,Iowa State,Big 12,receiving,LONG,60
4035559,Dylan Soehner,Iowa State,Big 12,receiving,YPR,0.0
4259197,Tarique Milton,Iowa State,Big 12,receiving,YDS,417
4361739,Josh Johnson,Iowa State,Big 12,receiving,YPR,11.0
4259197,Tarique Milton,Iowa State,Big 12,receiving,REC,34
4035537,Kene Nwangwu,Iowa State,Big 12,receiving,YPR,5.5
4241243,Johnnie Lang,Iowa State,Big 12,receiving,LONG,10
4241263,Charlie Kolar,Iowa State,Big 12,receiving,TD,3
4241263,Charlie Kolar,Iowa State,Big 12,receiving,YDS,137
3917943,Sheldon Croney Jr.,Iowa State,Big 12,receiving,YPR,7.9
4361739,Josh Johnson,Iowa State,Big 12,receiving,REC,1
4035526,Chase Allen,Iowa State,Big 12,receiving,YDS,84
4035559,Dylan Soehner,Iowa State,Big 12,receiving,TD,0
3128405,Sam Seonbuchner,Iowa State,Big 12,receiving,TD,1
4035538,David Montgomery,Iowa State,Big 12,receiving,YDS,157
4035524,Deshaunte Jones,Iowa State,Big 12,receiving,YPR,8.5
3917943,Sheldon Croney Jr.,Iowa State,Big 12,receiving,LONG,25
4407733,- 87,Iowa State,Big 12,receiving,REC,1
4035554,Landen Akers,Iowa State,Big 12,receiving,YPR,18.1
4241263,Charlie Kolar,Iowa State,Big 12,receiving,LONG,29
4407733,- 87,Iowa State,Big 12,receiving,TD,0
3128405,Sam Seonbuchner,Iowa State,Big 12,receiving,REC,5
3917940,Hakeem Butler,Iowa State,Big 12,receiving,LONG,83
4407733,- 87,Iowa State,Big 12,receiving,YDS,-20
4035526,Chase Allen,Iowa State,Big 12,receiving,REC,8
3917943,Sheldon Croney Jr.,Iowa State,Big 12,receiving,REC,9
4241243,Johnnie Lang,Iowa State,Big 12,receiving,REC,4
559717,D'Andre Payne,Iowa State,Big 12,receiving,YDS,-7
3138759,Matthew Eaton,Iowa State,Big 12,receiving,REC,27
3917940,Hakeem Butler,Iowa State,Big 12,receiving,REC,60
4241243,Johnnie Lang,Iowa State,Big 12,receiving,YPR,7.5
4407733,- 87,Iowa State,Big 12,receiving,LONG,0
4035538,David Montgomery,Iowa State,Big 12,receiving,TD,0
4035524,Deshaunte Jones,Iowa State,Big 12,receiving,REC,43
4035524,Deshaunte Jones,Iowa State,Big 12,receiving,TD,4
4259197,Tarique Milton,Iowa State,Big 12,receiving,TD,1
3138759,Matthew Eaton,Iowa State,Big 12,receiving,YDS,304
3138759,Matthew Eaton,Iowa State,Big 12,receiving,LONG,38
3138759,Matthew Eaton,Iowa State,Big 12,receiving,YPR,11.3
4035524,Deshaunte Jones,Iowa State,Big 12,receiving,LONG,32
4035537,Kene Nwangwu,Iowa State,Big 12,receiving,YDS,11
4035554,Landen Akers,Iowa State,Big 12,receiving,TD,0
3138759,Matthew Eaton,Iowa State,Big 12,receiving,TD,2
4035524,Deshaunte Jones,Iowa State,Big 12,receiving,YDS,366
3128405,Sam Seonbuchner,Iowa State,Big 12,receiving,YDS,45
559717,D'Andre Payne,Iowa State,Big 12,receiving,TD,0
3128405,Sam Seonbuchner,Iowa State,Big 12,receiving,YPR,9.0
3917940,Hakeem Butler,Iowa State,Big 12,receiving,YPR,22.0
4035526,Chase Allen,Iowa State,Big 12,receiving,LONG,28
4035538,David Montgomery,Iowa State,Big 12,receiving,LONG,53
4361739,Josh Johnson,Iowa State,Big 12,receiving,YDS,11
4035526,Chase Allen,Iowa State,Big 12,receiving,TD,0
4035526,Chase Allen,Iowa State,Big 12,receiving,YPR,10.5
4361739,Josh Johnson,Iowa State,Big 12,receiving,TD,0
4035537,Kene Nwangwu,Iowa State,Big 12,receiving,REC,2
3917943,Sheldon Croney Jr.,Iowa State,Big 12,receiving,TD,0
4035554,Landen Akers,Iowa State,Big 12,receiving,LONG,55
559717,D'Andre Payne,Iowa State,Big 12,receiving,YPR,-7.0
4035559,Dylan Soehner,Iowa State,Big 12,receiving,REC,1
4035538,David Montgomery,Iowa State,Big 12,receiving,REC,22
