playerId,player,team,conference,category,statType,stat
539219,Riley McCarron,Iowa,Big Ten,receiving,TD,4
545373,LeShun Daniels Jr.,Iowa,Big Ten,receiving,REC,8
539219,Riley McCarron,Iowa,Big Ten,receiving,REC,42
554889,Matt VandeBerg,Iowa,Big Ten,receiving,TD,3
4036131,Noah Fant,Iowa,Big Ten,receiving,YDS,70
3145001,Jay Scheel,Iowa,Big Ten,receiving,TD,0
545447,Peter Pekar,Iowa,Big Ten,receiving,LONG,5
3150749,Austin Kelly,Iowa,Big Ten,receiving,YDS,5
545444,Derrick Mitchell Jr.,Iowa,Big Ten,receiving,YDS,24
545444,Derrick Mitchell Jr.,Iowa,Big Ten,receiving,LONG,11
3150749,Austin Kelly,Iowa,Big Ten,receiving,LONG,5
3894828,Jerminic Smith,Iowa,Big Ten,receiving,TD,2
545447,Peter Pekar,Iowa,Big Ten,receiving,YPR,5.0
545428,George Kittle,Iowa,Big Ten,receiving,LONG,51
4036131,Noah Fant,Iowa,Big Ten,receiving,YPR,7.8
3894828,Jerminic Smith,Iowa,Big Ten,receiving,REC,23
3145001,Jay Scheel,Iowa,Big Ten,receiving,REC,5
539219,Riley McCarron,Iowa,Big Ten,receiving,YDS,517
545373,LeShun Daniels Jr.,Iowa,Big Ten,receiving,YDS,67
3145001,Jay Scheel,Iowa,Big Ten,receiving,LONG,22
545373,LeShun Daniels Jr.,Iowa,Big Ten,receiving,LONG,24
545447,Peter Pekar,Iowa,Big Ten,receiving,TD,0
545444,Derrick Mitchell Jr.,Iowa,Big Ten,receiving,REC,6
3894843,Brady Ross,Iowa,Big Ten,receiving,YPR,6.0
3894843,Brady Ross,Iowa,Big Ten,receiving,LONG,6
3150749,Austin Kelly,Iowa,Big Ten,receiving,REC,1
3894834,Ronald Nash,Iowa,Big Ten,receiving,YPR,7.0
545373,LeShun Daniels Jr.,Iowa,Big Ten,receiving,YPR,8.4
3150749,Austin Kelly,Iowa,Big Ten,receiving,TD,0
3894834,Ronald Nash,Iowa,Big Ten,receiving,YDS,14
554889,Matt VandeBerg,Iowa,Big Ten,receiving,YPR,14.9
545447,Peter Pekar,Iowa,Big Ten,receiving,YDS,5
3145001,Jay Scheel,Iowa,Big Ten,receiving,YDS,56
3150749,Austin Kelly,Iowa,Big Ten,receiving,YPR,5.0
3894843,Brady Ross,Iowa,Big Ten,receiving,TD,0
3894828,Jerminic Smith,Iowa,Big Ten,receiving,YDS,314
545423,Akrum Wadley,Iowa,Big Ten,receiving,YDS,315
545428,George Kittle,Iowa,Big Ten,receiving,YPR,14.3
3894834,Ronald Nash,Iowa,Big Ten,receiving,LONG,8
4036131,Noah Fant,Iowa,Big Ten,receiving,TD,1
3894843,Brady Ross,Iowa,Big Ten,receiving,YDS,6
3894843,Brady Ross,Iowa,Big Ten,receiving,REC,1
554889,Matt VandeBerg,Iowa,Big Ten,receiving,REC,19
545444,Derrick Mitchell Jr.,Iowa,Big Ten,receiving,TD,0
3894828,Jerminic Smith,Iowa,Big Ten,receiving,YPR,13.7
545444,Derrick Mitchell Jr.,Iowa,Big Ten,receiving,YPR,4.0
3894828,Jerminic Smith,Iowa,Big Ten,receiving,LONG,46
554889,Matt VandeBerg,Iowa,Big Ten,receiving,YDS,284
545373,LeShun Daniels Jr.,Iowa,Big Ten,receiving,TD,0
545423,Akrum Wadley,Iowa,Big Ten,receiving,LONG,30
3894834,Ronald Nash,Iowa,Big Ten,receiving,REC,2
545423,Akrum Wadley,Iowa,Big Ten,receiving,TD,3
545428,George Kittle,Iowa,Big Ten,receiving,TD,4
539219,Riley McCarron,Iowa,Big Ten,receiving,LONG,77
4036131,Noah Fant,Iowa,Big Ten,receiving,LONG,14
545423,Akrum Wadley,Iowa,Big Ten,receiving,YPR,8.8
545428,George Kittle,Iowa,Big Ten,receiving,REC,22
545428,George Kittle,Iowa,Big Ten,receiving,YDS,314
3145001,Jay Scheel,Iowa,Big Ten,receiving,YPR,11.2
545423,Akrum Wadley,Iowa,Big Ten,receiving,REC,36
3894834,Ronald Nash,Iowa,Big Ten,receiving,TD,0
539219,Riley McCarron,Iowa,Big Ten,receiving,YPR,12.3
545447,Peter Pekar,Iowa,Big Ten,receiving,REC,1
554889,Matt VandeBerg,Iowa,Big Ten,receiving,LONG,36
4036131,Noah Fant,Iowa,Big Ten,receiving,REC,9
