playerId,player,team,conference,category,statType,stat
4585992,Payton Hunter,James Madison,Sun Belt,receiving,YDS,14
4696044,Kaelon Black,James Madison,Sun Belt,receiving,REC,17
4430286,Latrele Palmer,James Madison,Sun Belt,receiving,YDS,42
4696063,Kelly Mitchell,James Madison,Sun Belt,receiving,LONG,6
4430286,Latrele Palmer,James Madison,Sun Belt,receiving,REC,5
4249315,Kris Thornton,James Madison,Sun Belt,receiving,REC,60
4585992,Payton Hunter,James Madison,Sun Belt,receiving,YPR,14.0
4877824,Zach Horton,James Madison,Sun Belt,receiving,YDS,159
4912342,Wayne Knight,James Madison,Sun Belt,receiving,REC,5
4430286,Latrele Palmer,James Madison,Sun Belt,receiving,LONG,13
4585992,Payton Hunter,James Madison,Sun Belt,receiving,REC,1
4430286,Latrele Palmer,James Madison,Sun Belt,receiving,TD,0
4249315,Kris Thornton,James Madison,Sun Belt,receiving,TD,7
4585992,Payton Hunter,James Madison,Sun Belt,receiving,LONG,14
4696063,Kelly Mitchell,James Madison,Sun Belt,receiving,YDS,6
4585992,Payton Hunter,James Madison,Sun Belt,receiving,TD,0
4366657,Drew Painter,James Madison,Sun Belt,receiving,YPR,11.6
4249583,Percy Agyei-Obese,James Madison,Sun Belt,receiving,YPR,5.5
4696044,Kaelon Black,James Madison,Sun Belt,receiving,TD,2
4877824,Zach Horton,James Madison,Sun Belt,receiving,TD,2
4366657,Drew Painter,James Madison,Sun Belt,receiving,TD,2
4696044,Kaelon Black,James Madison,Sun Belt,receiving,LONG,25
4251359,Terrance Greene Jr.,James Madison,Sun Belt,receiving,YDS,389
4366625,Reggie Brown,James Madison,Sun Belt,receiving,TD,4
4366625,Reggie Brown,James Madison,Sun Belt,receiving,LONG,42
4366625,Reggie Brown,James Madison,Sun Belt,receiving,REC,24
4430286,Latrele Palmer,James Madison,Sun Belt,receiving,YPR,8.4
4366657,Drew Painter,James Madison,Sun Belt,receiving,YDS,221
4249583,Percy Agyei-Obese,James Madison,Sun Belt,receiving,REC,2
4249315,Kris Thornton,James Madison,Sun Belt,receiving,YDS,1025
4877812,Maxwell James,James Madison,Sun Belt,receiving,REC,2
4366640,Solomon Vanhorse,James Madison,Sun Belt,receiving,LONG,46
4249315,Kris Thornton,James Madison,Sun Belt,receiving,YPR,17.1
4877812,Maxwell James,James Madison,Sun Belt,receiving,LONG,7
4366633,Devin Ravenel,James Madison,Sun Belt,receiving,YDS,313
4696063,Kelly Mitchell,James Madison,Sun Belt,receiving,YPR,6.0
4877812,Maxwell James,James Madison,Sun Belt,receiving,TD,0
4877812,Maxwell James,James Madison,Sun Belt,receiving,YPR,5.5
4877824,Zach Horton,James Madison,Sun Belt,receiving,YPR,12.2
4696063,Kelly Mitchell,James Madison,Sun Belt,receiving,TD,0
4877824,Zach Horton,James Madison,Sun Belt,receiving,REC,13
4912342,Wayne Knight,James Madison,Sun Belt,receiving,LONG,32
4877824,Zach Horton,James Madison,Sun Belt,receiving,LONG,23
4251359,Terrance Greene Jr.,James Madison,Sun Belt,receiving,YPR,18.5
4366640,Solomon Vanhorse,James Madison,Sun Belt,receiving,YDS,86
4366633,Devin Ravenel,James Madison,Sun Belt,receiving,YPR,13.0
4366640,Solomon Vanhorse,James Madison,Sun Belt,receiving,YPR,14.3
4366633,Devin Ravenel,James Madison,Sun Belt,receiving,LONG,43
4696044,Kaelon Black,James Madison,Sun Belt,receiving,YDS,177
4249583,Percy Agyei-Obese,James Madison,Sun Belt,receiving,LONG,8
4912342,Wayne Knight,James Madison,Sun Belt,receiving,TD,0
4251359,Terrance Greene Jr.,James Madison,Sun Belt,receiving,REC,21
4366640,Solomon Vanhorse,James Madison,Sun Belt,receiving,TD,1
4366625,Reggie Brown,James Madison,Sun Belt,receiving,YPR,16.7
4912342,Wayne Knight,James Madison,Sun Belt,receiving,YDS,63
4366633,Devin Ravenel,James Madison,Sun Belt,receiving,TD,7
4696063,Kelly Mitchell,James Madison,Sun Belt,receiving,REC,1
4251359,Terrance Greene Jr.,James Madison,Sun Belt,receiving,LONG,62
4696044,Kaelon Black,James Madison,Sun Belt,receiving,YPR,10.4
4912342,Wayne Knight,James Madison,Sun Belt,receiving,YPR,12.6
4366657,Drew Painter,James Madison,Sun Belt,receiving,LONG,31
4366640,Solomon Vanhorse,James Madison,Sun Belt,receiving,REC,6
4877812,Maxwell James,James Madison,Sun Belt,receiving,YDS,11
4249583,Percy Agyei-Obese,James Madison,Sun Belt,receiving,YDS,11
4366625,Reggie Brown,James Madison,Sun Belt,receiving,YDS,401
4366633,Devin Ravenel,James Madison,Sun Belt,receiving,REC,24
4249583,Percy Agyei-Obese,James Madison,Sun Belt,receiving,TD,0
4251359,Terrance Greene Jr.,James Madison,Sun Belt,receiving,TD,2
4249315,Kris Thornton,James Madison,Sun Belt,receiving,LONG,54
4366657,Drew Painter,James Madison,Sun Belt,receiving,REC,19
