playerId,player,team,conference,category,statType,stat
4244068,Dustin Crum,Kent State,Mid-American,receiving,YDS,0
4426619,Joachim Bangda,Kent State,Mid-American,receiving,YPR,3.3
4362340,Woody Barrett,Kent State,Mid-American,receiving,REC,2
4426892,Dante Cephas,Kent State,Mid-American,receiving,YDS,19
4244066,Raymond James,Kent State,Mid-American,receiving,REC,3
4038930,Kavious Price,Kent State,Mid-American,receiving,YDS,508
4362340,Woody Barrett,Kent State,Mid-American,receiving,YPR,6.5
4249826,Keenan Orr,Kent State,Mid-American,receiving,REC,6
4426619,Joachim Bangda,Kent State,Mid-American,receiving,YDS,13
4362352,Isaiah McKoy,Kent State,Mid-American,receiving,REC,57
4244066,Raymond James,Kent State,Mid-American,receiving,YDS,70
4249826,Keenan Orr,Kent State,Mid-American,receiving,YDS,42
4244066,Raymond James,Kent State,Mid-American,receiving,LONG,28
3915267,Will Matthews,Kent State,Mid-American,receiving,YDS,70
4038931,Mike Carrigan,Kent State,Mid-American,receiving,YDS,569
4362359,Jo-el Shaw,Kent State,Mid-American,receiving,LONG,21
4038930,Kavious Price,Kent State,Mid-American,receiving,TD,3
3915261,Antwan Dixon,Kent State,Mid-American,receiving,REC,33
3915261,Antwan Dixon,Kent State,Mid-American,receiving,YPR,9.7
4244068,Dustin Crum,Kent State,Mid-American,receiving,LONG,0
4037133,Adam Dulka,Kent State,Mid-American,receiving,YDS,57
4362364,Javaughn Williams,Kent State,Mid-American,receiving,YDS,4
4244071,Xavier Williams,Kent State,Mid-American,receiving,YDS,105
4244068,Dustin Crum,Kent State,Mid-American,receiving,REC,1
4569234,Keshunn Abram,Kent State,Mid-American,receiving,REC,8
4362364,Javaughn Williams,Kent State,Mid-American,receiving,TD,0
3915267,Will Matthews,Kent State,Mid-American,receiving,TD,0
4569234,Keshunn Abram,Kent State,Mid-American,receiving,YDS,97
4249826,Keenan Orr,Kent State,Mid-American,receiving,TD,2
4362352,Isaiah McKoy,Kent State,Mid-American,receiving,YDS,870
4037133,Adam Dulka,Kent State,Mid-American,receiving,REC,7
4362359,Jo-el Shaw,Kent State,Mid-American,receiving,YPR,7.7
4244071,Xavier Williams,Kent State,Mid-American,receiving,LONG,41
4430323,Ja'Shaun Poke,Kent State,Mid-American,receiving,YDS,30
3915267,Will Matthews,Kent State,Mid-American,receiving,LONG,28
3915261,Antwan Dixon,Kent State,Mid-American,receiving,LONG,53
4362352,Isaiah McKoy,Kent State,Mid-American,receiving,TD,8
4362359,Jo-el Shaw,Kent State,Mid-American,receiving,TD,0
4038931,Mike Carrigan,Kent State,Mid-American,receiving,TD,5
4426619,Joachim Bangda,Kent State,Mid-American,receiving,LONG,7
4244066,Raymond James,Kent State,Mid-American,receiving,TD,1
4362340,Woody Barrett,Kent State,Mid-American,receiving,LONG,8
4244068,Dustin Crum,Kent State,Mid-American,receiving,TD,0
4362359,Jo-el Shaw,Kent State,Mid-American,receiving,YDS,46
4244071,Xavier Williams,Kent State,Mid-American,receiving,REC,5
4038930,Kavious Price,Kent State,Mid-American,receiving,REC,48
4426892,Dante Cephas,Kent State,Mid-American,receiving,TD,0
4244071,Xavier Williams,Kent State,Mid-American,receiving,TD,2
3915267,Will Matthews,Kent State,Mid-American,receiving,REC,7
4430323,Ja'Shaun Poke,Kent State,Mid-American,receiving,TD,0
4038930,Kavious Price,Kent State,Mid-American,receiving,LONG,54
4249826,Keenan Orr,Kent State,Mid-American,receiving,LONG,12
4569234,Keshunn Abram,Kent State,Mid-American,receiving,YPR,12.1
4037133,Adam Dulka,Kent State,Mid-American,receiving,TD,1
4249826,Keenan Orr,Kent State,Mid-American,receiving,YPR,7.0
4362364,Javaughn Williams,Kent State,Mid-American,receiving,LONG,4
4569234,Keshunn Abram,Kent State,Mid-American,receiving,LONG,26
4426619,Joachim Bangda,Kent State,Mid-American,receiving,TD,0
4362359,Jo-el Shaw,Kent State,Mid-American,receiving,REC,6
4362352,Isaiah McKoy,Kent State,Mid-American,receiving,YPR,15.3
4362340,Woody Barrett,Kent State,Mid-American,receiving,YDS,13
4426892,Dante Cephas,Kent State,Mid-American,receiving,YPR,4.8
4037133,Adam Dulka,Kent State,Mid-American,receiving,LONG,18
4244071,Xavier Williams,Kent State,Mid-American,receiving,YPR,21.0
4426892,Dante Cephas,Kent State,Mid-American,receiving,REC,4
4362340,Woody Barrett,Kent State,Mid-American,receiving,TD,0
4244068,Dustin Crum,Kent State,Mid-American,receiving,YPR,0.0
4038931,Mike Carrigan,Kent State,Mid-American,receiving,YPR,13.5
3915261,Antwan Dixon,Kent State,Mid-American,receiving,TD,1
4362364,Javaughn Williams,Kent State,Mid-American,receiving,REC,1
4362364,Javaughn Williams,Kent State,Mid-American,receiving,YPR,4.0
4569234,Keshunn Abram,Kent State,Mid-American,receiving,TD,1
3915267,Will Matthews,Kent State,Mid-American,receiving,YPR,10.0
