playerId,player,team,conference,category,statType,stat
4362605,Allen Dailey,Kentucky,SEC,receiving,REC,2
4240785,Clevan Thomas,Kentucky,SEC,receiving,YDS,63
4035072,Benny Snell Jr.,Kentucky,SEC,receiving,REC,17
4035053,Zy'Aire Hughes,Kentucky,SEC,receiving,TD,1
3915251,Tavin Richardson,Kentucky,SEC,receiving,YDS,77
4240782,Asim Rose,Kentucky,SEC,receiving,YPR,10.3
4259979,Lynn Bowden Jr.,Kentucky,SEC,receiving,YDS,745
4035065,Justin Rigg,Kentucky,SEC,receiving,LONG,29
3915230,C.J. Conrad,Kentucky,SEC,receiving,LONG,32
3126325,Dorian Baker,Kentucky,SEC,receiving,LONG,23
3126325,Dorian Baker,Kentucky,SEC,receiving,TD,0
3915251,Tavin Richardson,Kentucky,SEC,receiving,YPR,8.6
4404525,Tavin Richardon,Kentucky,SEC,receiving,LONG,20
4035053,Zy'Aire Hughes,Kentucky,SEC,receiving,LONG,14
4259976,Josh Ali,Kentucky,SEC,receiving,REC,10
4240782,Asim Rose,Kentucky,SEC,receiving,YDS,82
4259976,Josh Ali,Kentucky,SEC,receiving,LONG,32
4259984,Isaiah Epps,Kentucky,SEC,receiving,YDS,76
3915230,C.J. Conrad,Kentucky,SEC,receiving,YDS,316
4035065,Justin Rigg,Kentucky,SEC,receiving,YDS,45
3915230,C.J. Conrad,Kentucky,SEC,receiving,YPR,10.9
4362609,Akeem Hayes,Kentucky,SEC,receiving,REC,1
4362605,Allen Dailey,Kentucky,SEC,receiving,LONG,23
4259976,Josh Ali,Kentucky,SEC,receiving,YPR,11.5
3133564,David Bouvier,Kentucky,SEC,receiving,LONG,29
4035072,Benny Snell Jr.,Kentucky,SEC,receiving,YPR,6.2
4404525,Tavin Richardon,Kentucky,SEC,receiving,YDS,37
4362609,Akeem Hayes,Kentucky,SEC,receiving,YPR,-1.0
4259984,Isaiah Epps,Kentucky,SEC,receiving,YPR,9.5
4035053,Zy'Aire Hughes,Kentucky,SEC,receiving,YPR,63.0
4035072,Benny Snell Jr.,Kentucky,SEC,receiving,TD,0
3126325,Dorian Baker,Kentucky,SEC,receiving,YPR,10.2
4362605,Allen Dailey,Kentucky,SEC,receiving,YPR,19.0
4362609,Akeem Hayes,Kentucky,SEC,receiving,TD,0
4038940,Terry Wilson,Kentucky,SEC,receiving,YDS,-6
4038940,Terry Wilson,Kentucky,SEC,receiving,LONG,0
4362609,Akeem Hayes,Kentucky,SEC,receiving,YDS,-1
3915251,Tavin Richardson,Kentucky,SEC,receiving,TD,0
4404525,Tavin Richardon,Kentucky,SEC,receiving,YPR,9.3
3133564,David Bouvier,Kentucky,SEC,receiving,REC,16
4362605,Allen Dailey,Kentucky,SEC,receiving,TD,1
4035053,Zy'Aire Hughes,Kentucky,SEC,receiving,REC,1
3915251,Tavin Richardson,Kentucky,SEC,receiving,REC,9
4035065,Justin Rigg,Kentucky,SEC,receiving,REC,4
4259979,Lynn Bowden Jr.,Kentucky,SEC,receiving,TD,5
4240785,Clevan Thomas,Kentucky,SEC,receiving,TD,0
4038940,Terry Wilson,Kentucky,SEC,receiving,YPR,-6.0
4240785,Clevan Thomas,Kentucky,SEC,receiving,YPR,21.0
4259976,Josh Ali,Kentucky,SEC,receiving,YDS,115
4240782,Asim Rose,Kentucky,SEC,receiving,LONG,31
3915251,Tavin Richardson,Kentucky,SEC,receiving,LONG,18
4240785,Clevan Thomas,Kentucky,SEC,receiving,LONG,40
4240785,Clevan Thomas,Kentucky,SEC,receiving,REC,3
4240782,Asim Rose,Kentucky,SEC,receiving,TD,1
3133564,David Bouvier,Kentucky,SEC,receiving,YPR,13.1
4362605,Allen Dailey,Kentucky,SEC,receiving,YDS,38
4259976,Josh Ali,Kentucky,SEC,receiving,TD,1
4259984,Isaiah Epps,Kentucky,SEC,receiving,TD,0
4240782,Asim Rose,Kentucky,SEC,receiving,REC,8
3133564,David Bouvier,Kentucky,SEC,receiving,TD,2
4259984,Isaiah Epps,Kentucky,SEC,receiving,REC,8
4404525,Tavin Richardon,Kentucky,SEC,receiving,REC,4
3133564,David Bouvier,Kentucky,SEC,receiving,YDS,209
4038940,Terry Wilson,Kentucky,SEC,receiving,REC,1
4404525,Tavin Richardon,Kentucky,SEC,receiving,TD,0
4038940,Terry Wilson,Kentucky,SEC,receiving,TD,0
4035065,Justin Rigg,Kentucky,SEC,receiving,YPR,11.3
4259979,Lynn Bowden Jr.,Kentucky,SEC,receiving,LONG,54
4362609,Akeem Hayes,Kentucky,SEC,receiving,LONG,0
4035072,Benny Snell Jr.,Kentucky,SEC,receiving,LONG,28
4259979,Lynn Bowden Jr.,Kentucky,SEC,receiving,REC,67
4035072,Benny Snell Jr.,Kentucky,SEC,receiving,YDS,105
3126325,Dorian Baker,Kentucky,SEC,receiving,YDS,133
4259979,Lynn Bowden Jr.,Kentucky,SEC,receiving,YPR,11.1
3915230,C.J. Conrad,Kentucky,SEC,receiving,REC,29
4259984,Isaiah Epps,Kentucky,SEC,receiving,LONG,18
3915230,C.J. Conrad,Kentucky,SEC,receiving,TD,2
4035065,Justin Rigg,Kentucky,SEC,receiving,TD,0
3126325,Dorian Baker,Kentucky,SEC,receiving,REC,13
4035053,Zy'Aire Hughes,Kentucky,SEC,receiving,YDS,63
