playerId,player,team,conference,category,statType,stat
4029903,Lionell McConnell,Liberty,FBS Independents,receiving,LONG,15
4365503,Kevin Shaa,Liberty,FBS Independents,receiving,REC,3
3910407,Zac Foutz,Liberty,FBS Independents,receiving,REC,10
3910407,Zac Foutz,Liberty,FBS Independents,receiving,YPR,13.4
4246889,Michael Bollinger,Liberty,FBS Independents,receiving,LONG,18
3121162,B.J. Farrow,Liberty,FBS Independents,receiving,YDS,546
4029893,Antonio Gandy-Golden,Liberty,FBS Independents,receiving,LONG,50
4246909,Fidel Ogbeifun,Liberty,FBS Independents,receiving,TD,0
4044536,Peytton Pickett,Liberty,FBS Independents,receiving,YDS,40
4365473,Chris Barrett,Liberty,FBS Independents,receiving,YDS,12
3910415,Damian King,Liberty,FBS Independents,receiving,YDS,226
3910404,Frankie Hickson,Liberty,FBS Independents,receiving,REC,10
3910415,Damian King,Liberty,FBS Independents,receiving,REC,12
4246904,Kentory Matthews,Liberty,FBS Independents,receiving,YDS,41
4029903,Lionell McConnell,Liberty,FBS Independents,receiving,TD,0
4029900,Mitchell Lewis,Liberty,FBS Independents,receiving,TD,0
4365473,Chris Barrett,Liberty,FBS Independents,receiving,YPR,12.0
4365477,Brody Brumm,Liberty,FBS Independents,receiving,TD,0
4246904,Kentory Matthews,Liberty,FBS Independents,receiving,REC,6
4246895,Khaleb Coleman,Liberty,FBS Independents,receiving,LONG,29
4246895,Khaleb Coleman,Liberty,FBS Independents,receiving,REC,11
3910402,Elijah Benton,Liberty,FBS Independents,receiving,YPR,7.0
4246895,Khaleb Coleman,Liberty,FBS Independents,receiving,YDS,126
4029900,Mitchell Lewis,Liberty,FBS Independents,receiving,YDS,14
4365503,Kevin Shaa,Liberty,FBS Independents,receiving,YPR,17.3
4365484,Noah Frith,Liberty,FBS Independents,receiving,REC,1
4246920,DJ Stubbs,Liberty,FBS Independents,receiving,YPR,12.6
4246904,Kentory Matthews,Liberty,FBS Independents,receiving,YPR,6.8
4044536,Peytton Pickett,Liberty,FBS Independents,receiving,YPR,4.4
3910404,Frankie Hickson,Liberty,FBS Independents,receiving,YPR,5.7
4029903,Lionell McConnell,Liberty,FBS Independents,receiving,REC,3
4246920,DJ Stubbs,Liberty,FBS Independents,receiving,LONG,55
4386276,Lionell Mcconell,Liberty,FBS Independents,receiving,LONG,10
4029903,Lionell McConnell,Liberty,FBS Independents,receiving,YPR,8.7
4365477,Brody Brumm,Liberty,FBS Independents,receiving,YPR,7.0
3910402,Elijah Benton,Liberty,FBS Independents,receiving,TD,0
4365484,Noah Frith,Liberty,FBS Independents,receiving,YPR,9.0
4365477,Brody Brumm,Liberty,FBS Independents,receiving,YDS,7
4246889,Michael Bollinger,Liberty,FBS Independents,receiving,YPR,18.0
3910407,Zac Foutz,Liberty,FBS Independents,receiving,TD,1
3910404,Frankie Hickson,Liberty,FBS Independents,receiving,YDS,57
4365484,Noah Frith,Liberty,FBS Independents,receiving,LONG,9
3910407,Zac Foutz,Liberty,FBS Independents,receiving,LONG,47
4029900,Mitchell Lewis,Liberty,FBS Independents,receiving,REC,2
4246909,Fidel Ogbeifun,Liberty,FBS Independents,receiving,REC,7
4386276,Lionell Mcconell,Liberty,FBS Independents,receiving,YDS,10
