playerId,player,team,conference,category,statType,stat
3122784,Marlon Watts,Louisiana Tech,Conference USA,receiving,REC,22
3122781,DeJuawn Oliver,Louisiana Tech,Conference USA,receiving,REC,8
4262172,George Scott,Louisiana Tech,Conference USA,receiving,YPR,7.4
3932194,Alfred Smith,Louisiana Tech,Conference USA,receiving,YDS,5
4052236,Adrian Hardy,Louisiana Tech,Conference USA,receiving,LONG,30
3914388,Javonte Woodard,Louisiana Tech,Conference USA,receiving,LONG,53
4052238,Cee Jay Powell,Louisiana Tech,Conference USA,receiving,YDS,37
549838,Boston Scott,Louisiana Tech,Conference USA,receiving,REC,20
3122780,Kam McKnight,Louisiana Tech,Conference USA,receiving,REC,19
4052236,Adrian Hardy,Louisiana Tech,Conference USA,receiving,YPR,13.9
3122763,Marcus Gaines,Louisiana Tech,Conference USA,receiving,YPR,23.6
3914366,Rhashid Bonnette,Louisiana Tech,Conference USA,receiving,REC,33
3122763,Marcus Gaines,Louisiana Tech,Conference USA,receiving,TD,0
3126244,Teddy Veal,Louisiana Tech,Conference USA,receiving,REC,74
3914388,Javonte Woodard,Louisiana Tech,Conference USA,receiving,YPR,42.0
3914366,Rhashid Bonnette,Louisiana Tech,Conference USA,receiving,YPR,17.6
4040434,Israel Tucker,Louisiana Tech,Conference USA,receiving,TD,0
3914366,Rhashid Bonnette,Louisiana Tech,Conference USA,receiving,TD,2
3122757,Jarred Craft,Louisiana Tech,Conference USA,receiving,LONG,17
3122784,Marlon Watts,Louisiana Tech,Conference USA,receiving,YPR,14.5
4262172,George Scott,Louisiana Tech,Conference USA,receiving,LONG,15
4262172,George Scott,Louisiana Tech,Conference USA,receiving,TD,0
4040412,Zach Cousar,Louisiana Tech,Conference USA,receiving,LONG,17
4040412,Zach Cousar,Louisiana Tech,Conference USA,receiving,TD,1
549838,Boston Scott,Louisiana Tech,Conference USA,receiving,YDS,181
4052238,Cee Jay Powell,Louisiana Tech,Conference USA,receiving,TD,0
3932194,Alfred Smith,Louisiana Tech,Conference USA,receiving,TD,0
3126244,Teddy Veal,Louisiana Tech,Conference USA,receiving,TD,7
3122781,DeJuawn Oliver,Louisiana Tech,Conference USA,receiving,LONG,42
4040434,Israel Tucker,Louisiana Tech,Conference USA,receiving,YPR,0.0
4040412,Zach Cousar,Louisiana Tech,Conference USA,receiving,YPR,13.0
3122781,DeJuawn Oliver,Louisiana Tech,Conference USA,receiving,YPR,14.5
4040434,Israel Tucker,Louisiana Tech,Conference USA,receiving,LONG,0
3932194,Alfred Smith,Louisiana Tech,Conference USA,receiving,LONG,6
3914369,Jaqwis Dancy,Louisiana Tech,Conference USA,receiving,REC,3
4052238,Cee Jay Powell,Louisiana Tech,Conference USA,receiving,YPR,7.4
3914369,Jaqwis Dancy,Louisiana Tech,Conference USA,receiving,YPR,8.7
4262172,George Scott,Louisiana Tech,Conference USA,receiving,YDS,37
3126244,Teddy Veal,Louisiana Tech,Conference USA,receiving,LONG,44
4040434,Israel Tucker,Louisiana Tech,Conference USA,receiving,REC,1
3122780,Kam McKnight,Louisiana Tech,Conference USA,receiving,YPR,9.4
3122780,Kam McKnight,Louisiana Tech,Conference USA,receiving,TD,2
3126244,Teddy Veal,Louisiana Tech,Conference USA,receiving,YPR,12.8
3914388,Javonte Woodard,Louisiana Tech,Conference USA,receiving,TD,0
