playerId,player,team,conference,category,statType,stat
378889,Ross Goodlett,Louisiana,Sun Belt,receiving,LONG,12
384896,Ladarius Green,Louisiana,Sun Belt,receiving,TD,8
512334,Larry Pettis,Louisiana,Sun Belt,receiving,YDS,14
512339,Jamal Robinson,Louisiana,Sun Belt,receiving,REC,7
512325,Alonzo Harris,Louisiana,Sun Belt,receiving,YDS,146
481323,Javone Lawson,Louisiana,Sun Belt,receiving,YDS,1092
481322,Andrew Joseph,Louisiana,Sun Belt,receiving,LONG,26
237657,Brad McGuire,Louisiana,Sun Belt,receiving,LONG,19
512323,Qyen Griffin,Louisiana,Sun Belt,receiving,YDS,23
481323,Javone Lawson,Louisiana,Sun Belt,receiving,TD,8
512691,Blake Comminie,Louisiana,Sun Belt,receiving,REC,1
481325,Jacob Maxwell,Louisiana,Sun Belt,receiving,YDS,36
378893,Bill Bentley,Louisiana,Sun Belt,receiving,YPR,17.5
505184,Aaron Spikes,Louisiana,Sun Belt,receiving,TD,0
481325,Jacob Maxwell,Louisiana,Sun Belt,receiving,YPR,12.0
481322,Andrew Joseph,Louisiana,Sun Belt,receiving,REC,7
378893,Bill Bentley,Louisiana,Sun Belt,receiving,REC,2
512691,Blake Comminie,Louisiana,Sun Belt,receiving,TD,0
505188,Darryl Surgent,Louisiana,Sun Belt,receiving,TD,6
481332,Ian Thompson,Louisiana,Sun Belt,receiving,LONG,23
481335,Robert Walker,Louisiana,Sun Belt,receiving,TD,0
512323,Qyen Griffin,Louisiana,Sun Belt,receiving,TD,0
512339,Jamal Robinson,Louisiana,Sun Belt,receiving,LONG,17
481325,Jacob Maxwell,Louisiana,Sun Belt,receiving,LONG,24
512339,Jamal Robinson,Louisiana,Sun Belt,receiving,YPR,11.0
481323,Javone Lawson,Louisiana,Sun Belt,receiving,REC,63
481322,Andrew Joseph,Louisiana,Sun Belt,receiving,TD,0
512325,Alonzo Harris,Louisiana,Sun Belt,receiving,TD,1
481322,Andrew Joseph,Louisiana,Sun Belt,receiving,YDS,45
481323,Javone Lawson,Louisiana,Sun Belt,receiving,YPR,17.3
505184,Aaron Spikes,Louisiana,Sun Belt,receiving,REC,5
512325,Alonzo Harris,Louisiana,Sun Belt,receiving,REC,14
512334,Larry Pettis,Louisiana,Sun Belt,receiving,YPR,7.0
505188,Darryl Surgent,Louisiana,Sun Belt,receiving,YPR,18.5
512333,Harry Peoples,Louisiana,Sun Belt,receiving,REC,58
512691,Blake Comminie,Louisiana,Sun Belt,receiving,YPR,0.0
481332,Ian Thompson,Louisiana,Sun Belt,receiving,TD,0
512323,Qyen Griffin,Louisiana,Sun Belt,receiving,LONG,14
384896,Ladarius Green,Louisiana,Sun Belt,receiving,REC,51
378893,Bill Bentley,Louisiana,Sun Belt,receiving,TD,0
378893,Bill Bentley,Louisiana,Sun Belt,receiving,LONG,22
378889,Ross Goodlett,Louisiana,Sun Belt,receiving,YDS,17
512325,Alonzo Harris,Louisiana,Sun Belt,receiving,YPR,10.4
237657,Brad McGuire,Louisiana,Sun Belt,receiving,TD,0
512333,Harry Peoples,Louisiana,Sun Belt,receiving,YDS,697
237657,Brad McGuire,Louisiana,Sun Belt,receiving,REC,2
378889,Ross Goodlett,Louisiana,Sun Belt,receiving,TD,0
512334,Larry Pettis,Louisiana,Sun Belt,receiving,REC,2
237657,Brad McGuire,Louisiana,Sun Belt,receiving,YDS,21
481332,Ian Thompson,Louisiana,Sun Belt,receiving,YDS,99
481323,Javone Lawson,Louisiana,Sun Belt,receiving,LONG,60
378893,Bill Bentley,Louisiana,Sun Belt,receiving,YDS,35
512333,Harry Peoples,Louisiana,Sun Belt,receiving,TD,1
505188,Darryl Surgent,Louisiana,Sun Belt,receiving,LONG,65
481325,Jacob Maxwell,Louisiana,Sun Belt,receiving,TD,0
512339,Jamal Robinson,Louisiana,Sun Belt,receiving,YDS,77
505184,Aaron Spikes,Louisiana,Sun Belt,receiving,YPR,2.6
505188,Darryl Surgent,Louisiana,Sun Belt,receiving,YDS,518
384896,Ladarius Green,Louisiana,Sun Belt,receiving,LONG,44
481335,Robert Walker,Louisiana,Sun Belt,receiving,REC,9
481325,Jacob Maxwell,Louisiana,Sun Belt,receiving,REC,3
512334,Larry Pettis,Louisiana,Sun Belt,receiving,LONG,13
512333,Harry Peoples,Louisiana,Sun Belt,receiving,YPR,12.0
378889,Ross Goodlett,Louisiana,Sun Belt,receiving,YPR,8.5
512339,Jamal Robinson,Louisiana,Sun Belt,receiving,TD,0
512323,Qyen Griffin,Louisiana,Sun Belt,receiving,YPR,11.5
481335,Robert Walker,Louisiana,Sun Belt,receiving,YPR,7.1
384896,Ladarius Green,Louisiana,Sun Belt,receiving,YPR,11.9
512691,Blake Comminie,Louisiana,Sun Belt,receiving,LONG,0
237657,Brad McGuire,Louisiana,Sun Belt,receiving,YPR,10.5
505184,Aaron Spikes,Louisiana,Sun Belt,receiving,LONG,4
512323,Qyen Griffin,Louisiana,Sun Belt,receiving,REC,2
481335,Robert Walker,Louisiana,Sun Belt,receiving,LONG,27
512334,Larry Pettis,Louisiana,Sun Belt,receiving,TD,1
505188,Darryl Surgent,Louisiana,Sun Belt,receiving,REC,28
481335,Robert Walker,Louisiana,Sun Belt,receiving,YDS,64
505184,Aaron Spikes,Louisiana,Sun Belt,receiving,YDS,13
481332,Ian Thompson,Louisiana,Sun Belt,receiving,REC,10
512691,Blake Comminie,Louisiana,Sun Belt,receiving,YDS,0
481332,Ian Thompson,Louisiana,Sun Belt,receiving,YPR,9.9
481322,Andrew Joseph,Louisiana,Sun Belt,receiving,YPR,6.4
512333,Harry Peoples,Louisiana,Sun Belt,receiving,LONG,31
384896,Ladarius Green,Louisiana,Sun Belt,receiving,YDS,606
378889,Ross Goodlett,Louisiana,Sun Belt,receiving,REC,2
512325,Alonzo Harris,Louisiana,Sun Belt,receiving,LONG,22
