playerId,player,team,conference,category,statType,stat
4360797,Chatarius Atwell,Louisville,ACC,receiving,YDS,625
4259360,Maurice Burkley,Louisville,ACC,receiving,YDS,21
4036026,Dez Fitzpatrick,Louisville,ACC,receiving,REC,43
4686343,Braden Smith,Louisville,ACC,receiving,YPR,13.7
4259360,Maurice Burkley,Louisville,ACC,receiving,REC,3
4037517,Roscoe Johnson,Louisville,ACC,receiving,YPR,10.0
4259363,Isaac Martin,Louisville,ACC,receiving,REC,2
4259363,Isaac Martin,Louisville,ACC,receiving,YPR,6.0
3915771,Ean Pfeifer,Louisville,ACC,receiving,YPR,16.0
4428030,Jalen Mitchell,Louisville,ACC,receiving,REC,4
4259360,Maurice Burkley,Louisville,ACC,receiving,LONG,14
4360805,Hassan Hall,Louisville,ACC,receiving,REC,3
4431466,Jordan Watkins,Louisville,ACC,receiving,YDS,57
4037517,Roscoe Johnson,Louisville,ACC,receiving,TD,0
4240091,Josh Johnson,Louisville,ACC,receiving,YPR,10.0
4240075,Justin Marshall,Louisville,ACC,receiving,REC,7
3915771,Ean Pfeifer,Louisville,ACC,receiving,TD,2
4259363,Isaac Martin,Louisville,ACC,receiving,TD,0
4240075,Justin Marshall,Louisville,ACC,receiving,YDS,87
4360805,Hassan Hall,Louisville,ACC,receiving,LONG,6
4360805,Hassan Hall,Louisville,ACC,receiving,TD,0
4686343,Braden Smith,Louisville,ACC,receiving,YDS,370
3915771,Ean Pfeifer,Louisville,ACC,receiving,YDS,96
4575528,Francis Sherman,Louisville,ACC,receiving,REC,3
4360802,Javian Hawkins,Louisville,ACC,receiving,LONG,29
4686343,Braden Smith,Louisville,ACC,receiving,TD,0
4360797,Chatarius Atwell,Louisville,ACC,receiving,YPR,13.6
4360802,Javian Hawkins,Louisville,ACC,receiving,YDS,127
4431466,Jordan Watkins,Louisville,ACC,receiving,TD,0
4037517,Roscoe Johnson,Louisville,ACC,receiving,YDS,20
4431466,Jordan Watkins,Louisville,ACC,receiving,LONG,13
4373177,Marshon Ford,Louisville,ACC,receiving,YDS,310
4373177,Marshon Ford,Louisville,ACC,receiving,REC,25
4360802,Javian Hawkins,Louisville,ACC,receiving,TD,1
4373177,Marshon Ford,Louisville,ACC,receiving,YPR,12.4
4431241,Duane Martin,Louisville,ACC,receiving,YDS,27
4686343,Braden Smith,Louisville,ACC,receiving,LONG,63
4575528,Francis Sherman,Louisville,ACC,receiving,YDS,19
4240075,Justin Marshall,Louisville,ACC,receiving,TD,0
4037517,Roscoe Johnson,Louisville,ACC,receiving,LONG,10
4240091,Josh Johnson,Louisville,ACC,receiving,TD,0
4259363,Isaac Martin,Louisville,ACC,receiving,LONG,8
4575528,Francis Sherman,Louisville,ACC,receiving,LONG,11
3915771,Ean Pfeifer,Louisville,ACC,receiving,LONG,28
4428030,Jalen Mitchell,Louisville,ACC,receiving,YDS,33
4360797,Chatarius Atwell,Louisville,ACC,receiving,LONG,66
4036026,Dez Fitzpatrick,Louisville,ACC,receiving,TD,3
4360802,Javian Hawkins,Louisville,ACC,receiving,YPR,7.9
4240091,Josh Johnson,Louisville,ACC,receiving,LONG,16
4431466,Jordan Watkins,Louisville,ACC,receiving,REC,8
4360797,Chatarius Atwell,Louisville,ACC,receiving,TD,7
4428030,Jalen Mitchell,Louisville,ACC,receiving,YPR,8.3
4240075,Justin Marshall,Louisville,ACC,receiving,LONG,21
4360797,Chatarius Atwell,Louisville,ACC,receiving,REC,46
4036026,Dez Fitzpatrick,Louisville,ACC,receiving,YPR,19.4
4431466,Jordan Watkins,Louisville,ACC,receiving,YPR,7.1
4037517,Roscoe Johnson,Louisville,ACC,receiving,REC,2
4575528,Francis Sherman,Louisville,ACC,receiving,TD,1
4431241,Duane Martin,Louisville,ACC,receiving,YPR,13.5
4240091,Josh Johnson,Louisville,ACC,receiving,YDS,40
4036026,Dez Fitzpatrick,Louisville,ACC,receiving,YDS,833
4431241,Duane Martin,Louisville,ACC,receiving,LONG,25
4686343,Braden Smith,Louisville,ACC,receiving,REC,27
4360805,Hassan Hall,Louisville,ACC,receiving,YDS,6
4373177,Marshon Ford,Louisville,ACC,receiving,LONG,46
4360802,Javian Hawkins,Louisville,ACC,receiving,REC,16
4240091,Josh Johnson,Louisville,ACC,receiving,REC,4
4428030,Jalen Mitchell,Louisville,ACC,receiving,LONG,15
4259360,Maurice Burkley,Louisville,ACC,receiving,TD,0
4575528,Francis Sherman,Louisville,ACC,receiving,YPR,6.3
4431241,Duane Martin,Louisville,ACC,receiving,REC,2
4360805,Hassan Hall,Louisville,ACC,receiving,YPR,2.0
4240075,Justin Marshall,Louisville,ACC,receiving,YPR,12.4
4036026,Dez Fitzpatrick,Louisville,ACC,receiving,LONG,82
4431241,Duane Martin,Louisville,ACC,receiving,TD,0
3915771,Ean Pfeifer,Louisville,ACC,receiving,REC,6
4428030,Jalen Mitchell,Louisville,ACC,receiving,TD,0
4259360,Maurice Burkley,Louisville,ACC,receiving,YPR,7.0
4259363,Isaac Martin,Louisville,ACC,receiving,YDS,12
4373177,Marshon Ford,Louisville,ACC,receiving,TD,6
