playerId,player,team,conference,category,statType,stat
4431632,Caleb Coombs,Marshall,Sun Belt,receiving,TD,0
4608533,E.J. Horton,Marshall,Sun Belt,receiving,YDS,186
4431632,Caleb Coombs,Marshall,Sun Belt,receiving,LONG,9
4690026,Shadeed Ahmed,Marshall,Sun Belt,receiving,YPR,9.4
4370353,Talik Keaton,Marshall,Sun Belt,receiving,YDS,226
4240022,Khalan Laborn,Marshall,Sun Belt,receiving,TD,0
4690026,Shadeed Ahmed,Marshall,Sun Belt,receiving,YDS,150
4880845,Charles Montgomery,Marshall,Sun Belt,receiving,YDS,402
4370348,Corey Gammage,Marshall,Sun Belt,receiving,YDS,774
4431632,Caleb Coombs,Marshall,Sun Belt,receiving,YDS,20
4709672,Ethan Payne,Marshall,Sun Belt,receiving,TD,0
4567545,Jayden Harrison,Marshall,Sun Belt,receiving,YDS,95
4880845,Charles Montgomery,Marshall,Sun Belt,receiving,LONG,71
4684939,Bryan Robinson,Marshall,Sun Belt,receiving,REC,1
4370348,Corey Gammage,Marshall,Sun Belt,receiving,LONG,57
4686452,Stacey Marshall,Marshall,Sun Belt,receiving,TD,0
4690013,Rasheen Ali,Marshall,Sun Belt,receiving,REC,2
4690013,Rasheen Ali,Marshall,Sun Belt,receiving,TD,1
4686452,Stacey Marshall,Marshall,Sun Belt,receiving,YDS,6
5082548,A.J. Turner,Marshall,Sun Belt,receiving,TD,1
4370353,Talik Keaton,Marshall,Sun Belt,receiving,LONG,38
4709672,Ethan Payne,Marshall,Sun Belt,receiving,YPR,8.2
4261933,Devin Miller,Marshall,Sun Belt,receiving,TD,2
4684939,Bryan Robinson,Marshall,Sun Belt,receiving,TD,0
4370353,Talik Keaton,Marshall,Sun Belt,receiving,TD,0
4370348,Corey Gammage,Marshall,Sun Belt,receiving,TD,6
4686452,Stacey Marshall,Marshall,Sun Belt,receiving,REC,1
5082548,A.J. Turner,Marshall,Sun Belt,receiving,LONG,24
4869602,Toby Payne,Marshall,Sun Belt,receiving,REC,2
4608533,E.J. Horton,Marshall,Sun Belt,receiving,REC,12
4690013,Rasheen Ali,Marshall,Sun Belt,receiving,YPR,5.0
4261933,Devin Miller,Marshall,Sun Belt,receiving,YPR,8.0
4370353,Talik Keaton,Marshall,Sun Belt,receiving,REC,24
4869602,Toby Payne,Marshall,Sun Belt,receiving,YPR,13.5
4690013,Rasheen Ali,Marshall,Sun Belt,receiving,YDS,10
4567545,Jayden Harrison,Marshall,Sun Belt,receiving,REC,12
4370353,Talik Keaton,Marshall,Sun Belt,receiving,YPR,9.4
4869602,Toby Payne,Marshall,Sun Belt,receiving,YDS,27
4370358,Caleb McMillan,Marshall,Sun Belt,receiving,TD,1
4690026,Shadeed Ahmed,Marshall,Sun Belt,receiving,LONG,33
4240022,Khalan Laborn,Marshall,Sun Belt,receiving,YPR,7.3
4880845,Charles Montgomery,Marshall,Sun Belt,receiving,YPR,11.2
4869602,Toby Payne,Marshall,Sun Belt,receiving,TD,1
4370348,Corey Gammage,Marshall,Sun Belt,receiving,YPR,14.9
4567545,Jayden Harrison,Marshall,Sun Belt,receiving,TD,1
4690013,Rasheen Ali,Marshall,Sun Belt,receiving,LONG,5
4431632,Caleb Coombs,Marshall,Sun Belt,receiving,REC,3
4684939,Bryan Robinson,Marshall,Sun Belt,receiving,LONG,15
4370348,Corey Gammage,Marshall,Sun Belt,receiving,REC,52
4261933,Devin Miller,Marshall,Sun Belt,receiving,LONG,20
4370358,Caleb McMillan,Marshall,Sun Belt,receiving,YPR,15.2
4370358,Caleb McMillan,Marshall,Sun Belt,receiving,REC,13
4869602,Toby Payne,Marshall,Sun Belt,receiving,LONG,15
4261933,Devin Miller,Marshall,Sun Belt,receiving,YDS,168
4370358,Caleb McMillan,Marshall,Sun Belt,receiving,YDS,198
5082548,A.J. Turner,Marshall,Sun Belt,receiving,YDS,21
4684939,Bryan Robinson,Marshall,Sun Belt,receiving,YDS,15
4608533,E.J. Horton,Marshall,Sun Belt,receiving,LONG,65
4690026,Shadeed Ahmed,Marshall,Sun Belt,receiving,TD,1
4431632,Caleb Coombs,Marshall,Sun Belt,receiving,YPR,6.7
4709672,Ethan Payne,Marshall,Sun Belt,receiving,LONG,15
4684939,Bryan Robinson,Marshall,Sun Belt,receiving,YPR,15.0
4370358,Caleb McMillan,Marshall,Sun Belt,receiving,LONG,78
5082548,A.J. Turner,Marshall,Sun Belt,receiving,YPR,5.3
4709672,Ethan Payne,Marshall,Sun Belt,receiving,REC,10
4261933,Devin Miller,Marshall,Sun Belt,receiving,REC,21
4686452,Stacey Marshall,Marshall,Sun Belt,receiving,YPR,6.0
5082548,A.J. Turner,Marshall,Sun Belt,receiving,REC,4
4880845,Charles Montgomery,Marshall,Sun Belt,receiving,TD,1
4608533,E.J. Horton,Marshall,Sun Belt,receiving,TD,1
4567545,Jayden Harrison,Marshall,Sun Belt,receiving,YPR,7.9
4240022,Khalan Laborn,Marshall,Sun Belt,receiving,YDS,116
4240022,Khalan Laborn,Marshall,Sun Belt,receiving,REC,16
4608533,E.J. Horton,Marshall,Sun Belt,receiving,YPR,15.5
4690026,Shadeed Ahmed,Marshall,Sun Belt,receiving,REC,16
4240022,Khalan Laborn,Marshall,Sun Belt,receiving,LONG,30
4567545,Jayden Harrison,Marshall,Sun Belt,receiving,LONG,28
4686452,Stacey Marshall,Marshall,Sun Belt,receiving,LONG,6
4880845,Charles Montgomery,Marshall,Sun Belt,receiving,REC,36
4709672,Ethan Payne,Marshall,Sun Belt,receiving,YDS,82
