playerId,player,team,conference,category,statType,stat
377686,Kevin Dorsey,Maryland,ACC,receiving,YPR,12.7
517304,Tyler Cierski,Maryland,ACC,receiving,YPR,5.0
480261,DJ Adams,Maryland,ACC,receiving,YPR,5.3
509946,Adrian Coxson,Maryland,ACC,receiving,LONG,55
501101,Devin Burns,Maryland,ACC,receiving,TD,0
382051,Davin Meggett,Maryland,ACC,receiving,TD,1
382051,Davin Meggett,Maryland,ACC,receiving,YPR,8.3
236794,Tony Logan,Maryland,ACC,receiving,YDS,68
517304,Tyler Cierski,Maryland,ACC,receiving,TD,1
382051,Davin Meggett,Maryland,ACC,receiving,LONG,17
517318,Marcus Leak,Maryland,ACC,receiving,TD,1
236794,Tony Logan,Maryland,ACC,receiving,LONG,22
377696,Matt Furstenburg,Maryland,ACC,receiving,REC,31
236794,Tony Logan,Maryland,ACC,receiving,YPR,7.6
377696,Matt Furstenburg,Maryland,ACC,receiving,LONG,40
377696,Matt Furstenburg,Maryland,ACC,receiving,TD,2
377686,Kevin Dorsey,Maryland,ACC,receiving,TD,3
377696,Matt Furstenburg,Maryland,ACC,receiving,YDS,348
382058,Kerry Boykins,Maryland,ACC,receiving,YPR,11.6
382058,Kerry Boykins,Maryland,ACC,receiving,REC,37
517318,Marcus Leak,Maryland,ACC,receiving,LONG,15
509946,Adrian Coxson,Maryland,ACC,receiving,YDS,90
480261,DJ Adams,Maryland,ACC,receiving,REC,3
517304,Tyler Cierski,Maryland,ACC,receiving,YDS,5
501122,Jeremiah Wilson,Maryland,ACC,receiving,TD,0
236796,Quintin McCree,Maryland,ACC,receiving,YDS,485
480261,DJ Adams,Maryland,ACC,receiving,YDS,16
236808,Ronnie Tyler,Maryland,ACC,receiving,REC,18
501122,Jeremiah Wilson,Maryland,ACC,receiving,YPR,3.0
517323,Justus Pickett,Maryland,ACC,receiving,YDS,49
377686,Kevin Dorsey,Maryland,ACC,receiving,LONG,59
236808,Ronnie Tyler,Maryland,ACC,receiving,TD,1
236774,Devonte Campbell,Maryland,ACC,receiving,YDS,56
517323,Justus Pickett,Maryland,ACC,receiving,REC,10
517323,Justus Pickett,Maryland,ACC,receiving,YPR,4.9
501122,Jeremiah Wilson,Maryland,ACC,receiving,LONG,3
377686,Kevin Dorsey,Maryland,ACC,receiving,REC,45
501101,Devin Burns,Maryland,ACC,receiving,YDS,17
517323,Justus Pickett,Maryland,ACC,receiving,LONG,31
501101,Devin Burns,Maryland,ACC,receiving,REC,1
236796,Quintin McCree,Maryland,ACC,receiving,LONG,69
236796,Quintin McCree,Maryland,ACC,receiving,TD,1
517318,Marcus Leak,Maryland,ACC,receiving,REC,12
517323,Justus Pickett,Maryland,ACC,receiving,TD,1
501122,Jeremiah Wilson,Maryland,ACC,receiving,YDS,3
382058,Kerry Boykins,Maryland,ACC,receiving,YDS,430
236794,Tony Logan,Maryland,ACC,receiving,TD,0
236796,Quintin McCree,Maryland,ACC,receiving,REC,40
517318,Marcus Leak,Maryland,ACC,receiving,YPR,7.1
236774,Devonte Campbell,Maryland,ACC,receiving,LONG,18
236774,Devonte Campbell,Maryland,ACC,receiving,TD,2
377686,Kevin Dorsey,Maryland,ACC,receiving,YDS,573
509946,Adrian Coxson,Maryland,ACC,receiving,TD,1
517304,Tyler Cierski,Maryland,ACC,receiving,LONG,5
236774,Devonte Campbell,Maryland,ACC,receiving,YPR,14.0
501122,Jeremiah Wilson,Maryland,ACC,receiving,REC,1
236774,Devonte Campbell,Maryland,ACC,receiving,REC,4
377696,Matt Furstenburg,Maryland,ACC,receiving,YPR,11.2
382058,Kerry Boykins,Maryland,ACC,receiving,LONG,35
236808,Ronnie Tyler,Maryland,ACC,receiving,YDS,158
236796,Quintin McCree,Maryland,ACC,receiving,YPR,12.1
236808,Ronnie Tyler,Maryland,ACC,receiving,LONG,17
509946,Adrian Coxson,Maryland,ACC,receiving,REC,4
382058,Kerry Boykins,Maryland,ACC,receiving,TD,0
517304,Tyler Cierski,Maryland,ACC,receiving,REC,1
501101,Devin Burns,Maryland,ACC,receiving,YPR,17.0
236808,Ronnie Tyler,Maryland,ACC,receiving,YPR,8.8
236794,Tony Logan,Maryland,ACC,receiving,REC,9
517318,Marcus Leak,Maryland,ACC,receiving,YDS,85
501101,Devin Burns,Maryland,ACC,receiving,LONG,17
480261,DJ Adams,Maryland,ACC,receiving,LONG,8
480261,DJ Adams,Maryland,ACC,receiving,TD,0
382051,Davin Meggett,Maryland,ACC,receiving,YDS,141
382051,Davin Meggett,Maryland,ACC,receiving,REC,17
509946,Adrian Coxson,Maryland,ACC,receiving,YPR,22.5
