playerId,player,team,conference,category,statType,stat
3126209,Roderick Proctor,Memphis,American Athletic,receiving,LONG,35
549623,Anthony Miller,Memphis,American Athletic,receiving,LONG,89
3126209,Roderick Proctor,Memphis,American Athletic,receiving,TD,0
549623,Anthony Miller,Memphis,American Athletic,receiving,REC,96
4064980,Damonte Coxie,Memphis,American Athletic,receiving,YPR,15.4
3916143,Kedarian Jones,Memphis,American Athletic,receiving,LONG,37
4064980,Damonte Coxie,Memphis,American Athletic,receiving,TD,3
549623,Anthony Miller,Memphis,American Athletic,receiving,YPR,15.2
3916143,Kedarian Jones,Memphis,American Athletic,receiving,YDS,152
3126227,Phil Mayhue,Memphis,American Athletic,receiving,REC,35
3126209,Roderick Proctor,Memphis,American Athletic,receiving,YDS,67
4039357,Sean Dykes,Memphis,American Athletic,receiving,YDS,346
3916148,Tony Pollard,Memphis,American Athletic,receiving,TD,4
549623,Anthony Miller,Memphis,American Athletic,receiving,YDS,1462
549512,Doroland Dorceus,Memphis,American Athletic,receiving,REC,4
4039359,Darrell Henderson,Memphis,American Athletic,receiving,TD,2
3126227,Phil Mayhue,Memphis,American Athletic,receiving,YDS,521
4039360,John Williams,Memphis,American Athletic,receiving,LONG,55
3916148,Tony Pollard,Memphis,American Athletic,receiving,REC,36
549512,Doroland Dorceus,Memphis,American Athletic,receiving,YPR,9.0
3916143,Kedarian Jones,Memphis,American Athletic,receiving,YPR,19.0
3916164,Mechane Slade,Memphis,American Athletic,receiving,YPR,9.9
549512,Doroland Dorceus,Memphis,American Athletic,receiving,YDS,36
3916161,Ross Burcham,Memphis,American Athletic,receiving,YDS,24
3126209,Roderick Proctor,Memphis,American Athletic,receiving,YPR,13.4
3916166,Joey Magnifico,Memphis,American Athletic,receiving,REC,21
3916148,Tony Pollard,Memphis,American Athletic,receiving,YPR,14.9
4064980,Damonte Coxie,Memphis,American Athletic,receiving,REC,21
4064980,Damonte Coxie,Memphis,American Athletic,receiving,YDS,323
3916148,Tony Pollard,Memphis,American Athletic,receiving,LONG,59
4039359,Darrell Henderson,Memphis,American Athletic,receiving,YPR,9.4
4039358,Patrick Taylor Jr.,Memphis,American Athletic,receiving,LONG,47
3916143,Kedarian Jones,Memphis,American Athletic,receiving,TD,1
3916143,Kedarian Jones,Memphis,American Athletic,receiving,REC,8
3126227,Phil Mayhue,Memphis,American Athletic,receiving,LONG,46
4039357,Sean Dykes,Memphis,American Athletic,receiving,LONG,63
3916166,Joey Magnifico,Memphis,American Athletic,receiving,TD,3
3916164,Mechane Slade,Memphis,American Athletic,receiving,YDS,89
4039358,Patrick Taylor Jr.,Memphis,American Athletic,receiving,REC,19
4039360,John Williams,Memphis,American Athletic,receiving,YPR,12.1
3126227,Phil Mayhue,Memphis,American Athletic,receiving,YPR,14.9
3916161,Ross Burcham,Memphis,American Athletic,receiving,LONG,13
4039358,Patrick Taylor Jr.,Memphis,American Athletic,receiving,TD,1
3916148,Tony Pollard,Memphis,American Athletic,receiving,YDS,536
3916166,Joey Magnifico,Memphis,American Athletic,receiving,LONG,25
3916164,Mechane Slade,Memphis,American Athletic,receiving,REC,9
4039357,Sean Dykes,Memphis,American Athletic,receiving,YPR,23.1
4039360,John Williams,Memphis,American Athletic,receiving,TD,0
4039358,Patrick Taylor Jr.,Memphis,American Athletic,receiving,YDS,148
3916161,Ross Burcham,Memphis,American Athletic,receiving,YPR,12.0
3916164,Mechane Slade,Memphis,American Athletic,receiving,LONG,19
3916166,Joey Magnifico,Memphis,American Athletic,receiving,YPR,13.3
4039359,Darrell Henderson,Memphis,American Athletic,receiving,REC,24
3126209,Roderick Proctor,Memphis,American Athletic,receiving,REC,5
4039359,Darrell Henderson,Memphis,American Athletic,receiving,LONG,45
549512,Doroland Dorceus,Memphis,American Athletic,receiving,TD,0
3916161,Ross Burcham,Memphis,American Athletic,receiving,REC,2
549623,Anthony Miller,Memphis,American Athletic,receiving,TD,18
3916164,Mechane Slade,Memphis,American Athletic,receiving,TD,1
4039357,Sean Dykes,Memphis,American Athletic,receiving,REC,15
4064980,Damonte Coxie,Memphis,American Athletic,receiving,LONG,61
3126227,Phil Mayhue,Memphis,American Athletic,receiving,TD,3
4039359,Darrell Henderson,Memphis,American Athletic,receiving,YDS,226
4039358,Patrick Taylor Jr.,Memphis,American Athletic,receiving,YPR,7.8
4039357,Sean Dykes,Memphis,American Athletic,receiving,TD,3
3916166,Joey Magnifico,Memphis,American Athletic,receiving,YDS,280
3916161,Ross Burcham,Memphis,American Athletic,receiving,TD,0
4039360,John Williams,Memphis,American Athletic,receiving,REC,12
4039360,John Williams,Memphis,American Athletic,receiving,YDS,145
549512,Doroland Dorceus,Memphis,American Athletic,receiving,LONG,27
