playerId,player,team,conference,category,statType,stat
4244314,Isaac Hampton,Miami (OH),Mid-American,receiving,LONG,0
4038995,Quentin Hardy,Miami (OH),Mid-American,receiving,TD,0
4244306,Jalen Walker,Miami (OH),Mid-American,receiving,REC,12
4038966,Jack Sorenson,Miami (OH),Mid-American,receiving,YDS,742
3125962,Kenny Young,Miami (OH),Mid-American,receiving,YPR,9.1
3915333,Luke Mayock,Miami (OH),Mid-American,receiving,LONG,28
3125973,Alonzo Smith,Miami (OH),Mid-American,receiving,REC,10
3915346,Maurice Thomas,Miami (OH),Mid-American,receiving,REC,13
4038966,Jack Sorenson,Miami (OH),Mid-American,receiving,REC,53
4244308,Davion Johnson,Miami (OH),Mid-American,receiving,LONG,6
4244314,Isaac Hampton,Miami (OH),Mid-American,receiving,YDS,-3
4244306,Jalen Walker,Miami (OH),Mid-American,receiving,YDS,140
3915346,Maurice Thomas,Miami (OH),Mid-American,receiving,TD,0
4038983,Andrew Homer,Miami (OH),Mid-American,receiving,TD,3
4038983,Andrew Homer,Miami (OH),Mid-American,receiving,REC,16
3915321,James Gardner,Miami (OH),Mid-American,receiving,YPR,13.1
4244300,Dominique Robinson,Miami (OH),Mid-American,receiving,LONG,26
3915346,Maurice Thomas,Miami (OH),Mid-American,receiving,YDS,34
4244300,Dominique Robinson,Miami (OH),Mid-American,receiving,YPR,12.0
4244304,Jaylon Bester,Miami (OH),Mid-American,receiving,REC,13
3915333,Luke Mayock,Miami (OH),Mid-American,receiving,YPR,14.5
4038966,Jack Sorenson,Miami (OH),Mid-American,receiving,YPR,14.0
4244304,Jaylon Bester,Miami (OH),Mid-American,receiving,LONG,20
3125999,Nate Becker,Miami (OH),Mid-American,receiving,TD,1
4244314,Isaac Hampton,Miami (OH),Mid-American,receiving,TD,0
3915321,James Gardner,Miami (OH),Mid-American,receiving,LONG,24
4244306,Jalen Walker,Miami (OH),Mid-American,receiving,LONG,33
4244308,Davion Johnson,Miami (OH),Mid-American,receiving,TD,0
4038983,Andrew Homer,Miami (OH),Mid-American,receiving,YPR,14.4
3125973,Alonzo Smith,Miami (OH),Mid-American,receiving,YDS,69
3125962,Kenny Young,Miami (OH),Mid-American,receiving,REC,42
4244314,Isaac Hampton,Miami (OH),Mid-American,receiving,YPR,-3.0
3125973,Alonzo Smith,Miami (OH),Mid-American,receiving,TD,0
4038995,Quentin Hardy,Miami (OH),Mid-American,receiving,YPR,9.8
4038966,Jack Sorenson,Miami (OH),Mid-American,receiving,TD,2
4038995,Quentin Hardy,Miami (OH),Mid-American,receiving,REC,5
3915321,James Gardner,Miami (OH),Mid-American,receiving,TD,0
3915321,James Gardner,Miami (OH),Mid-American,receiving,YDS,157
4244314,Isaac Hampton,Miami (OH),Mid-American,receiving,REC,1
4038983,Andrew Homer,Miami (OH),Mid-American,receiving,YDS,231
4244306,Jalen Walker,Miami (OH),Mid-American,receiving,YPR,11.7
4244304,Jaylon Bester,Miami (OH),Mid-American,receiving,YPR,7.9
4038966,Jack Sorenson,Miami (OH),Mid-American,receiving,LONG,54
3125973,Alonzo Smith,Miami (OH),Mid-American,receiving,LONG,14
3125973,Alonzo Smith,Miami (OH),Mid-American,receiving,YPR,6.9
4244304,Jaylon Bester,Miami (OH),Mid-American,receiving,TD,0
3125999,Nate Becker,Miami (OH),Mid-American,receiving,REC,14
3915333,Luke Mayock,Miami (OH),Mid-American,receiving,YDS,319
3915333,Luke Mayock,Miami (OH),Mid-American,receiving,TD,3
3915346,Maurice Thomas,Miami (OH),Mid-American,receiving,LONG,15
3125999,Nate Becker,Miami (OH),Mid-American,receiving,LONG,29
4244304,Jaylon Bester,Miami (OH),Mid-American,receiving,YDS,103
4244300,Dominique Robinson,Miami (OH),Mid-American,receiving,TD,4
3125999,Nate Becker,Miami (OH),Mid-American,receiving,YPR,13.1
3125962,Kenny Young,Miami (OH),Mid-American,receiving,LONG,59
4038995,Quentin Hardy,Miami (OH),Mid-American,receiving,LONG,25
3125999,Nate Becker,Miami (OH),Mid-American,receiving,YDS,183
4244308,Davion Johnson,Miami (OH),Mid-American,receiving,YPR,4.5
4244308,Davion Johnson,Miami (OH),Mid-American,receiving,REC,2
3915346,Maurice Thomas,Miami (OH),Mid-American,receiving,YPR,2.6
4038983,Andrew Homer,Miami (OH),Mid-American,receiving,LONG,33
4244306,Jalen Walker,Miami (OH),Mid-American,receiving,TD,0
3915321,James Gardner,Miami (OH),Mid-American,receiving,REC,12
4244300,Dominique Robinson,Miami (OH),Mid-American,receiving,YDS,156
4038995,Quentin Hardy,Miami (OH),Mid-American,receiving,YDS,49
4244308,Davion Johnson,Miami (OH),Mid-American,receiving,YDS,9
4244300,Dominique Robinson,Miami (OH),Mid-American,receiving,REC,13
3125962,Kenny Young,Miami (OH),Mid-American,receiving,YDS,384
3125962,Kenny Young,Miami (OH),Mid-American,receiving,TD,4
3915333,Luke Mayock,Miami (OH),Mid-American,receiving,REC,22
