playerId,player,team,conference,category,statType,stat
4432702,Thad Franklin,Miami,ACC,receiving,LONG,12
4431353,Xavier Restrepo,Miami,ACC,receiving,REC,21
4432702,Thad Franklin,Miami,ACC,receiving,YPR,8.2
4678006,Elijah Arroyo,Miami,ACC,receiving,REC,5
4431353,Xavier Restrepo,Miami,ACC,receiving,TD,2
4429043,Jaylan Knighton,Miami,ACC,receiving,TD,0
4431197,Romello Brinson,Miami,ACC,receiving,REC,7
4567784,Jacolby George,Miami,ACC,receiving,YPR,10.0
4431353,Xavier Restrepo,Miami,ACC,receiving,YPR,11.4
5092508,Colbie Young,Miami,ACC,receiving,TD,5
4431310,Henry Parrish Jr.,Miami,ACC,receiving,LONG,15
4430308,Dominic Mammarelli,Miami,ACC,receiving,LONG,-2
4432666,Kahlil Brantley,Miami,ACC,receiving,TD,1
4431310,Henry Parrish Jr.,Miami,ACC,receiving,YDS,122
4431197,Romello Brinson,Miami,ACC,receiving,YPR,14.1
4685560,Jaleel Skinner,Miami,ACC,receiving,YDS,129
4607419,Keyshawn Smith,Miami,ACC,receiving,REC,13
4685383,Isaiah Horton,Miami,ACC,receiving,TD,0
4567784,Jacolby George,Miami,ACC,receiving,LONG,24
5092508,Colbie Young,Miami,ACC,receiving,YPR,11.8
4678006,Elijah Arroyo,Miami,ACC,receiving,TD,0
4685560,Jaleel Skinner,Miami,ACC,receiving,TD,1
4596602,Brashard Smith,Miami,ACC,receiving,REC,33
4426343,Frank Ladson Jr.,Miami,ACC,receiving,TD,1
4685188,Michael Redding III,Miami,ACC,receiving,REC,15
4426343,Frank Ladson Jr.,Miami,ACC,receiving,YPR,11.0
4431197,Romello Brinson,Miami,ACC,receiving,TD,0
4432666,Kahlil Brantley,Miami,ACC,receiving,LONG,8
4430308,Dominic Mammarelli,Miami,ACC,receiving,REC,1
4685291,Jacurri Brown,Miami,ACC,receiving,REC,1
4362523,Will Mallory,Miami,ACC,receiving,TD,3
4431197,Romello Brinson,Miami,ACC,receiving,LONG,58
5092508,Colbie Young,Miami,ACC,receiving,REC,32
4607419,Keyshawn Smith,Miami,ACC,receiving,YDS,199
4567784,Jacolby George,Miami,ACC,receiving,REC,13
4685188,Michael Redding III,Miami,ACC,receiving,YPR,14.5
4429043,Jaylan Knighton,Miami,ACC,receiving,LONG,41
4607419,Keyshawn Smith,Miami,ACC,receiving,TD,2
4426343,Frank Ladson Jr.,Miami,ACC,receiving,REC,27
4678006,Elijah Arroyo,Miami,ACC,receiving,YDS,66
4431197,Romello Brinson,Miami,ACC,receiving,YDS,99
4432666,Kahlil Brantley,Miami,ACC,receiving,YDS,21
4431353,Xavier Restrepo,Miami,ACC,receiving,YDS,240
4429043,Jaylan Knighton,Miami,ACC,receiving,YPR,9.1
4685560,Jaleel Skinner,Miami,ACC,receiving,LONG,30
4567784,Jacolby George,Miami,ACC,receiving,YDS,130
4685188,Michael Redding III,Miami,ACC,receiving,YDS,217
4685291,Jacurri Brown,Miami,ACC,receiving,TD,0
4685188,Michael Redding III,Miami,ACC,receiving,TD,1
4432666,Kahlil Brantley,Miami,ACC,receiving,REC,4
4430308,Dominic Mammarelli,Miami,ACC,receiving,YDS,-2
4429043,Jaylan Knighton,Miami,ACC,receiving,REC,9
4430308,Dominic Mammarelli,Miami,ACC,receiving,TD,0
4678006,Elijah Arroyo,Miami,ACC,receiving,LONG,29
4685291,Jacurri Brown,Miami,ACC,receiving,YPR,9.0
4685383,Isaiah Horton,Miami,ACC,receiving,YDS,6
4426343,Frank Ladson Jr.,Miami,ACC,receiving,YDS,298
4362523,Will Mallory,Miami,ACC,receiving,REC,42
4685188,Michael Redding III,Miami,ACC,receiving,LONG,34
4607419,Keyshawn Smith,Miami,ACC,receiving,LONG,39
4432702,Thad Franklin,Miami,ACC,receiving,YDS,41
4431310,Henry Parrish Jr.,Miami,ACC,receiving,REC,18
4596602,Brashard Smith,Miami,ACC,receiving,TD,0
4432666,Kahlil Brantley,Miami,ACC,receiving,YPR,5.3
4362523,Will Mallory,Miami,ACC,receiving,YPR,12.8
4596602,Brashard Smith,Miami,ACC,receiving,YPR,9.3
4685383,Isaiah Horton,Miami,ACC,receiving,LONG,6
4685291,Jacurri Brown,Miami,ACC,receiving,LONG,9
4431353,Xavier Restrepo,Miami,ACC,receiving,LONG,52
4429043,Jaylan Knighton,Miami,ACC,receiving,YDS,82
4685383,Isaiah Horton,Miami,ACC,receiving,YPR,6.0
4431310,Henry Parrish Jr.,Miami,ACC,receiving,YPR,6.8
5092508,Colbie Young,Miami,ACC,receiving,LONG,71
