playerId,player,team,conference,category,statType,stat
3134678,Madre London,Michigan State,Big Ten,receiving,YPR,15.0
4046715,Trishton Jackson,Michigan State,Big Ten,receiving,TD,1
535580,Josiah Price,Michigan State,Big Ten,receiving,LONG,26
550476,R.J. Shelton,Michigan State,Big Ten,receiving,YPR,14.9
4046720,Prescott Line,Michigan State,Big Ten,receiving,YPR,6.0
3929831,Darrell Stewart Jr.,Michigan State,Big Ten,receiving,LONG,16
3929817,Felton Davis III,Michigan State,Big Ten,receiving,YDS,150
4046715,Trishton Jackson,Michigan State,Big Ten,receiving,YPR,17.8
4046720,Prescott Line,Michigan State,Big Ten,receiving,YDS,18
3121378,Matt Sokol,Michigan State,Big Ten,receiving,REC,2
535870,Jamal Lyles,Michigan State,Big Ten,receiving,YDS,145
4036509,Donnie Corley,Michigan State,Big Ten,receiving,REC,33
3134678,Madre London,Michigan State,Big Ten,receiving,REC,1
550476,R.J. Shelton,Michigan State,Big Ten,receiving,TD,5
3929817,Felton Davis III,Michigan State,Big Ten,receiving,YPR,12.5
3121378,Matt Sokol,Michigan State,Big Ten,receiving,YPR,13.0
535870,Jamal Lyles,Michigan State,Big Ten,receiving,TD,1
4046720,Prescott Line,Michigan State,Big Ten,receiving,REC,3
550477,Damion Terry,Michigan State,Big Ten,receiving,YPR,15.0
535872,Monty Madaris,Michigan State,Big Ten,receiving,LONG,33
550468,Gerald Holmes,Michigan State,Big Ten,receiving,LONG,9
535872,Monty Madaris,Michigan State,Big Ten,receiving,YPR,12.9
3121378,Matt Sokol,Michigan State,Big Ten,receiving,YDS,26
550468,Gerald Holmes,Michigan State,Big Ten,receiving,TD,0
3929831,Darrell Stewart Jr.,Michigan State,Big Ten,receiving,YPR,9.7
4036509,Donnie Corley,Michigan State,Big Ten,receiving,LONG,47
3929828,LJ Scott,Michigan State,Big Ten,receiving,YPR,14.7
550478,Delton Williams,Michigan State,Big Ten,receiving,LONG,24
3121378,Matt Sokol,Michigan State,Big Ten,receiving,LONG,16
3929817,Felton Davis III,Michigan State,Big Ten,receiving,REC,12
550476,R.J. Shelton,Michigan State,Big Ten,receiving,LONG,86
3929831,Darrell Stewart Jr.,Michigan State,Big Ten,receiving,YDS,29
550478,Delton Williams,Michigan State,Big Ten,receiving,YDS,47
550477,Damion Terry,Michigan State,Big Ten,receiving,YDS,15
535872,Monty Madaris,Michigan State,Big Ten,receiving,TD,1
3929831,Darrell Stewart Jr.,Michigan State,Big Ten,receiving,REC,3
550468,Gerald Holmes,Michigan State,Big Ten,receiving,YDS,48
535870,Jamal Lyles,Michigan State,Big Ten,receiving,LONG,24
4036509,Donnie Corley,Michigan State,Big Ten,receiving,YPR,13.7
550478,Delton Williams,Michigan State,Big Ten,receiving,TD,1
550476,R.J. Shelton,Michigan State,Big Ten,receiving,YDS,789
550468,Gerald Holmes,Michigan State,Big Ten,receiving,REC,11
535580,Josiah Price,Michigan State,Big Ten,receiving,YDS,387
3929828,LJ Scott,Michigan State,Big Ten,receiving,LONG,64
3929831,Darrell Stewart Jr.,Michigan State,Big Ten,receiving,TD,0
3929828,LJ Scott,Michigan State,Big Ten,receiving,TD,1
535872,Monty Madaris,Michigan State,Big Ten,receiving,REC,24
4046720,Prescott Line,Michigan State,Big Ten,receiving,TD,0
3134678,Madre London,Michigan State,Big Ten,receiving,TD,0
4046715,Trishton Jackson,Michigan State,Big Ten,receiving,YDS,89
550476,R.J. Shelton,Michigan State,Big Ten,receiving,REC,53
3134678,Madre London,Michigan State,Big Ten,receiving,YDS,15
3929828,LJ Scott,Michigan State,Big Ten,receiving,REC,10
3929828,LJ Scott,Michigan State,Big Ten,receiving,YDS,147
535870,Jamal Lyles,Michigan State,Big Ten,receiving,REC,12
535580,Josiah Price,Michigan State,Big Ten,receiving,TD,5
535870,Jamal Lyles,Michigan State,Big Ten,receiving,YPR,12.1
3134678,Madre London,Michigan State,Big Ten,receiving,LONG,15
550477,Damion Terry,Michigan State,Big Ten,receiving,LONG,15
535872,Monty Madaris,Michigan State,Big Ten,receiving,YDS,310
3121378,Matt Sokol,Michigan State,Big Ten,receiving,TD,0
4046715,Trishton Jackson,Michigan State,Big Ten,receiving,REC,5
4036509,Donnie Corley,Michigan State,Big Ten,receiving,TD,3
3929817,Felton Davis III,Michigan State,Big Ten,receiving,TD,1
4046715,Trishton Jackson,Michigan State,Big Ten,receiving,LONG,50
4036509,Donnie Corley,Michigan State,Big Ten,receiving,YDS,453
535580,Josiah Price,Michigan State,Big Ten,receiving,REC,38
4046720,Prescott Line,Michigan State,Big Ten,receiving,LONG,12
550477,Damion Terry,Michigan State,Big Ten,receiving,TD,0
3929817,Felton Davis III,Michigan State,Big Ten,receiving,LONG,28
550468,Gerald Holmes,Michigan State,Big Ten,receiving,YPR,4.4
535580,Josiah Price,Michigan State,Big Ten,receiving,YPR,10.2
550477,Damion Terry,Michigan State,Big Ten,receiving,REC,1
550478,Delton Williams,Michigan State,Big Ten,receiving,YPR,15.7
550478,Delton Williams,Michigan State,Big Ten,receiving,REC,3
