playerId,player,team,conference,category,statType,stat
4431492,Roman Wilson,Michigan,Big Ten,receiving,YDS,420
4426479,Cornelius Johnson,Michigan,Big Ten,receiving,YDS,627
4372071,Hassan Haskins,Michigan,Big Ten,receiving,YPR,7.3
4431536,Donovan Edwards,Michigan,Big Ten,receiving,YPR,13.3
4372071,Hassan Haskins,Michigan,Big Ten,receiving,LONG,20
4572041,Danny Hughes,Michigan,Big Ten,receiving,YDS,3
4372096,Luke Schoonmaker,Michigan,Big Ten,receiving,REC,17
4690300,Will Rolapp,Michigan,Big Ten,receiving,YDS,26
4372071,Hassan Haskins,Michigan,Big Ten,receiving,TD,0
4428414,Mike Sainristil,Michigan,Big Ten,receiving,YPR,14.5
4429053,A.J. Henning,Michigan,Big Ten,receiving,YDS,79
4587701,Andrel Anthony Jr.,Michigan,Big Ten,receiving,TD,3
4258180,Joel Honigford,Michigan,Big Ten,receiving,TD,0
4690300,Will Rolapp,Michigan,Big Ten,receiving,TD,0
4262900,Daylen Baldwin,Michigan,Big Ten,receiving,LONG,69
4431256,Cristian Dixon,Michigan,Big Ten,receiving,REC,1
4428414,Mike Sainristil,Michigan,Big Ten,receiving,YDS,305
4431492,Roman Wilson,Michigan,Big Ten,receiving,REC,25
4372096,Luke Schoonmaker,Michigan,Big Ten,receiving,LONG,27
4427834,Erick All,Michigan,Big Ten,receiving,YPR,11.5
4431492,Roman Wilson,Michigan,Big Ten,receiving,LONG,75
4690300,Will Rolapp,Michigan,Big Ten,receiving,REC,1
4372096,Luke Schoonmaker,Michigan,Big Ten,receiving,YDS,165
4426479,Cornelius Johnson,Michigan,Big Ten,receiving,LONG,87
4262900,Daylen Baldwin,Michigan,Big Ten,receiving,YDS,256
4372063,Ronnie Bell,Michigan,Big Ten,receiving,LONG,76
4427834,Erick All,Michigan,Big Ten,receiving,LONG,47
4258180,Joel Honigford,Michigan,Big Ten,receiving,YDS,10
4429096,Blake Corum,Michigan,Big Ten,receiving,TD,1
4372063,Ronnie Bell,Michigan,Big Ten,receiving,YPR,76.0
4431536,Donovan Edwards,Michigan,Big Ten,receiving,YDS,265
4427834,Erick All,Michigan,Big Ten,receiving,TD,2
4587701,Andrel Anthony Jr.,Michigan,Big Ten,receiving,REC,12
4428414,Mike Sainristil,Michigan,Big Ten,receiving,REC,21
4258180,Joel Honigford,Michigan,Big Ten,receiving,YPR,10.0
4572041,Danny Hughes,Michigan,Big Ten,receiving,LONG,3
4258201,Carter Selzer,Michigan,Big Ten,receiving,YDS,6
4258180,Joel Honigford,Michigan,Big Ten,receiving,LONG,10
4429096,Blake Corum,Michigan,Big Ten,receiving,YPR,5.9
4429053,A.J. Henning,Michigan,Big Ten,receiving,LONG,24
4427834,Erick All,Michigan,Big Ten,receiving,REC,38
4262900,Daylen Baldwin,Michigan,Big Ten,receiving,TD,2
4431256,Cristian Dixon,Michigan,Big Ten,receiving,YPR,7.0
4426479,Cornelius Johnson,Michigan,Big Ten,receiving,YPR,15.7
