playerId,player,team,conference,category,statType,stat
545699,Lucas Hamilton,Middle Tennessee,Conference USA,receiving,YPR,2.0
531594,Jordan Parker,Middle Tennessee,Conference USA,receiving,LONG,20
531609,Terry Pettis,Middle Tennessee,Conference USA,receiving,REC,29
3914438,Derek Barnes,Middle Tennessee,Conference USA,receiving,YDS,84
3122899,Richie James,Middle Tennessee,Conference USA,receiving,LONG,69
545681,Shane Tucker,Middle Tennessee,Conference USA,receiving,LONG,33
3122905,Ty Clemons,Middle Tennessee,Conference USA,receiving,YDS,2
531594,Jordan Parker,Middle Tennessee,Conference USA,receiving,TD,0
3914436,Desmond Anderson,Middle Tennessee,Conference USA,receiving,YPR,42.0
531609,Terry Pettis,Middle Tennessee,Conference USA,receiving,YPR,21.1
531609,Terry Pettis,Middle Tennessee,Conference USA,receiving,YDS,612
545681,Shane Tucker,Middle Tennessee,Conference USA,receiving,REC,16
3914438,Derek Barnes,Middle Tennessee,Conference USA,receiving,YPR,10.5
517528,Jeremiah Bryson,Middle Tennessee,Conference USA,receiving,LONG,3
3914438,Derek Barnes,Middle Tennessee,Conference USA,receiving,LONG,24
517528,Jeremiah Bryson,Middle Tennessee,Conference USA,receiving,TD,0
3122898,Sean Smith,Middle Tennessee,Conference USA,receiving,REC,2
3914435,Rod Ducksworth,Middle Tennessee,Conference USA,receiving,YDS,159
3122900,Tyler Barron,Middle Tennessee,Conference USA,receiving,TD,0
512380,Christian Collis,Middle Tennessee,Conference USA,receiving,LONG,32
545681,Shane Tucker,Middle Tennessee,Conference USA,receiving,YPR,8.3
549842,Tristan Walker,Middle Tennessee,Conference USA,receiving,LONG,10
531594,Jordan Parker,Middle Tennessee,Conference USA,receiving,YPR,4.5
545695,Ed'Marques Batties,Middle Tennessee,Conference USA,receiving,YDS,1048
3914436,Desmond Anderson,Middle Tennessee,Conference USA,receiving,LONG,42
3914436,Desmond Anderson,Middle Tennessee,Conference USA,receiving,YDS,42
517528,Jeremiah Bryson,Middle Tennessee,Conference USA,receiving,YDS,1
3122905,Ty Clemons,Middle Tennessee,Conference USA,receiving,YPR,2.0
531589,Austin Grammer,Middle Tennessee,Conference USA,receiving,YPR,12.3
3914436,Desmond Anderson,Middle Tennessee,Conference USA,receiving,REC,1
