playerId,player,team,conference,category,statType,stat
4240760,Jake Paulson,Minnesota,Big Ten,receiving,TD,0
4360967,Brevyn Spann-Ford,Minnesota,Big Ten,receiving,TD,1
4034772,Seth Green,Minnesota,Big Ten,receiving,REC,1
3728271,Bryce Witham,Minnesota,Big Ten,receiving,YPR,6.0
4360939,Rashod Bateman,Minnesota,Big Ten,receiving,TD,11
4360943,Bryce Williams,Minnesota,Big Ten,receiving,TD,0
4240775,Harry Van Dyne,Minnesota,Big Ten,receiving,REC,1
4428858,Cam Wiley,Minnesota,Big Ten,receiving,LONG,0
4360943,Bryce Williams,Minnesota,Big Ten,receiving,YPR,10.0
4360943,Bryce Williams,Minnesota,Big Ten,receiving,LONG,10
246044,Tyler Johnson,Minnesota,Big Ten,receiving,REC,86
4034772,Seth Green,Minnesota,Big Ten,receiving,LONG,8
3116074,Rodney Smith,Minnesota,Big Ten,receiving,YDS,70
4360939,Rashod Bateman,Minnesota,Big Ten,receiving,YDS,1219
4240750,Mohamed Ibrahim,Minnesota,Big Ten,receiving,YPR,4.3
4360943,Bryce Williams,Minnesota,Big Ten,receiving,YDS,10
246044,Tyler Johnson,Minnesota,Big Ten,receiving,LONG,73
4360967,Brevyn Spann-Ford,Minnesota,Big Ten,receiving,REC,4
3116074,Rodney Smith,Minnesota,Big Ten,receiving,TD,0
4360967,Brevyn Spann-Ford,Minnesota,Big Ten,receiving,YDS,25
4240760,Jake Paulson,Minnesota,Big Ten,receiving,REC,4
4360943,Bryce Williams,Minnesota,Big Ten,receiving,REC,1
4428858,Cam Wiley,Minnesota,Big Ten,receiving,YPR,0.0
4240735,Chris Autman-Bell,Minnesota,Big Ten,receiving,REC,28
246044,Tyler Johnson,Minnesota,Big Ten,receiving,YPR,15.3
4240775,Harry Van Dyne,Minnesota,Big Ten,receiving,TD,0
4240735,Chris Autman-Bell,Minnesota,Big Ten,receiving,LONG,70
3116074,Rodney Smith,Minnesota,Big Ten,receiving,YPR,10.0
4240735,Chris Autman-Bell,Minnesota,Big Ten,receiving,TD,5
3116074,Rodney Smith,Minnesota,Big Ten,receiving,REC,7
3728271,Bryce Witham,Minnesota,Big Ten,receiving,LONG,11
3728271,Bryce Witham,Minnesota,Big Ten,receiving,TD,1
3116074,Rodney Smith,Minnesota,Big Ten,receiving,LONG,20
4360939,Rashod Bateman,Minnesota,Big Ten,receiving,YPR,20.3
4240735,Chris Autman-Bell,Minnesota,Big Ten,receiving,YPR,13.3
4240742,Demetrius Douglas,Minnesota,Big Ten,receiving,YDS,157
4240760,Jake Paulson,Minnesota,Big Ten,receiving,YPR,12.8
246044,Tyler Johnson,Minnesota,Big Ten,receiving,TD,13
4240742,Demetrius Douglas,Minnesota,Big Ten,receiving,REC,14
4428858,Cam Wiley,Minnesota,Big Ten,receiving,YDS,0
4360939,Rashod Bateman,Minnesota,Big Ten,receiving,REC,60
4240775,Harry Van Dyne,Minnesota,Big Ten,receiving,YDS,39
3728271,Bryce Witham,Minnesota,Big Ten,receiving,YDS,12
4240750,Mohamed Ibrahim,Minnesota,Big Ten,receiving,REC,3
4240742,Demetrius Douglas,Minnesota,Big Ten,receiving,TD,0
4034772,Seth Green,Minnesota,Big Ten,receiving,TD,0
4240750,Mohamed Ibrahim,Minnesota,Big Ten,receiving,LONG,15
4240735,Chris Autman-Bell,Minnesota,Big Ten,receiving,YDS,371
4034772,Seth Green,Minnesota,Big Ten,receiving,YDS,8
4360967,Brevyn Spann-Ford,Minnesota,Big Ten,receiving,LONG,13
4240760,Jake Paulson,Minnesota,Big Ten,receiving,YDS,51
4034772,Seth Green,Minnesota,Big Ten,receiving,YPR,8.0
4428858,Cam Wiley,Minnesota,Big Ten,receiving,REC,1
4240750,Mohamed Ibrahim,Minnesota,Big Ten,receiving,TD,0
3728271,Bryce Witham,Minnesota,Big Ten,receiving,REC,2
4360967,Brevyn Spann-Ford,Minnesota,Big Ten,receiving,YPR,6.3
4428858,Cam Wiley,Minnesota,Big Ten,receiving,TD,0
4240775,Harry Van Dyne,Minnesota,Big Ten,receiving,LONG,39
4240742,Demetrius Douglas,Minnesota,Big Ten,receiving,LONG,29
4360939,Rashod Bateman,Minnesota,Big Ten,receiving,LONG,66
246044,Tyler Johnson,Minnesota,Big Ten,receiving,YDS,1318
4240775,Harry Van Dyne,Minnesota,Big Ten,receiving,YPR,39.0
4240760,Jake Paulson,Minnesota,Big Ten,receiving,LONG,24
4240742,Demetrius Douglas,Minnesota,Big Ten,receiving,YPR,11.2
4240750,Mohamed Ibrahim,Minnesota,Big Ten,receiving,YDS,13
