playerId,player,team,conference,category,statType,stat
4689336,Caleb Ducking,Mississippi State,SEC,receiving,REC,9
4245147,Jamire Calvin,Mississippi State,SEC,receiving,TD,3
4689352,Brodie King,Mississippi State,SEC,receiving,REC,2
4429153,Lideatrick Griffin,Mississippi State,SEC,receiving,REC,26
4689338,Dillon Johnson,Mississippi State,SEC,receiving,YDS,422
4566196,Will Rogers,Mississippi State,SEC,receiving,REC,1
4689334,Malik Heath,Mississippi State,SEC,receiving,TD,5
4429153,Lideatrick Griffin,Mississippi State,SEC,receiving,LONG,32
4689340,J.J. Jernighan,Mississippi State,SEC,receiving,TD,0
4689336,Caleb Ducking,Mississippi State,SEC,receiving,YPR,9.2
4689351,Carson Banks,Mississippi State,SEC,receiving,TD,0
4689340,J.J. Jernighan,Mississippi State,SEC,receiving,LONG,15
4566196,Will Rogers,Mississippi State,SEC,receiving,TD,0
4697844,Rara Thomas,Mississippi State,SEC,receiving,REC,18
4242248,Austin Williams,Mississippi State,SEC,receiving,TD,4
4689340,J.J. Jernighan,Mississippi State,SEC,receiving,REC,12
4578654,Jaden Walley,Mississippi State,SEC,receiving,YPR,11.4
4689352,Brodie King,Mississippi State,SEC,receiving,YPR,2.5
4430325,Makai Polk,Mississippi State,SEC,receiving,YDS,1046
4566196,Will Rogers,Mississippi State,SEC,receiving,YDS,-4
4578654,Jaden Walley,Mississippi State,SEC,receiving,TD,6
4689336,Caleb Ducking,Mississippi State,SEC,receiving,TD,0
4689334,Malik Heath,Mississippi State,SEC,receiving,LONG,56
4612266,Rufus Harvey,Mississippi State,SEC,receiving,REC,5
4689342,Omni Wells,Mississippi State,SEC,receiving,REC,2
4566196,Will Rogers,Mississippi State,SEC,receiving,YPR,-4.0
4245147,Jamire Calvin,Mississippi State,SEC,receiving,YPR,7.6
4612266,Rufus Harvey,Mississippi State,SEC,receiving,LONG,11
4429059,Jo'quavious Marks,Mississippi State,SEC,receiving,LONG,21
4612266,Rufus Harvey,Mississippi State,SEC,receiving,YDS,39
4430325,Makai Polk,Mississippi State,SEC,receiving,TD,9
4689352,Brodie King,Mississippi State,SEC,receiving,YDS,5
4242248,Austin Williams,Mississippi State,SEC,receiving,YDS,617
4430325,Makai Polk,Mississippi State,SEC,receiving,YPR,10.0
4689338,Dillon Johnson,Mississippi State,SEC,receiving,YPR,6.5
4429059,Jo'quavious Marks,Mississippi State,SEC,receiving,YDS,502
4566196,Will Rogers,Mississippi State,SEC,receiving,LONG,0
4242248,Austin Williams,Mississippi State,SEC,receiving,LONG,34
4689342,Omni Wells,Mississippi State,SEC,receiving,YDS,43
4689338,Dillon Johnson,Mississippi State,SEC,receiving,TD,1
4689336,Caleb Ducking,Mississippi State,SEC,receiving,LONG,18
4689339,Christian Forde,Mississippi State,SEC,receiving,YDS,247
4689342,Omni Wells,Mississippi State,SEC,receiving,LONG,40
4245147,Jamire Calvin,Mississippi State,SEC,receiving,LONG,40
4429153,Lideatrick Griffin,Mississippi State,SEC,receiving,YPR,10.3
4689340,J.J. Jernighan,Mississippi State,SEC,receiving,YDS,84
4578654,Jaden Walley,Mississippi State,SEC,receiving,YDS,628
4689338,Dillon Johnson,Mississippi State,SEC,receiving,LONG,26
4689339,Christian Forde,Mississippi State,SEC,receiving,TD,0
4697844,Rara Thomas,Mississippi State,SEC,receiving,YPR,14.0
4689334,Malik Heath,Mississippi State,SEC,receiving,YPR,13.0
4429153,Lideatrick Griffin,Mississippi State,SEC,receiving,TD,0
4689352,Brodie King,Mississippi State,SEC,receiving,LONG,5
4689351,Carson Banks,Mississippi State,SEC,receiving,YDS,23
4697844,Rara Thomas,Mississippi State,SEC,receiving,TD,5
4689351,Carson Banks,Mississippi State,SEC,receiving,REC,1
4429059,Jo'quavious Marks,Mississippi State,SEC,receiving,REC,83
4430325,Makai Polk,Mississippi State,SEC,receiving,LONG,50
4578654,Jaden Walley,Mississippi State,SEC,receiving,LONG,29
4689339,Christian Forde,Mississippi State,SEC,receiving,REC,19
4242248,Austin Williams,Mississippi State,SEC,receiving,YPR,11.9
4689334,Malik Heath,Mississippi State,SEC,receiving,REC,34
4612266,Rufus Harvey,Mississippi State,SEC,receiving,TD,1
4689339,Christian Forde,Mississippi State,SEC,receiving,YPR,13.0
4689352,Brodie King,Mississippi State,SEC,receiving,TD,0
4689340,J.J. Jernighan,Mississippi State,SEC,receiving,YPR,7.0
4612266,Rufus Harvey,Mississippi State,SEC,receiving,YPR,7.8
4429059,Jo'quavious Marks,Mississippi State,SEC,receiving,YPR,6.0
4242248,Austin Williams,Mississippi State,SEC,receiving,REC,52
4689351,Carson Banks,Mississippi State,SEC,receiving,YPR,23.0
4697844,Rara Thomas,Mississippi State,SEC,receiving,LONG,37
4697844,Rara Thomas,Mississippi State,SEC,receiving,YDS,252
4430325,Makai Polk,Mississippi State,SEC,receiving,REC,105
4689342,Omni Wells,Mississippi State,SEC,receiving,TD,0
4245147,Jamire Calvin,Mississippi State,SEC,receiving,YDS,220
4578654,Jaden Walley,Mississippi State,SEC,receiving,REC,55
4689342,Omni Wells,Mississippi State,SEC,receiving,YPR,21.5
4689339,Christian Forde,Mississippi State,SEC,receiving,LONG,29
4689336,Caleb Ducking,Mississippi State,SEC,receiving,YDS,83
4689351,Carson Banks,Mississippi State,SEC,receiving,LONG,23
4245147,Jamire Calvin,Mississippi State,SEC,receiving,REC,29
4429059,Jo'quavious Marks,Mississippi State,SEC,receiving,TD,3
4689334,Malik Heath,Mississippi State,SEC,receiving,YDS,442
4429153,Lideatrick Griffin,Mississippi State,SEC,receiving,YDS,269
4689338,Dillon Johnson,Mississippi State,SEC,receiving,REC,65
