playerId,player,team,conference,category,statType,stat
4035115,Albert Okwuegbunam,Missouri,SEC,receiving,LONG,36
3924325,Johnathon Johnson,Missouri,SEC,receiving,LONG,29
4362749,Kam Scott,Missouri,SEC,receiving,REC,17
4241205,Larry Rountree III,Missouri,SEC,receiving,REC,13
4259800,Barrett Banister,Missouri,SEC,receiving,TD,1
4381248,Tauskie Dove,Missouri,SEC,receiving,TD,0
4241205,Larry Rountree III,Missouri,SEC,receiving,TD,0
4362749,Kam Scott,Missouri,SEC,receiving,YPR,19.3
4381248,Tauskie Dove,Missouri,SEC,receiving,YDS,48
4362753,Dominic Gicinto,Missouri,SEC,receiving,REC,4
4362753,Dominic Gicinto,Missouri,SEC,receiving,YPR,15.3
4362763,Daniel Parker,Missouri,SEC,receiving,YDS,140
4381248,Tauskie Dove,Missouri,SEC,receiving,YPR,24.0
4381248,Tauskie Dove,Missouri,SEC,receiving,REC,2
4362763,Daniel Parker,Missouri,SEC,receiving,LONG,21
4362753,Dominic Gicinto,Missouri,SEC,receiving,YDS,61
4362753,Dominic Gicinto,Missouri,SEC,receiving,TD,0
4362749,Kam Scott,Missouri,SEC,receiving,YDS,328
4362749,Kam Scott,Missouri,SEC,receiving,LONG,55
4429787,Niko Hea,Missouri,SEC,receiving,YPR,10.0
4362763,Daniel Parker,Missouri,SEC,receiving,REC,15
4429787,Niko Hea,Missouri,SEC,receiving,LONG,16
4362748,Tyler Badie,Missouri,SEC,receiving,TD,5
4259800,Barrett Banister,Missouri,SEC,receiving,YPR,9.1
4362753,Dominic Gicinto,Missouri,SEC,receiving,LONG,26
4362751,Jalen Knox,Missouri,SEC,receiving,REC,19
4259800,Barrett Banister,Missouri,SEC,receiving,YDS,246
4035115,Albert Okwuegbunam,Missouri,SEC,receiving,TD,6
4362751,Jalen Knox,Missouri,SEC,receiving,TD,1
4362751,Jalen Knox,Missouri,SEC,receiving,LONG,54
4241205,Larry Rountree III,Missouri,SEC,receiving,YDS,70
3924325,Johnathon Johnson,Missouri,SEC,receiving,YPR,10.1
4259800,Barrett Banister,Missouri,SEC,receiving,LONG,23
4362748,Tyler Badie,Missouri,SEC,receiving,LONG,74
4362751,Jalen Knox,Missouri,SEC,receiving,YDS,307
4241205,Larry Rountree III,Missouri,SEC,receiving,LONG,10
4362748,Tyler Badie,Missouri,SEC,receiving,REC,32
4362763,Daniel Parker,Missouri,SEC,receiving,YPR,9.3
4241205,Larry Rountree III,Missouri,SEC,receiving,YPR,5.4
4035115,Albert Okwuegbunam,Missouri,SEC,receiving,YDS,306
4362751,Jalen Knox,Missouri,SEC,receiving,YPR,16.2
4429787,Niko Hea,Missouri,SEC,receiving,TD,0
4035115,Albert Okwuegbunam,Missouri,SEC,receiving,YPR,11.8
4429787,Niko Hea,Missouri,SEC,receiving,REC,3
4362763,Daniel Parker,Missouri,SEC,receiving,TD,0
4242169,Jonathan Nance,Missouri,SEC,receiving,REC,31
4381248,Tauskie Dove,Missouri,SEC,receiving,LONG,37
4035106,Dawson Downing,Missouri,SEC,receiving,REC,8
4035106,Dawson Downing,Missouri,SEC,receiving,LONG,7
4035115,Albert Okwuegbunam,Missouri,SEC,receiving,REC,26
3924325,Johnathon Johnson,Missouri,SEC,receiving,REC,29
4242169,Jonathan Nance,Missouri,SEC,receiving,YPR,14.8
4362748,Tyler Badie,Missouri,SEC,receiving,YDS,356
4242169,Jonathan Nance,Missouri,SEC,receiving,LONG,64
4429787,Niko Hea,Missouri,SEC,receiving,YDS,30
4259800,Barrett Banister,Missouri,SEC,receiving,REC,27
3924325,Johnathon Johnson,Missouri,SEC,receiving,TD,0
4242169,Jonathan Nance,Missouri,SEC,receiving,YDS,458
4035106,Dawson Downing,Missouri,SEC,receiving,YDS,27
4035106,Dawson Downing,Missouri,SEC,receiving,YPR,3.4
4035106,Dawson Downing,Missouri,SEC,receiving,TD,0
3924325,Johnathon Johnson,Missouri,SEC,receiving,YDS,294
4362748,Tyler Badie,Missouri,SEC,receiving,YPR,11.1
4362749,Kam Scott,Missouri,SEC,receiving,TD,0
4242169,Jonathan Nance,Missouri,SEC,receiving,TD,4
