playerId,player,team,conference,category,statType,stat
4361679,Devin Carter,NC State,ACC,receiving,YDS,456
4240119,Max Fisher,NC State,ACC,receiving,REC,3
4428267,Cecil Powell,NC State,ACC,receiving,LONG,11
4240119,Max Fisher,NC State,ACC,receiving,YPR,15.3
4361678,Jasiah Provillon,NC State,ACC,receiving,YPR,29.0
4240121,Thayer Thomas,NC State,ACC,receiving,YDS,334
4052788,Eric Collins,NC State,ACC,receiving,TD,0
4427728,Zonovan Knight,NC State,ACC,receiving,YPR,6.4
4240121,Thayer Thomas,NC State,ACC,receiving,LONG,23
4035703,Cary Angeline,NC State,ACC,receiving,YDS,379
4361660,Trent Pennix,NC State,ACC,receiving,LONG,32
4427789,Keyon Lesane,NC State,ACC,receiving,REC,13
4361655,Ricky Person Jr.,NC State,ACC,receiving,YDS,99
4361679,Devin Carter,NC State,ACC,receiving,YPR,14.3
4035703,Cary Angeline,NC State,ACC,receiving,YPR,15.2
4427789,Keyon Lesane,NC State,ACC,receiving,YDS,93
3700890,Tabari Hines,NC State,ACC,receiving,TD,2
4361679,Devin Carter,NC State,ACC,receiving,LONG,55
4568312,Jordan Houston,NC State,ACC,receiving,YDS,112
4427728,Zonovan Knight,NC State,ACC,receiving,TD,0
4036177,Dylan Autenrieth,NC State,ACC,receiving,TD,0
4052788,Eric Collins,NC State,ACC,receiving,REC,1
4568312,Jordan Houston,NC State,ACC,receiving,TD,0
4052788,Eric Collins,NC State,ACC,receiving,YPR,-1.0
4361678,Jasiah Provillon,NC State,ACC,receiving,TD,0
3700890,Tabari Hines,NC State,ACC,receiving,YPR,10.9
3700890,Tabari Hines,NC State,ACC,receiving,YDS,402
4052788,Eric Collins,NC State,ACC,receiving,YDS,-1
4036177,Dylan Autenrieth,NC State,ACC,receiving,LONG,20
4428267,Cecil Powell,NC State,ACC,receiving,REC,4
4036177,Dylan Autenrieth,NC State,ACC,receiving,YPR,13.3
4361678,Jasiah Provillon,NC State,ACC,receiving,LONG,38
4036177,Dylan Autenrieth,NC State,ACC,receiving,REC,3
4240120,Emeka Emezie,NC State,ACC,receiving,TD,2
4428267,Cecil Powell,NC State,ACC,receiving,TD,0
4568312,Jordan Houston,NC State,ACC,receiving,REC,15
4427789,Keyon Lesane,NC State,ACC,receiving,YPR,7.2
4427728,Zonovan Knight,NC State,ACC,receiving,LONG,16
4361679,Devin Carter,NC State,ACC,receiving,REC,32
3700890,Tabari Hines,NC State,ACC,receiving,LONG,48
4361655,Ricky Person Jr.,NC State,ACC,receiving,REC,8
4240119,Max Fisher,NC State,ACC,receiving,YDS,46
4427728,Zonovan Knight,NC State,ACC,receiving,YDS,45
4428267,Cecil Powell,NC State,ACC,receiving,YPR,7.5
4240120,Emeka Emezie,NC State,ACC,receiving,REC,56
4568312,Jordan Houston,NC State,ACC,receiving,YPR,7.5
4036177,Dylan Autenrieth,NC State,ACC,receiving,YDS,40
4240121,Thayer Thomas,NC State,ACC,receiving,YPR,10.8
3700890,Tabari Hines,NC State,ACC,receiving,REC,37
4240119,Max Fisher,NC State,ACC,receiving,LONG,24
4052788,Eric Collins,NC State,ACC,receiving,LONG,-1
4361678,Jasiah Provillon,NC State,ACC,receiving,REC,2
4361655,Ricky Person Jr.,NC State,ACC,receiving,YPR,12.4
4361660,Trent Pennix,NC State,ACC,receiving,YDS,80
4035703,Cary Angeline,NC State,ACC,receiving,TD,5
4240120,Emeka Emezie,NC State,ACC,receiving,LONG,37
4361679,Devin Carter,NC State,ACC,receiving,TD,0
4035703,Cary Angeline,NC State,ACC,receiving,REC,25
4035703,Cary Angeline,NC State,ACC,receiving,LONG,39
4428267,Cecil Powell,NC State,ACC,receiving,YDS,30
4427789,Keyon Lesane,NC State,ACC,receiving,LONG,19
4361655,Ricky Person Jr.,NC State,ACC,receiving,TD,1
4240121,Thayer Thomas,NC State,ACC,receiving,TD,3
4240121,Thayer Thomas,NC State,ACC,receiving,REC,31
4361678,Jasiah Provillon,NC State,ACC,receiving,YDS,58
4361660,Trent Pennix,NC State,ACC,receiving,YPR,11.4
4240120,Emeka Emezie,NC State,ACC,receiving,YDS,576
4361660,Trent Pennix,NC State,ACC,receiving,REC,7
4427789,Keyon Lesane,NC State,ACC,receiving,TD,0
4361660,Trent Pennix,NC State,ACC,receiving,TD,1
4240120,Emeka Emezie,NC State,ACC,receiving,YPR,10.3
4568312,Jordan Houston,NC State,ACC,receiving,LONG,19
4361655,Ricky Person Jr.,NC State,ACC,receiving,LONG,45
4427728,Zonovan Knight,NC State,ACC,receiving,REC,7
4240119,Max Fisher,NC State,ACC,receiving,TD,0
