playerId,player,team,conference,category,statType,stat
481128,Gee Gee Greene,Navy,FBS Independents,receiving,YPR,17.2
516209,Geoffrey Whiteside,Navy,FBS Independents,receiving,TD,1
481116,Bo Snelson,Navy,FBS Independents,receiving,YPR,16.2
516209,Geoffrey Whiteside,Navy,FBS Independents,receiving,YDS,35
503610,Casey Bolena,Navy,FBS Independents,receiving,LONG,38
481110,Jonathan Gazaille,Navy,FBS Independents,receiving,YPR,4.0
503607,Darius Staten,Navy,FBS Independents,receiving,YPR,7.0
503615,Matt Aiken,Navy,FBS Independents,receiving,LONG,16
481110,Jonathan Gazaille,Navy,FBS Independents,receiving,LONG,4
481116,Bo Snelson,Navy,FBS Independents,receiving,YDS,81
516220,Noah Copeland,Navy,FBS Independents,receiving,REC,12
503615,Matt Aiken,Navy,FBS Independents,receiving,REC,7
516225,Ryan Williams-Jenkins,Navy,FBS Independents,receiving,YDS,22
481128,Gee Gee Greene,Navy,FBS Independents,receiving,YDS,309
481108,John Howell,Navy,FBS Independents,receiving,TD,0
503615,Matt Aiken,Navy,FBS Independents,receiving,YPR,8.7
481115,Brandon Turner,Navy,FBS Independents,receiving,YDS,321
481108,John Howell,Navy,FBS Independents,receiving,YDS,9
481108,John Howell,Navy,FBS Independents,receiving,YPR,9.0
516225,Ryan Williams-Jenkins,Navy,FBS Independents,receiving,YPR,22.0
516220,Noah Copeland,Navy,FBS Independents,receiving,TD,0
503611,Shawn Lynch,Navy,FBS Independents,receiving,YDS,281
516225,Ryan Williams-Jenkins,Navy,FBS Independents,receiving,TD,0
481108,John Howell,Navy,FBS Independents,receiving,LONG,9
481110,Jonathan Gazaille,Navy,FBS Independents,receiving,YDS,4
481128,Gee Gee Greene,Navy,FBS Independents,receiving,TD,2
481108,John Howell,Navy,FBS Independents,receiving,REC,1
516209,Geoffrey Whiteside,Navy,FBS Independents,receiving,LONG,20
481116,Bo Snelson,Navy,FBS Independents,receiving,TD,0
516225,Ryan Williams-Jenkins,Navy,FBS Independents,receiving,LONG,22
481115,Brandon Turner,Navy,FBS Independents,receiving,LONG,49
481116,Bo Snelson,Navy,FBS Independents,receiving,LONG,26
481115,Brandon Turner,Navy,FBS Independents,receiving,REC,22
503610,Casey Bolena,Navy,FBS Independents,receiving,YPR,10.8
503610,Casey Bolena,Navy,FBS Independents,receiving,YDS,141
503607,Darius Staten,Navy,FBS Independents,receiving,YDS,7
481115,Brandon Turner,Navy,FBS Independents,receiving,TD,4
481110,Jonathan Gazaille,Navy,FBS Independents,receiving,TD,0
503611,Shawn Lynch,Navy,FBS Independents,receiving,TD,1
516220,Noah Copeland,Navy,FBS Independents,receiving,YPR,7.6
503610,Casey Bolena,Navy,FBS Independents,receiving,TD,1
481128,Gee Gee Greene,Navy,FBS Independents,receiving,REC,18
503610,Casey Bolena,Navy,FBS Independents,receiving,REC,13
503615,Matt Aiken,Navy,FBS Independents,receiving,TD,2
481110,Jonathan Gazaille,Navy,FBS Independents,receiving,REC,1
503611,Shawn Lynch,Navy,FBS Independents,receiving,YPR,20.1
516220,Noah Copeland,Navy,FBS Independents,receiving,LONG,25
481116,Bo Snelson,Navy,FBS Independents,receiving,REC,5
516209,Geoffrey Whiteside,Navy,FBS Independents,receiving,YPR,8.8
503607,Darius Staten,Navy,FBS Independents,receiving,TD,0
503607,Darius Staten,Navy,FBS Independents,receiving,REC,1
481115,Brandon Turner,Navy,FBS Independents,receiving,YPR,14.6
516220,Noah Copeland,Navy,FBS Independents,receiving,YDS,91
516225,Ryan Williams-Jenkins,Navy,FBS Independents,receiving,REC,1
503607,Darius Staten,Navy,FBS Independents,receiving,LONG,7
481128,Gee Gee Greene,Navy,FBS Independents,receiving,LONG,41
503615,Matt Aiken,Navy,FBS Independents,receiving,YDS,61
503611,Shawn Lynch,Navy,FBS Independents,receiving,LONG,68
516209,Geoffrey Whiteside,Navy,FBS Independents,receiving,REC,4
503611,Shawn Lynch,Navy,FBS Independents,receiving,REC,14
