playerId,player,team,conference,category,statType,stat
4361460,Ben Putman,Nevada,Mountain West,receiving,TD,0
4427819,Justin Lockhart,Nevada,Mountain West,receiving,REC,5
4241588,Elijah Cooks,Nevada,Mountain West,receiving,YDS,926
4427819,Justin Lockhart,Nevada,Mountain West,receiving,YDS,33
4241603,Roger Neal,Nevada,Mountain West,receiving,YDS,8
4241588,Elijah Cooks,Nevada,Mountain West,receiving,LONG,55
3914812,Dominic Christian,Nevada,Mountain West,receiving,LONG,38
3914812,Dominic Christian,Nevada,Mountain West,receiving,YDS,321
4361444,Toa Taua,Nevada,Mountain West,receiving,LONG,41
4361430,Devonte Lee,Nevada,Mountain West,receiving,LONG,13
4428594,Melquan Stovall,Nevada,Mountain West,receiving,REC,19
4241588,Elijah Cooks,Nevada,Mountain West,receiving,REC,76
4241588,Elijah Cooks,Nevada,Mountain West,receiving,YPR,12.2
3914828,Brendan O'Leary-Orange,Nevada,Mountain West,receiving,YPR,13.6
4361460,Ben Putman,Nevada,Mountain West,receiving,REC,26
3707516,John Humphrey,Nevada,Mountain West,receiving,TD,0
4361434,Crishaun Lappin,Nevada,Mountain West,receiving,YPR,12.0
4241603,Roger Neal,Nevada,Mountain West,receiving,TD,0
3927804,Kaleb Fossum,Nevada,Mountain West,receiving,YPR,10.4
3914812,Dominic Christian,Nevada,Mountain West,receiving,REC,35
4361432,Romeo Doubs,Nevada,Mountain West,receiving,TD,4
4361460,Ben Putman,Nevada,Mountain West,receiving,YPR,11.4
4361444,Toa Taua,Nevada,Mountain West,receiving,TD,0
4429882,Henry Ikahihifo,Nevada,Mountain West,receiving,YDS,27
4241608,Reagan Roberson,Nevada,Mountain West,receiving,REC,2
3914826,Kelton Moore,Nevada,Mountain West,receiving,YPR,2.8
4361444,Toa Taua,Nevada,Mountain West,receiving,REC,30
4361460,Ben Putman,Nevada,Mountain West,receiving,YDS,297
4361430,Devonte Lee,Nevada,Mountain West,receiving,REC,5
4361430,Devonte Lee,Nevada,Mountain West,receiving,TD,0
3914828,Brendan O'Leary-Orange,Nevada,Mountain West,receiving,LONG,50
4361432,Romeo Doubs,Nevada,Mountain West,receiving,REC,44
3914826,Kelton Moore,Nevada,Mountain West,receiving,REC,6
3914812,Dominic Christian,Nevada,Mountain West,receiving,TD,2
4429882,Henry Ikahihifo,Nevada,Mountain West,receiving,REC,6
4428594,Melquan Stovall,Nevada,Mountain West,receiving,LONG,23
4361460,Ben Putman,Nevada,Mountain West,receiving,LONG,35
4361438,Cole Turner,Nevada,Mountain West,receiving,LONG,18
4361438,Cole Turner,Nevada,Mountain West,receiving,REC,4
4361444,Toa Taua,Nevada,Mountain West,receiving,YDS,185
4036788,Jaxson Kincaide,Nevada,Mountain West,receiving,YDS,61
4361434,Crishaun Lappin,Nevada,Mountain West,receiving,REC,2
4241608,Reagan Roberson,Nevada,Mountain West,receiving,LONG,4
4427819,Justin Lockhart,Nevada,Mountain West,receiving,LONG,9
4429882,Henry Ikahihifo,Nevada,Mountain West,receiving,TD,0
4361438,Cole Turner,Nevada,Mountain West,receiving,YPR,12.8
4361438,Cole Turner,Nevada,Mountain West,receiving,TD,0
3707516,John Humphrey,Nevada,Mountain West,receiving,YPR,7.0
4241608,Reagan Roberson,Nevada,Mountain West,receiving,YDS,4
4361432,Romeo Doubs,Nevada,Mountain West,receiving,YDS,649
4361444,Toa Taua,Nevada,Mountain West,receiving,YPR,6.2
3914826,Kelton Moore,Nevada,Mountain West,receiving,TD,0
4429882,Henry Ikahihifo,Nevada,Mountain West,receiving,LONG,10
3914828,Brendan O'Leary-Orange,Nevada,Mountain West,receiving,TD,0
4361438,Cole Turner,Nevada,Mountain West,receiving,YDS,51
3707516,John Humphrey,Nevada,Mountain West,receiving,REC,4
3707516,John Humphrey,Nevada,Mountain West,receiving,LONG,18
4241608,Reagan Roberson,Nevada,Mountain West,receiving,TD,0
4241603,Roger Neal,Nevada,Mountain West,receiving,REC,1
4361430,Devonte Lee,Nevada,Mountain West,receiving,YPR,7.0
4036788,Jaxson Kincaide,Nevada,Mountain West,receiving,YPR,7.6
4036788,Jaxson Kincaide,Nevada,Mountain West,receiving,TD,0
3914812,Dominic Christian,Nevada,Mountain West,receiving,YPR,9.2
4361434,Crishaun Lappin,Nevada,Mountain West,receiving,LONG,19
4427819,Justin Lockhart,Nevada,Mountain West,receiving,YPR,6.6
4361432,Romeo Doubs,Nevada,Mountain West,receiving,YPR,14.8
4361430,Devonte Lee,Nevada,Mountain West,receiving,YDS,35
4241603,Roger Neal,Nevada,Mountain West,receiving,YPR,8.0
3927804,Kaleb Fossum,Nevada,Mountain West,receiving,REC,28
4036788,Jaxson Kincaide,Nevada,Mountain West,receiving,REC,8
3914826,Kelton Moore,Nevada,Mountain West,receiving,YDS,17
3707516,John Humphrey,Nevada,Mountain West,receiving,YDS,28
3927804,Kaleb Fossum,Nevada,Mountain West,receiving,LONG,30
4241608,Reagan Roberson,Nevada,Mountain West,receiving,YPR,2.0
4361432,Romeo Doubs,Nevada,Mountain West,receiving,LONG,75
4036788,Jaxson Kincaide,Nevada,Mountain West,receiving,LONG,35
4427819,Justin Lockhart,Nevada,Mountain West,receiving,TD,0
3927804,Kaleb Fossum,Nevada,Mountain West,receiving,YDS,292
4361434,Crishaun Lappin,Nevada,Mountain West,receiving,TD,0
4241603,Roger Neal,Nevada,Mountain West,receiving,LONG,8
4428594,Melquan Stovall,Nevada,Mountain West,receiving,YDS,171
3914828,Brendan O'Leary-Orange,Nevada,Mountain West,receiving,YDS,109
3914826,Kelton Moore,Nevada,Mountain West,receiving,LONG,23
4361434,Crishaun Lappin,Nevada,Mountain West,receiving,YDS,24
4428594,Melquan Stovall,Nevada,Mountain West,receiving,TD,0
4429882,Henry Ikahihifo,Nevada,Mountain West,receiving,YPR,4.5
3914828,Brendan O'Leary-Orange,Nevada,Mountain West,receiving,REC,8
3927804,Kaleb Fossum,Nevada,Mountain West,receiving,TD,0
4428594,Melquan Stovall,Nevada,Mountain West,receiving,YPR,9.0
4241588,Elijah Cooks,Nevada,Mountain West,receiving,TD,8
