playerId,player,team,conference,category,statType,stat
4258200,O'Maury Samuels,New Mexico State,FBS Independents,receiving,LONG,14
4872940,Ron Vann,New Mexico State,FBS Independents,receiving,REC,1
4683425,Glynn Johnson Jr,New Mexico State,FBS Independents,receiving,REC,12
4687556,Justice Powers,New Mexico State,FBS Independents,receiving,YPR,23.9
4361469,Andre Bodison,New Mexico State,FBS Independents,receiving,TD,0
4035761,Jared Wyatt,New Mexico State,FBS Independents,receiving,LONG,52
4872940,Ron Vann,New Mexico State,FBS Independents,receiving,LONG,6
4872940,Ron Vann,New Mexico State,FBS Independents,receiving,TD,0
4362753,Dominic Gicinto,New Mexico State,FBS Independents,receiving,YPR,10.6
4361469,Andre Bodison,New Mexico State,FBS Independents,receiving,REC,32
4872953,Thomaz Whitford,New Mexico State,FBS Independents,receiving,LONG,26
4683425,Glynn Johnson Jr,New Mexico State,FBS Independents,receiving,LONG,34
4361469,Andre Bodison,New Mexico State,FBS Independents,receiving,LONG,47
4362753,Dominic Gicinto,New Mexico State,FBS Independents,receiving,REC,9
4035761,Jared Wyatt,New Mexico State,FBS Independents,receiving,YDS,629
4572475,Eric Marsh,New Mexico State,FBS Independents,receiving,YPR,1.0
4687555,Isaiah Garcia-Castaneda,New Mexico State,FBS Independents,receiving,TD,4
4428272,Juwuan Price,New Mexico State,FBS Independents,receiving,REC,26
4373846,Alex Escobar,New Mexico State,FBS Independents,receiving,YDS,75
4569953,Robert Downs III,New Mexico State,FBS Independents,receiving,TD,1
4687555,Isaiah Garcia-Castaneda,New Mexico State,FBS Independents,receiving,YPR,15.6
4428272,Juwuan Price,New Mexico State,FBS Independents,receiving,TD,0
4687555,Isaiah Garcia-Castaneda,New Mexico State,FBS Independents,receiving,LONG,75
4572475,Eric Marsh,New Mexico State,FBS Independents,receiving,TD,1
4361469,Andre Bodison,New Mexico State,FBS Independents,receiving,YPR,12.6
4373846,Alex Escobar,New Mexico State,FBS Independents,receiving,TD,0
4872953,Thomaz Whitford,New Mexico State,FBS Independents,receiving,YDS,206
4751388,Lawrence Dixon,New Mexico State,FBS Independents,receiving,YDS,7
4751388,Lawrence Dixon,New Mexico State,FBS Independents,receiving,LONG,7
4687555,Isaiah Garcia-Castaneda,New Mexico State,FBS Independents,receiving,REC,37
4569954,Terrell Warner,New Mexico State,FBS Independents,receiving,LONG,19
4683425,Glynn Johnson Jr,New Mexico State,FBS Independents,receiving,YDS,101
4569953,Robert Downs III,New Mexico State,FBS Independents,receiving,REC,14
4569953,Robert Downs III,New Mexico State,FBS Independents,receiving,YDS,143
4569953,Robert Downs III,New Mexico State,FBS Independents,receiving,LONG,28
4572475,Eric Marsh,New Mexico State,FBS Independents,receiving,LONG,1
4373846,Alex Escobar,New Mexico State,FBS Independents,receiving,LONG,19
4035761,Jared Wyatt,New Mexico State,FBS Independents,receiving,REC,49
4572475,Eric Marsh,New Mexico State,FBS Independents,receiving,REC,1
4569954,Terrell Warner,New Mexico State,FBS Independents,receiving,YDS,334
4872953,Thomaz Whitford,New Mexico State,FBS Independents,receiving,REC,19
4258200,O'Maury Samuels,New Mexico State,FBS Independents,receiving,YPR,6.0
4362753,Dominic Gicinto,New Mexico State,FBS Independents,receiving,YDS,95
4258200,O'Maury Samuels,New Mexico State,FBS Independents,receiving,YDS,72
4687556,Justice Powers,New Mexico State,FBS Independents,receiving,REC,7
4569953,Robert Downs III,New Mexico State,FBS Independents,receiving,YPR,10.2
4572475,Eric Marsh,New Mexico State,FBS Independents,receiving,YDS,1
4687561,Cole Harrity,New Mexico State,FBS Independents,receiving,REC,30
4569954,Terrell Warner,New Mexico State,FBS Independents,receiving,TD,1
4687561,Cole Harrity,New Mexico State,FBS Independents,receiving,TD,1
4687561,Cole Harrity,New Mexico State,FBS Independents,receiving,LONG,23
4361469,Andre Bodison,New Mexico State,FBS Independents,receiving,YDS,403
4428272,Juwuan Price,New Mexico State,FBS Independents,receiving,LONG,26
4362753,Dominic Gicinto,New Mexico State,FBS Independents,receiving,LONG,25
4035761,Jared Wyatt,New Mexico State,FBS Independents,receiving,TD,3
4258200,O'Maury Samuels,New Mexico State,FBS Independents,receiving,TD,0
4687561,Cole Harrity,New Mexico State,FBS Independents,receiving,YDS,238
4569954,Terrell Warner,New Mexico State,FBS Independents,receiving,YPR,8.8
4872940,Ron Vann,New Mexico State,FBS Independents,receiving,YPR,6.0
4751388,Lawrence Dixon,New Mexico State,FBS Independents,receiving,REC,1
4428272,Juwuan Price,New Mexico State,FBS Independents,receiving,YDS,181
4872953,Thomaz Whitford,New Mexico State,FBS Independents,receiving,YPR,10.8
4683425,Glynn Johnson Jr,New Mexico State,FBS Independents,receiving,YPR,8.4
4683425,Glynn Johnson Jr,New Mexico State,FBS Independents,receiving,TD,1
4373846,Alex Escobar,New Mexico State,FBS Independents,receiving,REC,8
4687556,Justice Powers,New Mexico State,FBS Independents,receiving,YDS,167
4035761,Jared Wyatt,New Mexico State,FBS Independents,receiving,YPR,12.8
4362753,Dominic Gicinto,New Mexico State,FBS Independents,receiving,TD,1
4687555,Isaiah Garcia-Castaneda,New Mexico State,FBS Independents,receiving,YDS,578
4872940,Ron Vann,New Mexico State,FBS Independents,receiving,YDS,6
4687556,Justice Powers,New Mexico State,FBS Independents,receiving,TD,0
4428272,Juwuan Price,New Mexico State,FBS Independents,receiving,YPR,7.0
4687561,Cole Harrity,New Mexico State,FBS Independents,receiving,YPR,7.9
4687556,Justice Powers,New Mexico State,FBS Independents,receiving,LONG,41
4569954,Terrell Warner,New Mexico State,FBS Independents,receiving,REC,38
4751388,Lawrence Dixon,New Mexico State,FBS Independents,receiving,TD,0
4751388,Lawrence Dixon,New Mexico State,FBS Independents,receiving,YPR,7.0
4373846,Alex Escobar,New Mexico State,FBS Independents,receiving,YPR,9.4
4872953,Thomaz Whitford,New Mexico State,FBS Independents,receiving,TD,2
4258200,O'Maury Samuels,New Mexico State,FBS Independents,receiving,REC,12
