playerId,player,team,conference,category,statType,stat
536843,Reece White,New Mexico,Mountain West,receiving,YDS,100
481133,Kasey Carrier,New Mexico,Mountain West,receiving,YDS,43
533214,Ridge Jones,New Mexico,Mountain West,receiving,REC,3
502920,Jeric Magnant,New Mexico,Mountain West,receiving,REC,19
533206,Marquis Bundy,New Mexico,Mountain West,receiving,REC,19
551024,Tyler Duncan,New Mexico,Mountain West,receiving,TD,2
551024,Tyler Duncan,New Mexico,Mountain West,receiving,REC,5
502909,Chase Clayton,New Mexico,Mountain West,receiving,YDS,2
533228,Carlos Wiggins,New Mexico,Mountain West,receiving,REC,13
481133,Kasey Carrier,New Mexico,Mountain West,receiving,LONG,24
502901,Andrew Aho,New Mexico,Mountain West,receiving,YDS,179
533228,Carlos Wiggins,New Mexico,Mountain West,receiving,YDS,163
551024,Tyler Duncan,New Mexico,Mountain West,receiving,YPR,26.2
551026,Teriyon Gipson,New Mexico,Mountain West,receiving,TD,0
533220,Jhurell Pressley,New Mexico,Mountain West,receiving,REC,6
502909,Chase Clayton,New Mexico,Mountain West,receiving,YPR,2.0
533214,Ridge Jones,New Mexico,Mountain West,receiving,YDS,23
502909,Chase Clayton,New Mexico,Mountain West,receiving,LONG,2
533206,Marquis Bundy,New Mexico,Mountain West,receiving,YPR,13.7
551026,Teriyon Gipson,New Mexico,Mountain West,receiving,REC,1
533206,Marquis Bundy,New Mexico,Mountain West,receiving,TD,2
502909,Chase Clayton,New Mexico,Mountain West,receiving,TD,0
533214,Ridge Jones,New Mexico,Mountain West,receiving,TD,0
536830,David Anaya,New Mexico,Mountain West,receiving,REC,3
502901,Andrew Aho,New Mexico,Mountain West,receiving,TD,0
533220,Jhurell Pressley,New Mexico,Mountain West,receiving,YPR,11.3
533214,Ridge Jones,New Mexico,Mountain West,receiving,LONG,15
514866,Crusoe Gongbay,New Mexico,Mountain West,receiving,TD,0
551024,Tyler Duncan,New Mexico,Mountain West,receiving,LONG,52
502901,Andrew Aho,New Mexico,Mountain West,receiving,LONG,38
533228,Carlos Wiggins,New Mexico,Mountain West,receiving,YPR,12.5
514866,Crusoe Gongbay,New Mexico,Mountain West,receiving,LONG,12
533206,Marquis Bundy,New Mexico,Mountain West,receiving,YDS,261
551024,Tyler Duncan,New Mexico,Mountain West,receiving,YDS,131
502920,Jeric Magnant,New Mexico,Mountain West,receiving,YPR,15.5
533214,Ridge Jones,New Mexico,Mountain West,receiving,YPR,7.7
514866,Crusoe Gongbay,New Mexico,Mountain West,receiving,YDS,23
502920,Jeric Magnant,New Mexico,Mountain West,receiving,TD,1
502920,Jeric Magnant,New Mexico,Mountain West,receiving,LONG,43
481133,Kasey Carrier,New Mexico,Mountain West,receiving,YPR,14.3
481133,Kasey Carrier,New Mexico,Mountain West,receiving,TD,1
551026,Teriyon Gipson,New Mexico,Mountain West,receiving,YDS,-1
514866,Crusoe Gongbay,New Mexico,Mountain West,receiving,YPR,7.7
536843,Reece White,New Mexico,Mountain West,receiving,TD,1
502920,Jeric Magnant,New Mexico,Mountain West,receiving,YDS,294
551026,Teriyon Gipson,New Mexico,Mountain West,receiving,LONG,0
536843,Reece White,New Mexico,Mountain West,receiving,LONG,50
551025,Dameon Gamblin,New Mexico,Mountain West,receiving,LONG,-3
533206,Marquis Bundy,New Mexico,Mountain West,receiving,LONG,39
533220,Jhurell Pressley,New Mexico,Mountain West,receiving,YDS,68
536830,David Anaya,New Mexico,Mountain West,receiving,YPR,24.3
536830,David Anaya,New Mexico,Mountain West,receiving,LONG,36
502901,Andrew Aho,New Mexico,Mountain West,receiving,REC,9
536843,Reece White,New Mexico,Mountain West,receiving,REC,4
551025,Dameon Gamblin,New Mexico,Mountain West,receiving,TD,0
533220,Jhurell Pressley,New Mexico,Mountain West,receiving,TD,0
551025,Dameon Gamblin,New Mexico,Mountain West,receiving,REC,1
551026,Teriyon Gipson,New Mexico,Mountain West,receiving,YPR,-1.0
533220,Jhurell Pressley,New Mexico,Mountain West,receiving,LONG,40
514866,Crusoe Gongbay,New Mexico,Mountain West,receiving,REC,3
536843,Reece White,New Mexico,Mountain West,receiving,YPR,25.0
536830,David Anaya,New Mexico,Mountain West,receiving,YDS,73
481133,Kasey Carrier,New Mexico,Mountain West,receiving,REC,3
533228,Carlos Wiggins,New Mexico,Mountain West,receiving,TD,2
551025,Dameon Gamblin,New Mexico,Mountain West,receiving,YDS,-3
551025,Dameon Gamblin,New Mexico,Mountain West,receiving,YPR,-3.0
502909,Chase Clayton,New Mexico,Mountain West,receiving,REC,1
502901,Andrew Aho,New Mexico,Mountain West,receiving,YPR,19.9
536830,David Anaya,New Mexico,Mountain West,receiving,TD,0
533228,Carlos Wiggins,New Mexico,Mountain West,receiving,LONG,43
