playerId,player,team,conference,category,statType,stat
530490,Damien Washington,North Carolina,ACC,receiving,TD,0
545245,Jordan Fieulleteau,North Carolina,ACC,receiving,YDS,100
530490,Damien Washington,North Carolina,ACC,receiving,YPR,14.4
540210,Mack Hollins,North Carolina,ACC,receiving,YDS,745
3116680,Austin Proehl,North Carolina,ACC,receiving,YDS,225
540213,Dalton Stogner,North Carolina,ACC,receiving,YPR,4.5
516347,Marquise Williams,North Carolina,ACC,receiving,YPR,37.0
545251,Bug Howard,North Carolina,ACC,receiving,YDS,488
3116690,Elijah Hood,North Carolina,ACC,receiving,LONG,14
540206,Charles Brunson,North Carolina,ACC,receiving,TD,0
3895827,Ty'Son Williams,North Carolina,ACC,receiving,LONG,0
516335,Romar Morris,North Carolina,ACC,receiving,REC,9
530417,Quinshad Davis,North Carolina,ACC,receiving,YPR,11.6
540213,Dalton Stogner,North Carolina,ACC,receiving,YDS,9
540206,Charles Brunson,North Carolina,ACC,receiving,YDS,0
540213,Dalton Stogner,North Carolina,ACC,receiving,TD,0
545254,T.J. Logan,North Carolina,ACC,receiving,LONG,49
516347,Marquise Williams,North Carolina,ACC,receiving,TD,1
540206,Charles Brunson,North Carolina,ACC,receiving,LONG,0
530417,Quinshad Davis,North Carolina,ACC,receiving,TD,4
545245,Jordan Fieulleteau,North Carolina,ACC,receiving,LONG,47
545256,Ryan Switzer,North Carolina,ACC,receiving,YDS,697
545251,Bug Howard,North Carolina,ACC,receiving,TD,4
545254,T.J. Logan,North Carolina,ACC,receiving,TD,1
540206,Charles Brunson,North Carolina,ACC,receiving,REC,1
3116703,Brandon Fritts,North Carolina,ACC,receiving,REC,16
516347,Marquise Williams,North Carolina,ACC,receiving,LONG,37
545256,Ryan Switzer,North Carolina,ACC,receiving,TD,6
3116690,Elijah Hood,North Carolina,ACC,receiving,TD,0
545254,T.J. Logan,North Carolina,ACC,receiving,REC,11
530490,Damien Washington,North Carolina,ACC,receiving,REC,8
516347,Marquise Williams,North Carolina,ACC,receiving,REC,1
3116690,Elijah Hood,North Carolina,ACC,receiving,YPR,5.5
3116680,Austin Proehl,North Carolina,ACC,receiving,YPR,18.8
516335,Romar Morris,North Carolina,ACC,receiving,TD,0
545245,Jordan Fieulleteau,North Carolina,ACC,receiving,YPR,16.7
3895827,Ty'Son Williams,North Carolina,ACC,receiving,REC,1
540206,Charles Brunson,North Carolina,ACC,receiving,YPR,0.0
516335,Romar Morris,North Carolina,ACC,receiving,YPR,6.0
540213,Dalton Stogner,North Carolina,ACC,receiving,LONG,6
540210,Mack Hollins,North Carolina,ACC,receiving,LONG,74
3116680,Austin Proehl,North Carolina,ACC,receiving,REC,12
545254,T.J. Logan,North Carolina,ACC,receiving,YDS,151
530490,Damien Washington,North Carolina,ACC,receiving,YDS,115
545245,Jordan Fieulleteau,North Carolina,ACC,receiving,REC,6
540210,Mack Hollins,North Carolina,ACC,receiving,REC,30
530432,Kendrick Singleton,North Carolina,ACC,receiving,YPR,11.8
3895827,Ty'Son Williams,North Carolina,ACC,receiving,YDS,0
3895827,Ty'Son Williams,North Carolina,ACC,receiving,TD,0
530417,Quinshad Davis,North Carolina,ACC,receiving,REC,55
540210,Mack Hollins,North Carolina,ACC,receiving,YPR,24.8
545254,T.J. Logan,North Carolina,ACC,receiving,YPR,13.7
3116703,Brandon Fritts,North Carolina,ACC,receiving,YPR,12.7
516335,Romar Morris,North Carolina,ACC,receiving,YDS,54
3116703,Brandon Fritts,North Carolina,ACC,receiving,TD,4
545251,Bug Howard,North Carolina,ACC,receiving,YPR,16.8
3116690,Elijah Hood,North Carolina,ACC,receiving,REC,13
3116703,Brandon Fritts,North Carolina,ACC,receiving,LONG,36
530417,Quinshad Davis,North Carolina,ACC,receiving,YDS,638
530432,Kendrick Singleton,North Carolina,ACC,receiving,LONG,47
540213,Dalton Stogner,North Carolina,ACC,receiving,REC,2
530432,Kendrick Singleton,North Carolina,ACC,receiving,TD,2
3116680,Austin Proehl,North Carolina,ACC,receiving,LONG,61
545251,Bug Howard,North Carolina,ACC,receiving,LONG,49
3116703,Brandon Fritts,North Carolina,ACC,receiving,YDS,203
545245,Jordan Fieulleteau,North Carolina,ACC,receiving,TD,0
530417,Quinshad Davis,North Carolina,ACC,receiving,LONG,40
3116680,Austin Proehl,North Carolina,ACC,receiving,TD,1
3895827,Ty'Son Williams,North Carolina,ACC,receiving,YPR,0.0
545251,Bug Howard,North Carolina,ACC,receiving,REC,29
545256,Ryan Switzer,North Carolina,ACC,receiving,YPR,12.7
545256,Ryan Switzer,North Carolina,ACC,receiving,LONG,89
530432,Kendrick Singleton,North Carolina,ACC,receiving,REC,12
3116690,Elijah Hood,North Carolina,ACC,receiving,YDS,71
516347,Marquise Williams,North Carolina,ACC,receiving,YDS,37
545256,Ryan Switzer,North Carolina,ACC,receiving,REC,55
540210,Mack Hollins,North Carolina,ACC,receiving,TD,8
516335,Romar Morris,North Carolina,ACC,receiving,LONG,20
530432,Kendrick Singleton,North Carolina,ACC,receiving,YDS,142
530490,Damien Washington,North Carolina,ACC,receiving,LONG,27
