playerId,player,team,conference,category,statType,stat
4362484,Bryson Jackson,North Texas,Conference USA,receiving,LONG,54
4683045,Zhighlil Mcmillan,North Texas,Conference USA,receiving,REC,1
4430984,Detraveon Brown,North Texas,Conference USA,receiving,TD,1
4360930,Jyaire Shorter,North Texas,Conference USA,receiving,LONG,45
4379395,Tommy Bush,North Texas,Conference USA,receiving,YDS,43
4432600,Loronzo Thompson,North Texas,Conference USA,receiving,REC,1
4875861,Ayo Adeyi,North Texas,Conference USA,receiving,TD,0
4362484,Bryson Jackson,North Texas,Conference USA,receiving,YPR,14.7
4379395,Tommy Bush,North Texas,Conference USA,receiving,LONG,22
4875861,Ayo Adeyi,North Texas,Conference USA,receiving,YDS,3
4379395,Tommy Bush,North Texas,Conference USA,receiving,REC,3
4360930,Jyaire Shorter,North Texas,Conference USA,receiving,REC,6
4875861,Ayo Adeyi,North Texas,Conference USA,receiving,LONG,3
4428784,Damon Ward Jr.,North Texas,Conference USA,receiving,YPR,14.8
4360932,DeAndre Torrey,North Texas,Conference USA,receiving,YPR,9.6
4686606,Isaiah Johnson,North Texas,Conference USA,receiving,REC,7
4430666,Ikaika Ragsdale,North Texas,Conference USA,receiving,YDS,23
4039082,Jason Pirtle,North Texas,Conference USA,receiving,LONG,31
4683045,Zhighlil Mcmillan,North Texas,Conference USA,receiving,TD,0
4432531,Jake Roberts,North Texas,Conference USA,receiving,LONG,30
4432600,Loronzo Thompson,North Texas,Conference USA,receiving,TD,0
4430984,Detraveon Brown,North Texas,Conference USA,receiving,REC,8
4427846,Khatib Lyles,North Texas,Conference USA,receiving,LONG,48
4362484,Bryson Jackson,North Texas,Conference USA,receiving,YDS,176
4362484,Bryson Jackson,North Texas,Conference USA,receiving,TD,0
4428498,Deonte Simpson,North Texas,Conference USA,receiving,LONG,25
4374391,Roderic Burns,North Texas,Conference USA,receiving,LONG,55
4686606,Isaiah Johnson,North Texas,Conference USA,receiving,YDS,95
4432531,Jake Roberts,North Texas,Conference USA,receiving,YDS,98
4432531,Jake Roberts,North Texas,Conference USA,receiving,REC,11
4430666,Ikaika Ragsdale,North Texas,Conference USA,receiving,TD,0
4432531,Jake Roberts,North Texas,Conference USA,receiving,YPR,8.9
4432600,Loronzo Thompson,North Texas,Conference USA,receiving,YPR,1.0
4374391,Roderic Burns,North Texas,Conference USA,receiving,YPR,13.8
4683045,Zhighlil Mcmillan,North Texas,Conference USA,receiving,YDS,10
4360930,Jyaire Shorter,North Texas,Conference USA,receiving,TD,0
4379395,Tommy Bush,North Texas,Conference USA,receiving,YPR,14.3
4428784,Damon Ward Jr.,North Texas,Conference USA,receiving,TD,2
4683045,Zhighlil Mcmillan,North Texas,Conference USA,receiving,LONG,10
4430984,Detraveon Brown,North Texas,Conference USA,receiving,YDS,170
4360932,DeAndre Torrey,North Texas,Conference USA,receiving,YDS,115
4039082,Jason Pirtle,North Texas,Conference USA,receiving,YDS,380
4428784,Damon Ward Jr.,North Texas,Conference USA,receiving,REC,21
4428784,Damon Ward Jr.,North Texas,Conference USA,receiving,LONG,77
4875861,Ayo Adeyi,North Texas,Conference USA,receiving,YPR,3.0
4432531,Jake Roberts,North Texas,Conference USA,receiving,TD,0
4360930,Jyaire Shorter,North Texas,Conference USA,receiving,YPR,17.8
4039082,Jason Pirtle,North Texas,Conference USA,receiving,YPR,9.3
4430666,Ikaika Ragsdale,North Texas,Conference USA,receiving,REC,4
4039082,Jason Pirtle,North Texas,Conference USA,receiving,TD,2
4360932,DeAndre Torrey,North Texas,Conference USA,receiving,TD,1
4428784,Damon Ward Jr.,North Texas,Conference USA,receiving,YDS,311
4432600,Loronzo Thompson,North Texas,Conference USA,receiving,LONG,1
4362484,Bryson Jackson,North Texas,Conference USA,receiving,REC,12
4875861,Ayo Adeyi,North Texas,Conference USA,receiving,REC,1
4686606,Isaiah Johnson,North Texas,Conference USA,receiving,LONG,29
4427846,Khatib Lyles,North Texas,Conference USA,receiving,TD,1
4360932,DeAndre Torrey,North Texas,Conference USA,receiving,LONG,35
4374391,Roderic Burns,North Texas,Conference USA,receiving,YDS,802
4430984,Detraveon Brown,North Texas,Conference USA,receiving,YPR,21.3
4427846,Khatib Lyles,North Texas,Conference USA,receiving,YDS,155
4430666,Ikaika Ragsdale,North Texas,Conference USA,receiving,LONG,17
4430666,Ikaika Ragsdale,North Texas,Conference USA,receiving,YPR,5.8
4428498,Deonte Simpson,North Texas,Conference USA,receiving,YPR,14.6
4379395,Tommy Bush,North Texas,Conference USA,receiving,TD,0
4427846,Khatib Lyles,North Texas,Conference USA,receiving,YPR,11.9
4360930,Jyaire Shorter,North Texas,Conference USA,receiving,YDS,107
4428498,Deonte Simpson,North Texas,Conference USA,receiving,TD,0
4428498,Deonte Simpson,North Texas,Conference USA,receiving,REC,5
4360932,DeAndre Torrey,North Texas,Conference USA,receiving,REC,12
4430984,Detraveon Brown,North Texas,Conference USA,receiving,LONG,58
4039082,Jason Pirtle,North Texas,Conference USA,receiving,REC,41
4683045,Zhighlil Mcmillan,North Texas,Conference USA,receiving,YPR,10.0
4374391,Roderic Burns,North Texas,Conference USA,receiving,REC,58
4428498,Deonte Simpson,North Texas,Conference USA,receiving,YDS,73
4427846,Khatib Lyles,North Texas,Conference USA,receiving,REC,13
4686606,Isaiah Johnson,North Texas,Conference USA,receiving,TD,1
4432600,Loronzo Thompson,North Texas,Conference USA,receiving,YDS,1
4686606,Isaiah Johnson,North Texas,Conference USA,receiving,YPR,13.6
4374391,Roderic Burns,North Texas,Conference USA,receiving,TD,4
