playerId,player,team,conference,category,statType,stat
4250160,Miles Joiner,Northern Illinois,Mid-American,receiving,TD,2
4430105,Fabian Mccray,Northern Illinois,Mid-American,receiving,TD,0
4576294,Harrison Waylee,Northern Illinois,Mid-American,receiving,REC,1
4250160,Miles Joiner,Northern Illinois,Mid-American,receiving,REC,16
4428699,Messiah Travis,Northern Illinois,Mid-American,receiving,YDS,165
4433906,Trayvon Rudolph,Northern Illinois,Mid-American,receiving,YDS,892
4430105,Fabian Mccray,Northern Illinois,Mid-American,receiving,YDS,14
4686820,Billy Dozier,Northern Illinois,Mid-American,receiving,LONG,7
4258575,Liam Soraghan,Northern Illinois,Mid-American,receiving,YDS,24
4250160,Miles Joiner,Northern Illinois,Mid-American,receiving,YPR,8.3
4618083,Ethan Hampton,Northern Illinois,Mid-American,receiving,YPR,6.0
4428345,Tyrice Richie,Northern Illinois,Mid-American,receiving,REC,44
4875755,Mason Blakemore,Northern Illinois,Mid-American,receiving,YPR,-4.0
4576294,Harrison Waylee,Northern Illinois,Mid-American,receiving,LONG,6
4428643,Tristen Tewes,Northern Illinois,Mid-American,receiving,LONG,21
4433906,Trayvon Rudolph,Northern Illinois,Mid-American,receiving,LONG,75
4576294,Harrison Waylee,Northern Illinois,Mid-American,receiving,YPR,6.0
4430105,Fabian Mccray,Northern Illinois,Mid-American,receiving,YPR,7.0
4431074,Jevyon Ducker,Northern Illinois,Mid-American,receiving,REC,1
4258575,Liam Soraghan,Northern Illinois,Mid-American,receiving,LONG,7
4431074,Jevyon Ducker,Northern Illinois,Mid-American,receiving,YPR,15.0
4431074,Jevyon Ducker,Northern Illinois,Mid-American,receiving,YDS,15
4250160,Miles Joiner,Northern Illinois,Mid-American,receiving,YDS,133
4428345,Tyrice Richie,Northern Illinois,Mid-American,receiving,YDS,540
4258577,Cole Tucker,Northern Illinois,Mid-American,receiving,LONG,66
4258577,Cole Tucker,Northern Illinois,Mid-American,receiving,TD,3
4686820,Billy Dozier,Northern Illinois,Mid-American,receiving,YDS,4
4428699,Messiah Travis,Northern Illinois,Mid-American,receiving,TD,0
4428699,Messiah Travis,Northern Illinois,Mid-American,receiving,LONG,36
4258577,Cole Tucker,Northern Illinois,Mid-American,receiving,YPR,14.0
4258577,Cole Tucker,Northern Illinois,Mid-American,receiving,YDS,575
4428643,Tristen Tewes,Northern Illinois,Mid-American,receiving,YDS,101
4258577,Cole Tucker,Northern Illinois,Mid-American,receiving,REC,41
4431074,Jevyon Ducker,Northern Illinois,Mid-American,receiving,TD,0
4031140,Clint Ratkovich,Northern Illinois,Mid-American,receiving,YDS,124
4431074,Jevyon Ducker,Northern Illinois,Mid-American,receiving,LONG,15
4428699,Messiah Travis,Northern Illinois,Mid-American,receiving,REC,13
4430602,Mohamed Toure,Northern Illinois,Mid-American,receiving,REC,4
4875755,Mason Blakemore,Northern Illinois,Mid-American,receiving,YDS,-4
4031140,Clint Ratkovich,Northern Illinois,Mid-American,receiving,TD,2
4875755,Mason Blakemore,Northern Illinois,Mid-American,receiving,LONG,0
4430105,Fabian Mccray,Northern Illinois,Mid-American,receiving,REC,2
4430602,Mohamed Toure,Northern Illinois,Mid-American,receiving,YDS,34
4618083,Ethan Hampton,Northern Illinois,Mid-American,receiving,TD,0
4031140,Clint Ratkovich,Northern Illinois,Mid-American,receiving,LONG,22
4433906,Trayvon Rudolph,Northern Illinois,Mid-American,receiving,REC,51
4428643,Tristen Tewes,Northern Illinois,Mid-American,receiving,YPR,10.1
4258575,Liam Soraghan,Northern Illinois,Mid-American,receiving,TD,0
4428699,Messiah Travis,Northern Illinois,Mid-American,receiving,YPR,12.7
4618083,Ethan Hampton,Northern Illinois,Mid-American,receiving,YDS,6
4875755,Mason Blakemore,Northern Illinois,Mid-American,receiving,REC,1
4875755,Mason Blakemore,Northern Illinois,Mid-American,receiving,TD,0
4428643,Tristen Tewes,Northern Illinois,Mid-American,receiving,REC,10
4576294,Harrison Waylee,Northern Illinois,Mid-American,receiving,YDS,6
4686820,Billy Dozier,Northern Illinois,Mid-American,receiving,YPR,2.0
4031140,Clint Ratkovich,Northern Illinois,Mid-American,receiving,YPR,8.3
4576294,Harrison Waylee,Northern Illinois,Mid-American,receiving,TD,0
4428345,Tyrice Richie,Northern Illinois,Mid-American,receiving,TD,1
4430602,Mohamed Toure,Northern Illinois,Mid-American,receiving,LONG,14
4428345,Tyrice Richie,Northern Illinois,Mid-American,receiving,LONG,50
4428643,Tristen Tewes,Northern Illinois,Mid-American,receiving,TD,0
4433906,Trayvon Rudolph,Northern Illinois,Mid-American,receiving,TD,7
4430602,Mohamed Toure,Northern Illinois,Mid-American,receiving,TD,0
4430105,Fabian Mccray,Northern Illinois,Mid-American,receiving,LONG,9
4428345,Tyrice Richie,Northern Illinois,Mid-American,receiving,YPR,12.3
4618083,Ethan Hampton,Northern Illinois,Mid-American,receiving,REC,1
4258575,Liam Soraghan,Northern Illinois,Mid-American,receiving,YPR,6.0
4250160,Miles Joiner,Northern Illinois,Mid-American,receiving,LONG,28
4686820,Billy Dozier,Northern Illinois,Mid-American,receiving,REC,2
4618083,Ethan Hampton,Northern Illinois,Mid-American,receiving,LONG,6
4430602,Mohamed Toure,Northern Illinois,Mid-American,receiving,YPR,8.5
4258575,Liam Soraghan,Northern Illinois,Mid-American,receiving,REC,4
4031140,Clint Ratkovich,Northern Illinois,Mid-American,receiving,REC,15
4686820,Billy Dozier,Northern Illinois,Mid-American,receiving,TD,0
4433906,Trayvon Rudolph,Northern Illinois,Mid-American,receiving,YPR,17.5
