playerId,player,team,conference,category,statType,stat
4258604,Michael Young,Notre Dame,FBS Independents,receiving,REC,6
4258604,Michael Young,Notre Dame,FBS Independents,receiving,TD,0
4258586,Avery Davis,Notre Dame,FBS Independents,receiving,TD,2
4372765,C'Bo Flemister,Notre Dame,FBS Independents,receiving,LONG,13
4046676,Tony Jones Jr.,Notre Dame,FBS Independents,receiving,LONG,24
4372780,Tommy Tremble,Notre Dame,FBS Independents,receiving,TD,4
4046692,Chase Claypool,Notre Dame,FBS Independents,receiving,YDS,1037
3932429,Chris Finke,Notre Dame,FBS Independents,receiving,REC,41
4372765,C'Bo Flemister,Notre Dame,FBS Independents,receiving,TD,0
4372765,C'Bo Flemister,Notre Dame,FBS Independents,receiving,YPR,13.0
4372780,Tommy Tremble,Notre Dame,FBS Independents,receiving,YPR,11.4
4046692,Chase Claypool,Notre Dame,FBS Independents,receiving,LONG,47
4258584,Jafar Armstrong,Notre Dame,FBS Independents,receiving,REC,13
4046692,Chase Claypool,Notre Dame,FBS Independents,receiving,REC,66
4046676,Tony Jones Jr.,Notre Dame,FBS Independents,receiving,YDS,104
3932429,Chris Finke,Notre Dame,FBS Independents,receiving,LONG,54
4430737,Kyren Williams,Notre Dame,FBS Independents,receiving,LONG,3
4372770,Braden Lenzy,Notre Dame,FBS Independents,receiving,YPR,23.1
4258584,Jafar Armstrong,Notre Dame,FBS Independents,receiving,TD,0
4372769,Lawrence Keys III,Notre Dame,FBS Independents,receiving,YPR,10.3
4361328,George Takacs,Notre Dame,FBS Independents,receiving,LONG,10
4361327,Jahmir Smith,Notre Dame,FBS Independents,receiving,REC,2
4242392,Brock Wright,Notre Dame,FBS Independents,receiving,YPR,22.5
4372769,Lawrence Keys III,Notre Dame,FBS Independents,receiving,REC,13
3932429,Chris Finke,Notre Dame,FBS Independents,receiving,YDS,456
4372769,Lawrence Keys III,Notre Dame,FBS Independents,receiving,YDS,134
4258584,Jafar Armstrong,Notre Dame,FBS Independents,receiving,YDS,97
4372769,Lawrence Keys III,Notre Dame,FBS Independents,receiving,LONG,28
4258595,Cole Kmet,Notre Dame,FBS Independents,receiving,LONG,37
4258604,Michael Young,Notre Dame,FBS Independents,receiving,LONG,8
4361327,Jahmir Smith,Notre Dame,FBS Independents,receiving,TD,0
4372770,Braden Lenzy,Notre Dame,FBS Independents,receiving,TD,2
4372780,Tommy Tremble,Notre Dame,FBS Independents,receiving,LONG,29
4361327,Jahmir Smith,Notre Dame,FBS Independents,receiving,YDS,12
4258584,Jafar Armstrong,Notre Dame,FBS Independents,receiving,LONG,26
4361328,George Takacs,Notre Dame,FBS Independents,receiving,REC,2
4361328,George Takacs,Notre Dame,FBS Independents,receiving,YDS,12
4046686,Javon McKinley,Notre Dame,FBS Independents,receiving,LONG,65
4258586,Avery Davis,Notre Dame,FBS Independents,receiving,YPR,12.4
4242392,Brock Wright,Notre Dame,FBS Independents,receiving,YDS,45
4046686,Javon McKinley,Notre Dame,FBS Independents,receiving,REC,11
3932429,Chris Finke,Notre Dame,FBS Independents,receiving,TD,4
4242392,Brock Wright,Notre Dame,FBS Independents,receiving,REC,2
4046676,Tony Jones Jr.,Notre Dame,FBS Independents,receiving,YPR,6.9
4372770,Braden Lenzy,Notre Dame,FBS Independents,receiving,YDS,254
4258586,Avery Davis,Notre Dame,FBS Independents,receiving,YDS,124
4242392,Brock Wright,Notre Dame,FBS Independents,receiving,LONG,40
4372769,Lawrence Keys III,Notre Dame,FBS Independents,receiving,TD,0
4258586,Avery Davis,Notre Dame,FBS Independents,receiving,REC,10
4372770,Braden Lenzy,Notre Dame,FBS Independents,receiving,REC,11
4372765,C'Bo Flemister,Notre Dame,FBS Independents,receiving,REC,1
4258595,Cole Kmet,Notre Dame,FBS Independents,receiving,TD,6
4046692,Chase Claypool,Notre Dame,FBS Independents,receiving,YPR,15.7
4046686,Javon McKinley,Notre Dame,FBS Independents,receiving,TD,4
4372780,Tommy Tremble,Notre Dame,FBS Independents,receiving,REC,16
4258595,Cole Kmet,Notre Dame,FBS Independents,receiving,YDS,515
4258584,Jafar Armstrong,Notre Dame,FBS Independents,receiving,YPR,7.5
4430737,Kyren Williams,Notre Dame,FBS Independents,receiving,REC,1
4258595,Cole Kmet,Notre Dame,FBS Independents,receiving,REC,43
4046676,Tony Jones Jr.,Notre Dame,FBS Independents,receiving,REC,15
4258595,Cole Kmet,Notre Dame,FBS Independents,receiving,YPR,12.0
4242392,Brock Wright,Notre Dame,FBS Independents,receiving,TD,0
4046686,Javon McKinley,Notre Dame,FBS Independents,receiving,YPR,24.4
4372765,C'Bo Flemister,Notre Dame,FBS Independents,receiving,YDS,13
4361327,Jahmir Smith,Notre Dame,FBS Independents,receiving,LONG,6
4361328,George Takacs,Notre Dame,FBS Independents,receiving,TD,1
3932429,Chris Finke,Notre Dame,FBS Independents,receiving,YPR,11.1
4046676,Tony Jones Jr.,Notre Dame,FBS Independents,receiving,TD,1
4258604,Michael Young,Notre Dame,FBS Independents,receiving,YPR,3.5
4046686,Javon McKinley,Notre Dame,FBS Independents,receiving,YDS,268
4258604,Michael Young,Notre Dame,FBS Independents,receiving,YDS,21
4430737,Kyren Williams,Notre Dame,FBS Independents,receiving,TD,0
4258586,Avery Davis,Notre Dame,FBS Independents,receiving,LONG,59
4361327,Jahmir Smith,Notre Dame,FBS Independents,receiving,YPR,6.0
4372770,Braden Lenzy,Notre Dame,FBS Independents,receiving,LONG,70
4430737,Kyren Williams,Notre Dame,FBS Independents,receiving,YDS,3
4372780,Tommy Tremble,Notre Dame,FBS Independents,receiving,YDS,183
