playerId,player,team,conference,category,statType,stat
504593,Donte Foster,Ohio,Mid-American,receiving,LONG,80
489461,Mario Dovell,Ohio,Mid-American,receiving,YDS,142
518022,Ian Dixon,Ohio,Mid-American,receiving,YPR,4.2
511550,Landon Smith,Ohio,Mid-American,receiving,YPR,11.2
504586,Chase Cochran,Ohio,Mid-American,receiving,REC,37
481477,Anthony Talbert,Ohio,Mid-American,receiving,YPR,15.7
504595,Troy Hill,Ohio,Mid-American,receiving,YDS,257
532426,Jordan Reid,Ohio,Mid-American,receiving,YDS,61
511550,Landon Smith,Ohio,Mid-American,receiving,YDS,112
532436,Matt Waters,Ohio,Mid-American,receiving,YPR,13.9
480702,Beau Blankenship,Ohio,Mid-American,receiving,LONG,10
480702,Beau Blankenship,Ohio,Mid-American,receiving,TD,0
532426,Jordan Reid,Ohio,Mid-American,receiving,YPR,10.2
480702,Beau Blankenship,Ohio,Mid-American,receiving,YPR,4.1
511549,Kawmae Sawyer,Ohio,Mid-American,receiving,REC,3
481477,Anthony Talbert,Ohio,Mid-American,receiving,YDS,94
532436,Matt Waters,Ohio,Mid-American,receiving,YDS,446
504586,Chase Cochran,Ohio,Mid-American,receiving,YDS,689
532425,Daz'mond Patterson,Ohio,Mid-American,receiving,TD,1
550693,Troy Mangen,Ohio,Mid-American,receiving,YPR,3.0
489461,Mario Dovell,Ohio,Mid-American,receiving,YPR,9.5
532425,Daz'mond Patterson,Ohio,Mid-American,receiving,YDS,120
550693,Troy Mangen,Ohio,Mid-American,receiving,LONG,6
511550,Landon Smith,Ohio,Mid-American,receiving,TD,1
489461,Mario Dovell,Ohio,Mid-American,receiving,LONG,16
532432,Sebastian Smith,Ohio,Mid-American,receiving,REC,12
489457,Ryan Boykin,Ohio,Mid-American,receiving,TD,1
511550,Landon Smith,Ohio,Mid-American,receiving,REC,10
518022,Ian Dixon,Ohio,Mid-American,receiving,REC,5
532432,Sebastian Smith,Ohio,Mid-American,receiving,YPR,6.8
480702,Beau Blankenship,Ohio,Mid-American,receiving,YDS,62
504595,Troy Hill,Ohio,Mid-American,receiving,YPR,12.9
550693,Troy Mangen,Ohio,Mid-American,receiving,REC,4
504586,Chase Cochran,Ohio,Mid-American,receiving,TD,4
532426,Jordan Reid,Ohio,Mid-American,receiving,REC,6
504593,Donte Foster,Ohio,Mid-American,receiving,YPR,14.8
532426,Jordan Reid,Ohio,Mid-American,receiving,TD,0
489457,Ryan Boykin,Ohio,Mid-American,receiving,YPR,6.6
518022,Ian Dixon,Ohio,Mid-American,receiving,YDS,21
532436,Matt Waters,Ohio,Mid-American,receiving,REC,32
504593,Donte Foster,Ohio,Mid-American,receiving,YDS,1018
511550,Landon Smith,Ohio,Mid-American,receiving,LONG,23
511549,Kawmae Sawyer,Ohio,Mid-American,receiving,YDS,15
481477,Anthony Talbert,Ohio,Mid-American,receiving,REC,6
550693,Troy Mangen,Ohio,Mid-American,receiving,TD,1
504595,Troy Hill,Ohio,Mid-American,receiving,TD,2
532425,Daz'mond Patterson,Ohio,Mid-American,receiving,LONG,26
511549,Kawmae Sawyer,Ohio,Mid-American,receiving,YPR,5.0
511549,Kawmae Sawyer,Ohio,Mid-American,receiving,LONG,8
504593,Donte Foster,Ohio,Mid-American,receiving,REC,69
532436,Matt Waters,Ohio,Mid-American,receiving,LONG,41
532432,Sebastian Smith,Ohio,Mid-American,receiving,YDS,82
532426,Jordan Reid,Ohio,Mid-American,receiving,LONG,25
504595,Troy Hill,Ohio,Mid-American,receiving,REC,20
489457,Ryan Boykin,Ohio,Mid-American,receiving,YDS,59
504595,Troy Hill,Ohio,Mid-American,receiving,LONG,35
481477,Anthony Talbert,Ohio,Mid-American,receiving,LONG,36
532436,Matt Waters,Ohio,Mid-American,receiving,TD,3
504586,Chase Cochran,Ohio,Mid-American,receiving,LONG,80
481477,Anthony Talbert,Ohio,Mid-American,receiving,TD,0
518022,Ian Dixon,Ohio,Mid-American,receiving,LONG,7
532432,Sebastian Smith,Ohio,Mid-American,receiving,TD,0
532425,Daz'mond Patterson,Ohio,Mid-American,receiving,YPR,9.2
504593,Donte Foster,Ohio,Mid-American,receiving,TD,7
489461,Mario Dovell,Ohio,Mid-American,receiving,REC,15
489457,Ryan Boykin,Ohio,Mid-American,receiving,LONG,14
504586,Chase Cochran,Ohio,Mid-American,receiving,YPR,18.6
511549,Kawmae Sawyer,Ohio,Mid-American,receiving,TD,0
489461,Mario Dovell,Ohio,Mid-American,receiving,TD,2
489457,Ryan Boykin,Ohio,Mid-American,receiving,REC,9
480702,Beau Blankenship,Ohio,Mid-American,receiving,REC,15
532432,Sebastian Smith,Ohio,Mid-American,receiving,LONG,14
550693,Troy Mangen,Ohio,Mid-American,receiving,YDS,12
532425,Daz'mond Patterson,Ohio,Mid-American,receiving,REC,13
518022,Ian Dixon,Ohio,Mid-American,receiving,TD,0
