playerId,player,team,conference,category,statType,stat
4429255,Marquez Bell,Old Dominion,Sun Belt,receiving,TD,0
4361583,Donta Anthony Jr.,Old Dominion,Sun Belt,receiving,REC,4
4613132,Levi Wentz,Old Dominion,Sun Belt,receiving,LONG,42
4687373,Jordan Bly,Old Dominion,Sun Belt,receiving,YDS,227
4613132,Levi Wentz,Old Dominion,Sun Belt,receiving,TD,0
4703025,Ahmarian Granger,Old Dominion,Sun Belt,receiving,YPR,11.6
4361417,Zack Kuntz,Old Dominion,Sun Belt,receiving,LONG,34
4427601,Ali Jennings,Old Dominion,Sun Belt,receiving,TD,9
4429255,Marquez Bell,Old Dominion,Sun Belt,receiving,LONG,11
4683986,Tariq Sims,Old Dominion,Sun Belt,receiving,LONG,6
4361604,Blake Watson,Old Dominion,Sun Belt,receiving,LONG,36
4361604,Blake Watson,Old Dominion,Sun Belt,receiving,TD,2
4361603,Isaiah Spencer,Old Dominion,Sun Belt,receiving,REC,18
4427601,Ali Jennings,Old Dominion,Sun Belt,receiving,LONG,77
4685427,Peter Kikwata,Old Dominion,Sun Belt,receiving,YDS,23
4703025,Ahmarian Granger,Old Dominion,Sun Belt,receiving,YDS,174
4703025,Ahmarian Granger,Old Dominion,Sun Belt,receiving,REC,15
4875867,Isiah Paige,Old Dominion,Sun Belt,receiving,YDS,151
4685427,Peter Kikwata,Old Dominion,Sun Belt,receiving,YPR,23.0
4613064,Obasanjo Sanni,Old Dominion,Sun Belt,receiving,LONG,0
4361417,Zack Kuntz,Old Dominion,Sun Belt,receiving,REC,12
4361603,Isaiah Spencer,Old Dominion,Sun Belt,receiving,LONG,22
4683986,Tariq Sims,Old Dominion,Sun Belt,receiving,YDS,14
4361604,Blake Watson,Old Dominion,Sun Belt,receiving,REC,37
4685427,Peter Kikwata,Old Dominion,Sun Belt,receiving,REC,1
4243535,D.J. Mack Jr.,Old Dominion,Sun Belt,receiving,YDS,4
4429757,Javon Harvey,Old Dominion,Sun Belt,receiving,TD,4
4683986,Tariq Sims,Old Dominion,Sun Belt,receiving,TD,0
4685427,Peter Kikwata,Old Dominion,Sun Belt,receiving,LONG,23
4875867,Isiah Paige,Old Dominion,Sun Belt,receiving,REC,16
4361417,Zack Kuntz,Old Dominion,Sun Belt,receiving,YDS,144
4430717,Keshawn Wicks,Old Dominion,Sun Belt,receiving,LONG,28
4361603,Isaiah Spencer,Old Dominion,Sun Belt,receiving,TD,1
4683986,Tariq Sims,Old Dominion,Sun Belt,receiving,YPR,2.8
4361583,Donta Anthony Jr.,Old Dominion,Sun Belt,receiving,YDS,20
4895242,Marqeese Dietz,Old Dominion,Sun Belt,receiving,LONG,25
4875867,Isiah Paige,Old Dominion,Sun Belt,receiving,TD,1
4243535,D.J. Mack Jr.,Old Dominion,Sun Belt,receiving,LONG,4
4685427,Peter Kikwata,Old Dominion,Sun Belt,receiving,TD,0
4361604,Blake Watson,Old Dominion,Sun Belt,receiving,YDS,314
4430717,Keshawn Wicks,Old Dominion,Sun Belt,receiving,YPR,5.7
4429757,Javon Harvey,Old Dominion,Sun Belt,receiving,LONG,61
4687373,Jordan Bly,Old Dominion,Sun Belt,receiving,REC,21
4361603,Isaiah Spencer,Old Dominion,Sun Belt,receiving,YDS,172
4361583,Donta Anthony Jr.,Old Dominion,Sun Belt,receiving,LONG,9
4895242,Marqeese Dietz,Old Dominion,Sun Belt,receiving,YDS,65
